playbook,missing_events,missing_symbols,potential_signal_paths,potential_events,actual_blocked_paths_lower_bound,classification
P1,1148,730,576,179,1,REUSABLE_DATA_GAP
P4,1148,730,2902,236,1,REUSABLE_DATA_GAP
