mechanism,count
BUY_DAY_INVALIDATION_T1,343
GAP_THROUGH_STOP,528
LIMIT_DOWN_OR_STATUS_EXIT_DELAY,29
SUSPENSION_EXIT_DELAY,4
LIMIT_UP_ENTRY_MISS,143
AGGREGATE_RISK_REJECT,263
CAPACITY_REJECT,360
CASH_OR_LOT_REJECT,0
COMPANY_ACTION_EVENTS,6
