strategy,window,start,end,return_,window_MaxDD,window_trough,deepest_full_history_drawdown_in_window,full_history_trough,current_full_history_drawdown
ATRDR,全期,2018-01-01,2026-09-16,1.5998573581556044,0.10870967623667305,2024-07-10,0.10870967623667305,2024-07-10,0.033791944475750624
ATRDR,近六个月,2026-04-01,2026-09-16,0.02928418241068842,0.04058684887807307,2026-06-26,0.04058684887807307,2026-06-26,0.033791944475750624
ATRDR,7月至今,2026-07-01,2026-09-16,-0.0012560134276989876,0.017189158524616444,2026-08-24,0.038583564438065876,2026-07-30,0.033791944475750624
MCB,全期,2018-01-01,2026-09-16,0.7844751174676283,0.06487772289549376,2024-06-06,0.06487772289549376,2024-06-06,0.0044822997501144934
MCB,近六个月,2026-04-01,2026-09-16,0.024570368032533096,0.006699443473665356,2026-05-14,0.013924965071160034,2026-04-28,0.0044822997501144934
MCB,7月至今,2026-07-01,2026-09-16,0.0,0.0,2026-07-01,0.0044822997501144934,2026-07-01,0.0044822997501144934
OGR,全期,2018-01-01,2026-09-16,0.17181654529585977,0.014396305449992375,2018-10-29,0.014396305449992486,2018-10-29,0.0018891783941460405
OGR,近六个月,2026-04-01,2026-09-16,0.0047150768692276745,0.008086156954439594,2026-07-07,0.008086156954439594,2026-07-07,0.0018891783941460405
OGR,7月至今,2026-07-01,2026-09-16,0.007906115830953242,0.0026433463547101965,2026-07-07,0.008086156954439594,2026-07-07,0.0018891783941460405
IFCGR,全期,2018-01-01,2026-09-16,0.1712551985646471,0.01549682981030176,2018-10-29,0.015496829810301871,2018-10-29,0.0018824910676045192
IFCGR,近六个月,2026-04-01,2026-09-16,0.010523268221257709,0.002768246963623655,2026-07-07,0.002768246963623544,2026-07-07,0.0018824910676045192
IFCGR,7月至今,2026-07-01,2026-09-16,0.009285421394873872,0.0024185788108223027,2026-08-24,0.002768246963623544,2026-07-07,0.0018824910676045192
SMV6,全期,2018-01-01,2026-09-16,1.8171442533703228,0.09857380118576398,2020-12-22,0.09857380118576387,2020-12-22,0.03692016742247717
SMV6,近六个月,2026-04-01,2026-09-16,0.14807987919871124,0.05073466636168866,2026-05-21,0.05073466636168855,2026-05-21,0.03692016742247717
SMV6,7月至今,2026-07-01,2026-09-16,-0.00889282997566787,0.00907203860828687,2026-09-11,0.03692016742247717,2026-09-11,0.03692016742247717
