baseline_block,trade_id,symbol,entry_signal_date,feature_available_at,candidate_count,vacancies_before_selection,selection_pressure,selected_rank,selected_rank_percentile,selected_rs_score,cutoff_rs_score,selected_margin_to_cutoff,selection_lineage_id,entry_year
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300259.SZ-001,300259.SZ,2025-11-04,2025-11-04T15:30:00+08:00,2,5,0.4,1,1,0.741119221411,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300267.SZ-001,300267.SZ,2025-07-16,2025-07-16T15:30:00+08:00,10,2,5,1,1,0.792343387471,0.625522041763,0.166821345708,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300279.SZ-001,300279.SZ,2024-12-10,2024-12-10T15:30:00+08:00,5,2,2.5,2,0.75,0.741931818182,0.567840909091,0.174090909091,L_CONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300285.SZ-001,300285.SZ,2024-05-09,2024-05-09T15:30:00+08:00,3,4,0.75,3,0,0.498031496063,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300286.SZ-001,300286.SZ,2025-02-17,2025-02-17T15:30:00+08:00,3,2,1.5,2,0.5,0.418887262079,0.396046852123,0.0228404099561,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300324.SZ-001,300324.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,4,0.571428571429,0.691623036649,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300327.SZ-001,300327.SZ,2025-12-10,2025-12-10T15:30:00+08:00,1,10,0.1,1,1,0.790761548065,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300346.SZ-001,300346.SZ,2025-05-06,2025-05-06T15:30:00+08:00,1,9,0.111111111111,1,1,0.59943019943,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300348.SZ-001,300348.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,2,0.857142857143,0.828795811518,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300357.SZ-001,300357.SZ,2024-05-08,2024-05-08T15:30:00+08:00,1,4,0.25,1,1,0.641188118812,,,L_UNCONTESTED,2024
