trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,feature_available_at,lineage_id,neighbor_lineage_id,base_repair_score,breakout_acceptance_score,assignment_margin
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025-06-25,2025,2025-06-24T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.162100456621,0.716894977169,0.216894977169
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025-07-25,2025,2025-07-24T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.392694063927,0.817351598174,0.107305936073
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025-10-28,2025-10-29,2025,2025-10-28T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.643835616438,0.680365296804,0.143835616438
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.80701754386,0.530701754386,0.030701754386
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025-11-06,2025-11-07,2025,2025-11-06T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.602739726027,0.337899543379,0.102739726027
DEVELOPMENT_2024_2025:300241.SZ-001,DEVELOPMENT_2024_2025,300241.SZ,2024-12-20,2024-12-23,2024,2024-12-20T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.385964912281,0.0438596491228,0.114035087719
DEVELOPMENT_2024_2025:300254.SZ-001,DEVELOPMENT_2024_2025,300254.SZ,2025-06-03,2025-06-04,2025,2025-06-03T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.292237442922,0.566210045662,0.0662100456621
DEVELOPMENT_2024_2025:300259.SZ-001,DEVELOPMENT_2024_2025,300259.SZ,2025-11-04,2025-11-05,2025,2025-11-04T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.493150684932,0.739726027397,0.00684931506849
DEVELOPMENT_2024_2025:300267.SZ-001,DEVELOPMENT_2024_2025,300267.SZ,2025-07-16,2025-07-17,2025,2025-07-16T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.7899543379,0.570776255708,0.0707762557078
DEVELOPMENT_2024_2025:300279.SZ-001,DEVELOPMENT_2024_2025,300279.SZ,2024-12-10,2024-12-11,2024,2024-12-10T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.69298245614,0.640350877193,0.140350877193
DEVELOPMENT_2024_2025:300285.SZ-001,DEVELOPMENT_2024_2025,300285.SZ,2024-05-09,2024-05-10,2024,2024-05-09T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.701754385965,0.482456140351,0.0175438596491
DEVELOPMENT_2024_2025:300286.SZ-001,DEVELOPMENT_2024_2025,300286.SZ,2025-02-17,2025-02-18,2025,2025-02-17T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.639269406393,0.141552511416,0.139269406393
DEVELOPMENT_2024_2025:300324.SZ-001,DEVELOPMENT_2024_2025,300324.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.473684210526,0.473684210526,0.0263157894737
DEVELOPMENT_2024_2025:300327.SZ-001,DEVELOPMENT_2024_2025,300327.SZ,2025-12-10,2025-12-11,2025,2025-12-10T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.849315068493,0.525114155251,0.0251141552511
DEVELOPMENT_2024_2025:300346.SZ-001,DEVELOPMENT_2024_2025,300346.SZ,2025-05-06,2025-05-07,2025,2025-05-06T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.867579908676,0.365296803653,0.134703196347
DEVELOPMENT_2024_2025:300348.SZ-001,DEVELOPMENT_2024_2025,300348.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.5,0.771929824561,0
DEVELOPMENT_2024_2025:300357.SZ-001,DEVELOPMENT_2024_2025,300357.SZ,2024-05-08,2024-05-09,2024,2024-05-08T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.429824561404,0.0964912280702,0.0701754385965
DEVELOPMENT_2024_2025:300357.SZ-002,DEVELOPMENT_2024_2025,300357.SZ,2025-07-16,2025-07-17,2025,2025-07-16T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.885844748858,0.826484018265,0.326484018265
DEVELOPMENT_2024_2025:300371.SZ-001,DEVELOPMENT_2024_2025,300371.SZ,2025-09-22,2025-09-23,2025,2025-09-22T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.41095890411,0.360730593607,0.0890410958904
DEVELOPMENT_2024_2025:300377.SZ-001,DEVELOPMENT_2024_2025,300377.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.535087719298,0.40350877193,0.0350877192982
DEVELOPMENT_2024_2025:300404.SZ-001,DEVELOPMENT_2024_2025,300404.SZ,2024-12-09,2024-12-10,2024,2024-12-09T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.666666666667,0.622807017544,0.122807017544
DEVELOPMENT_2024_2025:300433.SZ-001,DEVELOPMENT_2024_2025,300433.SZ,2024-05-06,2024-05-07,2024,2024-05-06T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.350877192982,0.824561403509,0.149122807018
DEVELOPMENT_2024_2025:300437.SZ-001,DEVELOPMENT_2024_2025,300437.SZ,2025-11-06,2025-11-07,2025,2025-11-06T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.721461187215,0.62100456621,0.12100456621
DEVELOPMENT_2024_2025:300440.SZ-001,DEVELOPMENT_2024_2025,300440.SZ,2025-06-16,2025-06-17,2025,2025-06-16T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.447488584475,0.821917808219,0.0525114155251
DEVELOPMENT_2024_2025:300442.SZ-001,DEVELOPMENT_2024_2025,300442.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.385964912281,0.40350877193,0.0964912280702
DEVELOPMENT_2024_2025:300452.SZ-001,DEVELOPMENT_2024_2025,300452.SZ,2025-06-03,2025-06-04,2025,2025-06-03T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.310502283105,0.187214611872,0.189497716895
DEVELOPMENT_2024_2025:300457.SZ-001,DEVELOPMENT_2024_2025,300457.SZ,2025-08-28,2025-08-29,2025,2025-08-28T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.2100456621,0.374429223744,0.125570776256
DEVELOPMENT_2024_2025:300459.SZ-001,DEVELOPMENT_2024_2025,300459.SZ,2024-09-25,2024-09-26,2024,2024-09-25T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.587719298246,0.631578947368,0.0877192982456
DEVELOPMENT_2024_2025:300479.SZ-001,DEVELOPMENT_2024_2025,300479.SZ,2024-12-10,2024-12-11,2024,2024-12-10T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.587719298246,0.872807017544,0.0877192982456
DEVELOPMENT_2024_2025:300479.SZ-002,DEVELOPMENT_2024_2025,300479.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.48401826484,0.315068493151,0.0159817351598
DEVELOPMENT_2024_2025:300487.SZ-001,DEVELOPMENT_2024_2025,300487.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.789473684211,0.478070175439,0.0219298245614
DEVELOPMENT_2024_2025:300490.SZ-001,DEVELOPMENT_2024_2025,300490.SZ,2025-09-25,2025-09-26,2025,2025-09-25T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.630136986301,0.324200913242,0.130136986301
DEVELOPMENT_2024_2025:300494.SZ-001,DEVELOPMENT_2024_2025,300494.SZ,2025-08-28,2025-08-29,2025,2025-08-28T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.150684931507,0.0365296803653,0.349315068493
DEVELOPMENT_2024_2025:300497.SZ-001,DEVELOPMENT_2024_2025,300497.SZ,2025-11-06,2025-11-07,2025,2025-11-06T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.552511415525,0.388127853881,0.0525114155251
DEVELOPMENT_2024_2025:300522.SZ-001,DEVELOPMENT_2024_2025,300522.SZ,2025-05-29,2025-05-30,2025,2025-05-29T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.296803652968,0.109589041096,0.203196347032
DEVELOPMENT_2024_2025:300551.SZ-001,DEVELOPMENT_2024_2025,300551.SZ,2025-09-22,2025-09-23,2025,2025-09-22T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.643835616438,0.662100456621,0.143835616438
DEVELOPMENT_2024_2025:300576.SZ-001,DEVELOPMENT_2024_2025,300576.SZ,2025-12-01,2025-12-02,2025,2025-12-01T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.365296803653,0.118721461187,0.134703196347
DEVELOPMENT_2024_2025:300595.SZ-001,DEVELOPMENT_2024_2025,300595.SZ,2025-07-23,2025-07-24,2025,2025-07-23T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.342465753425,0.748858447489,0.157534246575
DEVELOPMENT_2024_2025:300627.SZ-001,DEVELOPMENT_2024_2025,300627.SZ,2025-02-07,2025-02-10,2025,2025-02-07T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.666666666667,0.593607305936,0.0936073059361
DEVELOPMENT_2024_2025:300627.SZ-002,DEVELOPMENT_2024_2025,300627.SZ,2025-06-24,2025-06-25,2025,2025-06-24T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.639269406393,0.698630136986,0.139269406393
DEVELOPMENT_2024_2025:300632.SZ-001,DEVELOPMENT_2024_2025,300632.SZ,2024-12-09,2024-12-10,2024,2024-12-09T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.412280701754,0.675438596491,0.0877192982456
DEVELOPMENT_2024_2025:300635.SZ-001,DEVELOPMENT_2024_2025,300635.SZ,2024-12-06,2024-12-09,2024,2024-12-06T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.69298245614,0.649122807018,0.149122807018
DEVELOPMENT_2024_2025:300670.SZ-001,DEVELOPMENT_2024_2025,300670.SZ,2025-09-30,2025-10-09,2025,2025-09-30T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.689497716895,0.534246575342,0.0342465753425
DEVELOPMENT_2024_2025:300679.SZ-001,DEVELOPMENT_2024_2025,300679.SZ,2024-04-26,2024-04-29,2024,2024-04-26T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.0877192982456,0.614035087719,0.114035087719
DEVELOPMENT_2024_2025:300702.SZ-001,DEVELOPMENT_2024_2025,300702.SZ,2025-04-25,2025-04-28,2025,2025-04-25T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.853881278539,0.7899543379,0.2899543379
DEVELOPMENT_2024_2025:300710.SZ-001,DEVELOPMENT_2024_2025,300710.SZ,2025-11-03,2025-11-04,2025,2025-11-03T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.931506849315,0.662100456621,0.162100456621
DEVELOPMENT_2024_2025:300733.SZ-001,DEVELOPMENT_2024_2025,300733.SZ,2024-12-20,2024-12-23,2024,2024-12-20T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.719298245614,0.394736842105,0.105263157895
DEVELOPMENT_2024_2025:300733.SZ-002,DEVELOPMENT_2024_2025,300733.SZ,2025-02-06,2025-02-07,2025,2025-02-06T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.785388127854,0.502283105023,0.00228310502283
DEVELOPMENT_2024_2025:300748.SZ-001,DEVELOPMENT_2024_2025,300748.SZ,2025-06-11,2025-06-12,2025,2025-06-11T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.13698630137,0.684931506849,0.184931506849
