trade_id,baseline_block,symbol,entry_signal_date,entry_year,support_lineage_id,neighbor_support_lineage_id
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025-03-17,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025-09-02,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024-04-30,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024-09-25,2024,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300138.SZ-001,DEVELOPMENT_2024_2025,300138.SZ,2025-06-18,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025-10-28,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024-09-24,2024,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025-11-06,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300241.SZ-001,DEVELOPMENT_2024_2025,300241.SZ,2024-12-20,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300254.SZ-001,DEVELOPMENT_2024_2025,300254.SZ,2025-06-03,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300259.SZ-001,DEVELOPMENT_2024_2025,300259.SZ,2025-11-04,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300267.SZ-001,DEVELOPMENT_2024_2025,300267.SZ,2025-07-16,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300279.SZ-001,DEVELOPMENT_2024_2025,300279.SZ,2024-12-10,2024,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300285.SZ-001,DEVELOPMENT_2024_2025,300285.SZ,2024-05-09,2024,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300286.SZ-001,DEVELOPMENT_2024_2025,300286.SZ,2025-02-17,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300324.SZ-001,DEVELOPMENT_2024_2025,300324.SZ,2024-09-24,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300327.SZ-001,DEVELOPMENT_2024_2025,300327.SZ,2025-12-10,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300346.SZ-001,DEVELOPMENT_2024_2025,300346.SZ,2025-05-06,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300348.SZ-001,DEVELOPMENT_2024_2025,300348.SZ,2024-09-24,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300357.SZ-001,DEVELOPMENT_2024_2025,300357.SZ,2024-05-08,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300357.SZ-002,DEVELOPMENT_2024_2025,300357.SZ,2025-07-16,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300371.SZ-001,DEVELOPMENT_2024_2025,300371.SZ,2025-09-22,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300377.SZ-001,DEVELOPMENT_2024_2025,300377.SZ,2024-09-24,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300404.SZ-001,DEVELOPMENT_2024_2025,300404.SZ,2024-12-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300433.SZ-001,DEVELOPMENT_2024_2025,300433.SZ,2024-05-06,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300437.SZ-001,DEVELOPMENT_2024_2025,300437.SZ,2025-11-06,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300440.SZ-001,DEVELOPMENT_2024_2025,300440.SZ,2025-06-16,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300442.SZ-001,DEVELOPMENT_2024_2025,300442.SZ,2024-09-24,2024,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300452.SZ-001,DEVELOPMENT_2024_2025,300452.SZ,2025-06-03,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300457.SZ-001,DEVELOPMENT_2024_2025,300457.SZ,2025-08-28,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300459.SZ-001,DEVELOPMENT_2024_2025,300459.SZ,2024-09-25,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300479.SZ-001,DEVELOPMENT_2024_2025,300479.SZ,2024-12-10,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300479.SZ-002,DEVELOPMENT_2024_2025,300479.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300487.SZ-001,DEVELOPMENT_2024_2025,300487.SZ,2024-09-24,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300490.SZ-001,DEVELOPMENT_2024_2025,300490.SZ,2025-09-25,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300494.SZ-001,DEVELOPMENT_2024_2025,300494.SZ,2025-08-28,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300497.SZ-001,DEVELOPMENT_2024_2025,300497.SZ,2025-11-06,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300522.SZ-001,DEVELOPMENT_2024_2025,300522.SZ,2025-05-29,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300551.SZ-001,DEVELOPMENT_2024_2025,300551.SZ,2025-09-22,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300576.SZ-001,DEVELOPMENT_2024_2025,300576.SZ,2025-12-01,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300595.SZ-001,DEVELOPMENT_2024_2025,300595.SZ,2025-07-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300627.SZ-001,DEVELOPMENT_2024_2025,300627.SZ,2025-02-07,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300627.SZ-002,DEVELOPMENT_2024_2025,300627.SZ,2025-06-24,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300632.SZ-001,DEVELOPMENT_2024_2025,300632.SZ,2024-12-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300635.SZ-001,DEVELOPMENT_2024_2025,300635.SZ,2024-12-06,2024,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300670.SZ-001,DEVELOPMENT_2024_2025,300670.SZ,2025-09-30,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300679.SZ-001,DEVELOPMENT_2024_2025,300679.SZ,2024-04-26,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300702.SZ-001,DEVELOPMENT_2024_2025,300702.SZ,2025-04-25,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300710.SZ-001,DEVELOPMENT_2024_2025,300710.SZ,2025-11-03,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300733.SZ-001,DEVELOPMENT_2024_2025,300733.SZ,2024-12-20,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300733.SZ-002,DEVELOPMENT_2024_2025,300733.SZ,2025-02-06,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300748.SZ-001,DEVELOPMENT_2024_2025,300748.SZ,2025-06-11,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300758.SZ-001,DEVELOPMENT_2024_2025,300758.SZ,2025-02-11,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300760.SZ-001,DEVELOPMENT_2024_2025,300760.SZ,2024-03-11,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
