trade_id,baseline_block,symbol,entry_signal_date,entry_year,support_lineage_id,neighbor_support_lineage_id,support_held,neighbor_support_held,minimum_volume_ratio,minimum_volume_location,sessions_since_minimum_volume,mfe,non_false_breakout,round_trip_return,realized_pnl,mae,false_breakout,extreme_winner,severe_loss,holding_trading_days,canonical_exit_reason,entry_industry,entry_rs_score,entry_mom20,entry_box_width,entry_minvol_location,entry_breakout_volume_ratio,index_return_20d,index_realized_vol20,breadth_composite,entry_beta60,entry_log_amount20
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025,L_SUPPORT_HELD,L_SUPPORT_HELD,1,1,0.5492464583,0.0762942779292,14,0.06375,0,-0.0144885411205,-2192.452,-0.0158333333333,True,False,False,19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,电网设备,0.463836477987,0.182352941176,0.180699162974,0.0762942779292,1.20990417413,0.114672186579,0.285372445822,0.963470319635,0.76678042812,19.8900612068
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN,0,0,0.469726350793,0.203703703704,16,0.0763754045307,0,-0.00152558642633,-158.079,-0.0084142394822,True,False,False,11,MARKET_MA20_X2,医疗器械,0.524212598425,0.124454148472,0.146506386176,0.203703703704,1.88159199294,0.0471304807791,0.329408950622,0.780701754386,0.622835649577,19.3303511188
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025,L_SUPPORT_HELD,L_SUPPORT_HELD,1,1,0.551172693866,0.388888888889,21,0.0540935672515,0,-0.0460518587813,-7585.319,-0.0716374269006,True,False,False,12,MARKET_MA20_X2,医疗器械,0.807362784471,0.236634531113,0.141074856046,0.388888888889,16.6801146879,0.0272887692732,0.178558555176,0.271689497717,0.811774852766,19.4993706288
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025,L_SUPPORT_HELD,L_SUPPORT_HELD,1,1,0.381859152109,0.260058332334,13,0.0615901455767,0,-0.0567481446332,-9030.217,-0.0593505039194,True,False,False,13,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,生物制品,0.603443526171,0.143765903308,0.174731182796,0.261363636364,1.58606052415,0.0684057132586,0.192593500419,0.714611872146,0.767051679948,18.9247295455
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN,0,0,0.430066727461,0.140461215933,28,0.0537936571658,0,-0.0195698710825,-3024.022,-0.0365315134484,True,False,False,15,MARKET_MA20_X2,电池,0.608060453401,0.195779601407,0.145587541293,0.140461215933,2.79402911133,0.0628009020644,0.298595951539,0.397260273973,0.717463538246,21.2615641342
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024,L_SUPPORT_HELD,L_SUPPORT_HELD,1,1,0.599351015668,0.0611764705882,16,1.87317525947,1,1.24746243546,118387.688,-0.01139144376,False,True,False,34,MARKET_MA20_X2,软件开发,0.688743455497,0.198435870699,0.125605390609,0.0611764705882,4.49499018143,0.0379068312325,0.246541389241,0.65350877193,1.66045268468,20.1962369498
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN,0,0,0.368259261742,0.085020242915,27,0.192771084337,1,0.0283020685866,4567.649,-0.0156626506024,False,False,False,17,MARKET_MA20_X2,电池,0.539304123711,0.0866089273817,0.187263078089,0.085020242915,2.50921260171,0.118010326596,0.248837620123,0.899543378995,0.838220958572,20.0775341666
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025,L_SUPPORT_HELD,L_SUPPORT_HELD,1,1,0.440011871952,0.170634920635,14,0.177024482109,1,0.062491234788,11055.12,-0.0404896421846,False,False,False,26,MARKET_MA20_X2,电池,0.812511938873,0.315136476427,0.156327543424,0.170634920635,3.86803488736,0.165751014657,0.211597982427,0.495433789954,1.14968626696,20.5765194659
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN,0,0,0.381677536539,0.243243243243,12,0.0111524163569,0,-0.0502285818271,-4841.95,-0.0631970260223,True,False,False,2,MARKET_MA20_X2,游戏Ⅱ,0.778622327791,0.17094017094,0.166666666667,0.243243243243,4.0733363948,-0.0276036842414,0.192976746124,0.175438596491,1.0925903535,18.7685321835
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN,0,0,0.558059851262,0.149038461538,9,0.0859829825347,0,-0.0125751443283,-1266.098,-0.012987012987,True,False,False,17,MARKET_MA20_X2,电子化学品Ⅱ,0.739708939709,0.066028708134,0.118951612903,0.149038461538,2.51483511708,0.00914643799472,0.333885904352,0.30701754386,0.863820203951,18.7055762962
