trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,lineage_id,neighbor_lineage_id,lineage_strength,base_high,acceptance_high,mfe,mae,opportunity20,false_breakout,non_false_breakout,round_trip_return,realized_pnl,extreme_winner,severe_loss,holding_trading_days,canonical_exit_reason,entry_industry,entry_rs_score,entry_mom20,entry_box_width,entry_minvol_location,entry_breakout_volume_ratio,index_return_20d,index_realized_vol20,breadth_composite,entry_beta60,entry_log_amount20
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025-02-12,2025,L10_BASE_HIGH_ACCEPTANCE_LOW,L11_BASE_HIGH_ACCEPTANCE_HIGH,1,1,0,0.06375,-0.0158333333333,False,True,0,-0.0144885411205,-2192.452,False,False,19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,电网设备,0.463836477987,0.182352941176,0.180699162974,0.0762942779292,1.20990417413,0.114672186579,0.285372445822,0.963470319635,0.76678042812,19.8900612068
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024-05-10,2024,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0763754045307,-0.0084142394822,False,True,0,-0.00152558642633,-158.079,False,False,11,MARKET_MA20_X2,医疗器械,0.524212598425,0.124454148472,0.146506386176,0.203703703704,1.88159199294,0.0471304807791,0.329408950622,0.780701754386,0.622835649577,19.3303511188
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025-06-05,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0540935672515,-0.0716374269006,False,True,0,-0.0460518587813,-7585.319,False,False,12,MARKET_MA20_X2,医疗器械,0.807362784471,0.236634531113,0.141074856046,0.388888888889,16.6801146879,0.0272887692732,0.178558555176,0.271689497717,0.811774852766,19.4993706288
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025-05-30,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0615901455767,-0.0593505039194,False,True,0,-0.0567481446332,-9030.217,False,False,13,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,生物制品,0.603443526171,0.143765903308,0.174731182796,0.261363636364,1.58606052415,0.0684057132586,0.192593500419,0.714611872146,0.767051679948,18.9247295455
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025-03-04,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0537936571658,-0.0365315134484,False,True,0,-0.0195698710825,-3024.022,False,False,15,MARKET_MA20_X2,电池,0.608060453401,0.195779601407,0.145587541293,0.140461215933,2.79402911133,0.0628009020644,0.298595951539,0.397260273973,0.717463538246,21.2615641342
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024-09-25,2024,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,1,1,0,1.87317525947,-0.01139144376,True,False,1,1.24746243546,118387.688,True,False,34,MARKET_MA20_X2,软件开发,0.688743455497,0.198435870699,0.125605390609,0.0611764705882,4.49499018143,0.0379068312325,0.246541389241,0.65350877193,1.66045268468,20.1962369498
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025-02-28,2025,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0,0,0,0.192771084337,-0.0156626506024,False,False,1,0.0283020685866,4567.649,False,False,17,MARKET_MA20_X2,电池,0.539304123711,0.0866089273817,0.187263078089,0.085020242915,2.50921260171,0.118010326596,0.248837620123,0.899543378995,0.838220958572,20.0775341666
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025-09-01,2025,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,2,1,1,0.177024482109,-0.0404896421846,False,False,1,0.062491234788,11055.12,False,False,26,MARKET_MA20_X2,电池,0.812511938873,0.315136476427,0.156327543424,0.170634920635,3.86803488736,0.165751014657,0.211597982427,0.495433789954,1.14968626696,20.5765194659
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024-09-02,2024,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0111524163569,-0.0631970260223,False,True,0,-0.0502285818271,-4841.95,False,False,2,MARKET_MA20_X2,游戏Ⅱ,0.778622327791,0.17094017094,0.166666666667,0.243243243243,4.0733363948,-0.0276036842414,0.192976746124,0.175438596491,1.0925903535,18.7685321835
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024-04-29,2024,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0,0,0,0.0859829825347,-0.012987012987,False,True,0,-0.0125751443283,-1266.098,False,False,17,MARKET_MA20_X2,电子化学品Ⅱ,0.739708939709,0.066028708134,0.118951612903,0.149038461538,2.51483511708,0.00914643799472,0.333885904352,0.30701754386,0.863820203951,18.7055762962
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025-06-23,2025-06-24,2025,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0,0,0,0.318267419962,-0.015065913371,True,False,1,0.138932059094,22573.447,False,False,67,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,工业金属,0.623575129534,0.145299145299,0.134657836645,0.152173913043,3.5732176382,0.0261287067315,0.169915700381,0.37899543379,1.19415624908,18.4358022895
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025-06-23,2025-06-24,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0604395604396,-0.0741758241758,False,True,0,-0.050475269519,-7591.19,False,False,27,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,化学制品,0.661787564767,0.253378378378,0.148409893993,0.137931034483,6.68048848162,0.0261287067315,0.169915700381,0.37899543379,1.12572324648,18.4799587997
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025-03-17,2025-03-18,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0372340425532,-0.0303951367781,False,False,1,0.00482723962967,763.08,False,False,5,MARKET_MA20_X2,专用设备,0.562980209546,0.112416107383,0.168795620438,0.0522388059701,2.75290847384,0.0268771683843,0.273546900849,0.477168949772,0.943636653974,18.6106116947
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025-09-02,2025-09-03,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.281681681682,-0.039039039039,True,False,1,0.0251526301373,4821.772,False,False,23,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,专用设备,0.784300666032,0.207686622321,0.138204924543,0.322784810127,7.20188375697,0.131285712576,0.248544925274,0.178082191781,-0.05887904424,19.1260585321
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024-04-30,2024-05-06,2024,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,1,1,0,0.124096385542,-0.0355421686747,False,False,1,-0.0107499507362,-1124.773,False,False,15,MARKET_MA20_X2,动物保健Ⅱ,0.737371663244,0.135828135828,0.195175438596,0.194331983806,1.91080845743,0.00271067820298,0.345046135944,0.30701754386,0.760026362455,18.4349102049
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024-09-25,2024-09-26,2024,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,2,1,1,0.949438202247,-0.00842696629213,True,False,1,0.536250266587,51213.728,True,False,33,MARKET_MA20_X2,电池,0.677093596059,0.0437317784257,0.11858974359,0.351351351351,2.3797404682,0.0513534514951,0.251261616897,0.820175438596,0.820317488155,18.4745318491
DEVELOPMENT_2024_2025:300138.SZ-001,DEVELOPMENT_2024_2025,300138.SZ,2025-06-18,2025-06-19,2025,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0,0,0,0.0738874895046,-0.0176322418136,False,False,1,0.00889538672914,1304.415,False,False,2,MARKET_MA20_X2,农产品加工,0.826973684211,0.061170212766,0.150144369586,0.339130434783,1.17478993044,0.016915473493,0.15811305587,0.310502283105,0.347287289258,18.7709705558
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025-06-25,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.157131345689,-0.0386784850927,False,False,1,0.0615929934901,9590.001,False,False,33,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,农产品加工,0.856850192061,0.143911439114,0.149155722326,0.268965517241,0.863824757756,0.0459145422592,0.185030576299,0.680365296804,0.331135949517,18.8400994881
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025-07-25,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.0571216617211,-0.0919881305638,False,True,0,-0.0531461253702,-9171.98,False,False,26,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,生物制品,0.679933110368,0.215004574565,0.149950347567,0,4.9608489973,0.0806974271312,0.128538173822,0.680365296804,0.835458201031,20.1207945182
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025-10-28,2025-10-29,2025,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,2,1,1,0.160583941606,-0.0139902676399,False,False,1,0.0747976776961,12678.306,False,False,14,MARKET_MA20_X2,医疗器械,0.668842364532,0.149147727273,0.102601156069,0.354545454545,5.1803331605,0.0105855872702,0.293905893049,0.374429223744,0.402148914733,18.933976523
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024-09-24,2024-09-25,2024,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,2,1,1,0.566666666667,-0.00238095238095,True,False,1,0.220232055367,27105.711,False,False,34,MARKET_MA20_X2,影视院线,0.594240837696,0.130790190736,0.148459383754,0.0943396226415,1.28358855487,0.0379068312325,0.246541389241,0.65350877193,1.11694814953,19.5241342326
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025-11-06,2025-11-07,2025,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,1,1,0,0.049943246311,-0.0192962542565,False,False,1,0.00706444520292,1196.16,False,False,7,MARKET_MA20_X2,专用设备,0.667264038232,0.122940430925,0.183310533516,0.470149253731,3.12396878488,-0.0122368818485,0.288005597444,0.420091324201,0.439085585751,18.5065421233
DEVELOPMENT_2024_2025:300241.SZ-001,DEVELOPMENT_2024_2025,300241.SZ,2024-12-20,2024-12-23,2024,L00_BASE_LOW_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0,0,0,0.0064,-0.096,False,True,0,-0.0770477522478,-11616.923,False,False,2,MARKET_MA20_X2,光学光电子,0.661324041812,0.137362637363,0.165413533835,0.195402298851,2.55689239283,0.043471580445,0.226992116319,0.44298245614,1.07971637311,19.0857730264
DEVELOPMENT_2024_2025:300254.SZ-001,DEVELOPMENT_2024_2025,300254.SZ,2025-06-03,2025-06-04,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.138095238095,-0.111428571429,False,False,1,-0.0532844642362,-8927.139,False,False,13,MARKET_MA20_X2,化学制药,0.718867924528,0.182648401826,0.195937873357,0.0671641791045,2.77116949695,0.0450761040797,0.19883683276,0.349315068493,1.06307420288,18.852692206
DEVELOPMENT_2024_2025:300259.SZ-001,DEVELOPMENT_2024_2025,300259.SZ,2025-11-04,2025-11-05,2025,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,1,0,1,0.205357142857,-0.0223214285714,True,False,1,0.0272028649203,4607.627,False,False,9,MARKET_MA20_X2,通用设备,0.741119221411,0.188630490956,0.093085106383,0.323529411765,7.24484782944,-0.0193262430332,0.284930652825,0.358447488584,0.315121990374,18.5072342534
