trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,feature_available_at,daily_available_at,daily_snapshot_id,minute_snapshot_id,minute_daily_snapshot_id,entry_industry,breakout_reference_raw,breakout_margin,support_shift20,resistance_shift20,range_contraction20,volatility_contraction20,downside_amount_contraction20,prior60_reference_test_count_2pct,sessions_since_reference,prebreakout_distance,first_cross_index,time_above_reference,volume_above_reference,reference_loss_count,longest_below_reference_run,below_reference_resilience,close_reference_retention,postcross_max_drawdown,base_repair_score,breakout_acceptance_score,base_neighbor_score,acceptance_neighbor_5m_score,assignment_margin,lineage_id,neighbor_lineage_id
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,2025-06-23T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300057.SZ:2025-06-23,PITB-80B916173F29877FD683,工业金属,5.20901052632,0.0289862101298,0.0275149632853,0.0413038061412,-0.181429459902,-0.00422881650512,-0.0182941615011,5,57,-0.0133368400879,6,0.57264957265,0.67706729317,4,64,0.57264957265,1,-0.0227273404598,0.301369863014,0.401826484018,0.356164383562,0.41095890411,0.0981735159817,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,2025-06-23T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300072.SZ:2025-06-23,PITB-80B916173F29877FD683,化学制品,3.34,0.110778443114,0.0266682470822,0.0655460778979,-0.647023361444,-0.00250610493465,0.0554644872097,2,57,-0.077799716079,2,0.987394957983,0.952742119407,1,2,0.987394957983,1,-0.050704244838,0.24200913242,0.721461187215,0.232876712329,0.835616438356,0.221461187215,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025-03-17,2025-03-18,2025,2025-03-17T15:30:00,2025-03-17T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300092.SZ:2025-03-17,PITB-80B916173F29877FD683,专用设备,12.81,0.0351288056206,0.00432713786388,0.0597073455796,-0.633264945955,0.00295659160284,0.133078561149,3,1,-0.0086241224441,6,0.995726495726,0.989816399798,1,1,0.995726495726,0.652174244756,-0.0192592762135,0.251141552511,0.602739726027,0.143835616438,0.680365296804,0.102739726027,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025-09-02,2025-09-03,2025,2025-09-02T15:30:00,2025-09-02T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300092.SZ:2025-09-02,PITB-80B916173F29877FD683,专用设备,14.9,0.096644295302,-0.0594854532862,0.0216146743345,-1.05509454445,-0.0129010965097,-0.183224523584,1,53,-0.08982191223,0,0.983333333333,0.983934235034,2,3,0.983333333333,1,-0.0760124218908,0.0182648401826,0.703196347032,0.0205479452055,0.666666666667,0.203196347032,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024-04-30,2024-05-06,2024,2024-04-30T15:30:00,2024-04-30T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300119.SZ:2024-04-30,PITB-80B916173F29877FD683,动物保健Ⅱ,16.35,0.00244648318043,0.0933461857197,-0.0177320451589,1.00299762822,0.020847712683,-0.177683188684,4,14,-0.0386581802731,99,0.468085106383,0.722568375037,11,22,0.468085106383,0.114283721305,-0.0281437843851,0.947368421053,0.0526315789474,0.947368421053,0.0526315789474,0.447368421053,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024-09-25,2024-09-26,2024,2024-09-25T15:30:00,2024-09-25T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300128.SZ:2024-09-25,PITB-80B916173F29877FD683,电池,3.49,0.025787965616,-0.0377403279828,-0.169340845321,1.15622504145,0.0102258718248,0.0522430069991,7,12,-0.0379607622392,9,0.982683982684,0.974173713437,3,2,0.982683982684,0.391303967438,-0.0456989448888,0.543859649123,0.517543859649,0.526315789474,0.640350877193,0.0175438596491,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300138.SZ-001,DEVELOPMENT_2024_2025,300138.SZ,2025-06-18,2025-06-19,2025,2025-06-18T15:30:00,2025-06-18T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300138.SZ:2025-06-18,PITB-80B916173F29877FD683,农产品加工,11.95,0.00167364016736,0.00837603780218,0.0346757785628,-0.248740017941,-0.0105817707822,-0.0942993439975,2,0,0,0,0.141666666667,0.241657359631,7,164,0.141666666667,0.166669315769,-0.0223694706641,0.171232876712,0.0593607305936,0.229452054795,0.0593607305936,0.328767123288,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025-06-25,2025,2025-06-24T15:30:00,2025-06-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300138.SZ:2025-06-24,PITB-80B916173F29877FD683,农产品加工,12.25,0.0122448979592,0.00837603780218,0.0814119010415,-0.537976612832,-0.00491149001772,0.0834438818865,2,1,-0.00819676720418,46,1,1,0,0,1,0.624999006588,-0.0112994624248,0.162100456621,0.716894977169,0.16095890411,0.666666666667,0.216894977169,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025-07-25,2025,2025-07-24T15:30:00,2025-07-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300142.SZ:2025-07-24,PITB-80B916173F29877FD683,生物制品,11.58,0.146804835924,0.0200188668905,0.03098354552,-0.180809187488,0.00481742912844,0.255460045657,8,0,0,0,1,1,0,0,1,0.837438433735,-0.0357142883587,0.392694063927,0.817351598174,0.315068493151,0.767123287671,0.107305936073,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025-10-28,2025-10-29,2025,2025-10-28T15:30:00,2025-10-28T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300171.SZ:2025-10-28,PITB-80B916173F29877FD683,医疗器械,15.6967207334,0.0307885497092,0.0516792063729,0.0158838547926,0.429107585929,0.00328060731147,0.0676320845653,2,41,-0.0547787807658,7,1,1,0,0,1,0.501702533287,-0.0462184580517,0.643835616438,0.680365296804,0.712328767123,0.630136986301,0.143835616438,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
