sample_type,stage_order,stage,initial_n,cumulative_survivors,cumulative_survival_rate,incremental_survivors_from_prior,prior_stage_survivors,incremental_pass_rate,eliminated_at_stage,authoritative_actual_path
wave,0,authoritative_observation,1599,1599,1.0,1599,1599,1.0,0,True
wave,1,corporate_action_clear,1599,1599,1.0,1599,1599,1.0,0,True
wave,2,lifecycle_hard_valid,1599,374,0.23389618511569732,374,1599,0.23389618511569732,1225,True
wave,3,peak_identity_valid,1599,374,0.23389618511569732,374,374,1.0,0,True
wave,4,tradable,1599,373,0.233270794246404,373,374,0.9973262032085561,1,True
wave,5,neutral_or_broken_and_no_cooldown_setup_score_evaluated,1599,373,0.233270794246404,373,373,1.0,0,True
wave,6,setup_score_ge_1_00,1599,0,0.0,0,373,0.0,373,True
wave,7,setup_created,1599,0,0.0,0,0,,0,True
control,0,authoritative_observation,1599,1599,1.0,1599,1599,1.0,0,True
control,1,corporate_action_clear,1599,1597,0.9987492182614134,1597,1599,0.9987492182614134,2,True
control,2,lifecycle_hard_valid,1599,435,0.27204502814258913,435,1597,0.27238572323105825,1162,True
control,3,peak_identity_valid,1599,435,0.27204502814258913,435,435,1.0,0,True
control,4,tradable,1599,428,0.267667292057536,428,435,0.9839080459770115,7,True
control,5,neutral_or_broken_and_no_cooldown_setup_score_evaluated,1599,428,0.267667292057536,428,428,1.0,0,True
control,6,setup_score_ge_1_00,1599,0,0.0,0,428,0.0,428,True
control,7,setup_created,1599,0,0.0,0,0,,0,True
