sample_type,split,predicate,n,pass,fail,pass_rate,production_requires_explicit_peak_age_threshold,production_age_note
wave,total,current_canonical_base,1599,514,1085,0.3214509068167605,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,current_strict_temporal_valid,1599,464,1135,0.29018136335209505,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,no_peak_track_ambiguity,1599,514,1085,0.3214509068167605,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,no_split,1599,1495,104,0.9349593495934959,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,no_merge,1599,1473,126,0.9212007504690432,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,no_lost,1599,1370,229,0.8567854909318324,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,same_canonical_base_id_at_t_minus_20,1599,160,1439,0.10006253908692933,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,production_peak_identity_valid,1599,514,1085,0.3214509068167605,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,production_hard_valid,1599,374,1225,0.23389618511569732,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,base_exists_but_setup_score_rejects,1599,373,1226,0.233270794246404,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,total,no_usable_canonical_structural_base,1599,1085,514,0.6785490931832395,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,current_canonical_base,643,211,432,0.328149300155521,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,current_strict_temporal_valid,643,189,454,0.2939346811819596,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,no_peak_track_ambiguity,643,211,432,0.328149300155521,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,no_split,643,603,40,0.937791601866252,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,no_merge,643,593,50,0.9222395023328149,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,no_lost,643,533,110,0.8289269051321928,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,same_canonical_base_id_at_t_minus_20,643,38,605,0.05909797822706065,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,production_peak_identity_valid,643,211,432,0.328149300155521,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,production_hard_valid,643,150,493,0.2332814930015552,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,base_exists_but_setup_score_rejects,643,150,493,0.2332814930015552,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,discovery,no_usable_canonical_structural_base,643,432,211,0.671850699844479,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,current_canonical_base,541,169,372,0.3123844731977819,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,current_strict_temporal_valid,541,157,384,0.2902033271719039,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,no_peak_track_ambiguity,541,169,372,0.3123844731977819,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,no_split,541,501,40,0.9260628465804066,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,no_merge,541,493,48,0.911275415896488,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,no_lost,541,475,66,0.878003696857671,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,same_canonical_base_id_at_t_minus_20,541,77,464,0.1423290203327172,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,production_peak_identity_valid,541,169,372,0.3123844731977819,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,production_hard_valid,541,136,405,0.2513863216266174,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,base_exists_but_setup_score_rejects,541,135,406,0.24953789279112754,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,validation,no_usable_canonical_structural_base,541,372,169,0.6876155268022182,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,current_canonical_base,415,134,281,0.3228915662650602,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,current_strict_temporal_valid,415,118,297,0.28433734939759037,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,no_peak_track_ambiguity,415,134,281,0.3228915662650602,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,no_split,415,391,24,0.9421686746987952,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,no_merge,415,387,28,0.9325301204819277,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,no_lost,415,362,53,0.8722891566265061,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,same_canonical_base_id_at_t_minus_20,415,45,370,0.10843373493975904,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,production_peak_identity_valid,415,134,281,0.3228915662650602,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,production_hard_valid,415,88,327,0.21204819277108433,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,base_exists_but_setup_score_rejects,415,88,327,0.21204819277108433,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
wave,holdout,no_usable_canonical_structural_base,415,281,134,0.6771084337349398,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,current_canonical_base,1599,601,998,0.3758599124452783,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,current_strict_temporal_valid,1599,547,1052,0.3420888055034397,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,no_peak_track_ambiguity,1599,601,998,0.3758599124452783,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,no_split,1599,1517,82,0.9487179487179487,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,no_merge,1599,1479,120,0.924953095684803,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,no_lost,1599,1383,216,0.8649155722326454,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,same_canonical_base_id_at_t_minus_20,1599,237,1362,0.14821763602251406,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,production_peak_identity_valid,1599,601,998,0.3758599124452783,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,production_hard_valid,1599,435,1164,0.27204502814258913,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,base_exists_but_setup_score_rejects,1599,428,1171,0.267667292057536,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,total,no_usable_canonical_structural_base,1599,998,601,0.6241400875547217,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,current_canonical_base,643,221,422,0.343701399688958,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,current_strict_temporal_valid,643,206,437,0.3203732503888025,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,no_peak_track_ambiguity,643,221,422,0.343701399688958,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,no_split,643,611,32,0.9502332814930016,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,no_merge,643,598,45,0.9300155520995335,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,no_lost,643,555,88,0.8631415241057543,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,same_canonical_base_id_at_t_minus_20,643,46,597,0.07153965785381027,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,production_peak_identity_valid,643,221,422,0.343701399688958,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,production_hard_valid,643,163,480,0.2534992223950233,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,base_exists_but_setup_score_rejects,643,163,480,0.2534992223950233,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,discovery,no_usable_canonical_structural_base,643,422,221,0.656298600311042,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,current_canonical_base,541,233,308,0.43068391866913125,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,current_strict_temporal_valid,541,211,330,0.3900184842883549,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,no_peak_track_ambiguity,541,233,308,0.43068391866913125,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,no_split,541,507,34,0.9371534195933456,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,no_merge,541,491,50,0.9075785582255084,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
control,validation,no_lost,541,467,74,0.8632162661737524,False,No peak_track_age minimum; ev_sticky_base indirectly requires same ID at T-20.
