feature,discovery_direction,discovery_auc_winner_higher,target_discovery_coverage,discovery_threshold,coverage_status,split,wave_n,wave_available,wave_pass,wave_recall_missing_as_fail,control_n,control_available,control_pass,control_acceptance_missing_as_fail,event_sample_enrichment
production_setup_score,>=,0.5,0.8,0.0,ACHIEVABLE,discovery,643,643,643,1.0,643,643,643,1.0,1.0
production_setup_score,>=,0.5,0.8,0.0,ACHIEVABLE,validation,541,541,541,1.0,541,541,541,1.0,1.0
production_setup_score,>=,0.5,0.8,0.0,ACHIEVABLE,holdout,415,415,415,1.0,415,415,415,1.0,1.0
production_setup_score,>=,0.5,0.9,0.0,ACHIEVABLE,discovery,643,643,643,1.0,643,643,643,1.0,1.0
production_setup_score,>=,0.5,0.9,0.0,ACHIEVABLE,validation,541,541,541,1.0,541,541,541,1.0,1.0
production_setup_score,>=,0.5,0.9,0.0,ACHIEVABLE,holdout,415,415,415,1.0,415,415,415,1.0,1.0
production_setup_score,>=,0.5,0.95,0.0,ACHIEVABLE,discovery,643,643,643,1.0,643,643,643,1.0,1.0
production_setup_score,>=,0.5,0.95,0.0,ACHIEVABLE,validation,541,541,541,1.0,541,541,541,1.0,1.0
production_setup_score,>=,0.5,0.95,0.0,ACHIEVABLE,holdout,415,415,415,1.0,415,415,415,1.0,1.0
peak_track_age,<=,0.40825845467607386,0.8,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,1.0,643,221,221,1.0,1.0
peak_track_age,<=,0.40825845467607386,0.8,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,1.0,541,233,232,0.9957081545064378,1.004310344827586
peak_track_age,<=,0.40825845467607386,0.8,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.9925373134328358,415,147,145,0.9863945578231292,1.0062274832732887
peak_track_age,<=,0.40825845467607386,0.9,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,1.0,643,221,221,1.0,1.0
peak_track_age,<=,0.40825845467607386,0.9,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,1.0,541,233,232,0.9957081545064378,1.004310344827586
peak_track_age,<=,0.40825845467607386,0.9,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.9925373134328358,415,147,145,0.9863945578231292,1.0062274832732887
peak_track_age,<=,0.40825845467607386,0.95,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,1.0,643,221,221,1.0,1.0
peak_track_age,<=,0.40825845467607386,0.95,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,1.0,541,233,232,0.9957081545064378,1.004310344827586
peak_track_age,<=,0.40825845467607386,0.95,536.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.9925373134328358,415,147,145,0.9863945578231292,1.0062274832732887
peak_track_mass,<=,0.48101048658617657,0.8,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,221,0.343701399688958,0.9547511312217195
peak_track_mass,<=,0.48101048658617657,0.8,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,168,0.31053604436229204,541,233,233,0.43068391866913125,0.7210300429184548
peak_track_mass,<=,0.48101048658617657,0.8,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.3204819277108434,415,147,147,0.3542168674698795,0.9047619047619048
peak_track_mass,<=,0.48101048658617657,0.9,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,221,0.343701399688958,0.9547511312217195
peak_track_mass,<=,0.48101048658617657,0.9,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,168,0.31053604436229204,541,233,233,0.43068391866913125,0.7210300429184548
peak_track_mass,<=,0.48101048658617657,0.9,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.3204819277108434,415,147,147,0.3542168674698795,0.9047619047619048
peak_track_mass,<=,0.48101048658617657,0.95,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,221,0.343701399688958,0.9547511312217195
peak_track_mass,<=,0.48101048658617657,0.95,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,168,0.31053604436229204,541,233,233,0.43068391866913125,0.7210300429184548
peak_track_mass,<=,0.48101048658617657,0.95,0.8338462015774342,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,133,0.3204819277108434,415,147,147,0.3542168674698795,0.9047619047619048
peak_track_prominence,<=,0.46947309729579034,0.8,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,217,0.33748055987558323,0.9723502304147466
peak_track_prominence,<=,0.46947309729579034,0.8,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,0.3123844731977819,541,233,232,0.4288354898336414,0.7284482758620691
peak_track_prominence,<=,0.46947309729579034,0.8,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,146,0.35180722891566263,0.904109589041096
peak_track_prominence,<=,0.46947309729579034,0.9,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,217,0.33748055987558323,0.9723502304147466
peak_track_prominence,<=,0.46947309729579034,0.9,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,0.3123844731977819,541,233,232,0.4288354898336414,0.7284482758620691
peak_track_prominence,<=,0.46947309729579034,0.9,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,146,0.35180722891566263,0.904109589041096
peak_track_prominence,<=,0.46947309729579034,0.95,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,217,0.33748055987558323,0.9723502304147466
peak_track_prominence,<=,0.46947309729579034,0.95,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,169,0.3123844731977819,541,233,232,0.4288354898336414,0.7284482758620691
peak_track_prominence,<=,0.46947309729579034,0.95,0.03650177314666332,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,146,0.35180722891566263,0.904109589041096
rolling_base_episode_age,<=,0.4209538718878,0.8,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,215,0.3343701399688958,0.9813953488372094
rolling_base_episode_age,<=,0.4209538718878,0.8,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,151,0.27911275415896486,541,233,204,0.37707948243992606,0.7401960784313725
rolling_base_episode_age,<=,0.4209538718878,0.8,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,134,0.3228915662650602,0.9850746268656717
rolling_base_episode_age,<=,0.4209538718878,0.9,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,215,0.3343701399688958,0.9813953488372094
rolling_base_episode_age,<=,0.4209538718878,0.9,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,151,0.27911275415896486,541,233,204,0.37707948243992606,0.7401960784313725
rolling_base_episode_age,<=,0.4209538718878,0.9,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,134,0.3228915662650602,0.9850746268656717
rolling_base_episode_age,<=,0.4209538718878,0.95,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,211,211,0.328149300155521,643,221,215,0.3343701399688958,0.9813953488372094
rolling_base_episode_age,<=,0.4209538718878,0.95,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,169,151,0.27911275415896486,541,233,204,0.37707948243992606,0.7401960784313725
rolling_base_episode_age,<=,0.4209538718878,0.95,33.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,134,132,0.3180722891566265,415,147,134,0.3228915662650602,0.9850746268656717
base_presence_20,<=,0.48301335348954394,0.8,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
base_presence_20,<=,0.48301335348954394,0.8,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
base_presence_20,<=,0.48301335348954394,0.8,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
base_presence_20,<=,0.48301335348954394,0.9,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
base_presence_20,<=,0.48301335348954394,0.9,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
base_presence_20,<=,0.48301335348954394,0.9,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
base_presence_20,<=,0.48301335348954394,0.95,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
base_presence_20,<=,0.48301335348954394,0.95,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
base_presence_20,<=,0.48301335348954394,0.95,1.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.8,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.8,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.8,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.9,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.9,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.9,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.95,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,discovery,643,315,315,0.48989113530326595,643,315,315,0.48989113530326595,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.95,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,validation,541,541,541,1.0,541,541,541,1.0,1.0
ambiguity_rate_20,>=,0.5222726127488032,0.95,0.0,UNACHIEVABLE_DUE_TO_MISSINGNESS,holdout,415,415,415,1.0,415,415,415,1.0,1.0
model_spread_cost_p50,>=,0.5787276438569207,0.8,0.06104300973670096,ACHIEVABLE,discovery,643,643,515,0.8009331259720062,643,640,465,0.7231726283048211,1.10752688172043
model_spread_cost_p50,>=,0.5787276438569207,0.8,0.06104300973670096,ACHIEVABLE,validation,541,541,437,0.8077634011090573,541,536,403,0.744916820702403,1.0843672456575684
model_spread_cost_p50,>=,0.5787276438569207,0.8,0.06104300973670096,ACHIEVABLE,holdout,415,415,338,0.8144578313253013,415,414,309,0.744578313253012,1.0938511326860842
model_spread_cost_p50,>=,0.5787276438569207,0.9,0.042003478475670875,ACHIEVABLE,discovery,643,643,579,0.9004665629860031,643,640,530,0.8242612752721618,1.0924528301886793
model_spread_cost_p50,>=,0.5787276438569207,0.9,0.042003478475670875,ACHIEVABLE,validation,541,541,495,0.9149722735674677,541,536,452,0.8354898336414048,1.095132743362832
model_spread_cost_p50,>=,0.5787276438569207,0.9,0.042003478475670875,ACHIEVABLE,holdout,415,415,372,0.8963855421686747,415,414,366,0.8819277108433735,1.0163934426229508
model_spread_cost_p50,>=,0.5787276438569207,0.95,0.03338275527218659,ACHIEVABLE,discovery,643,643,611,0.9502332814930016,643,640,574,0.8926905132192846,1.0644599303135889
model_spread_cost_p50,>=,0.5787276438569207,0.95,0.03338275527218659,ACHIEVABLE,validation,541,541,510,0.9426987060998152,541,536,480,0.8872458410351202,1.0625
