split,first_authoritative_blocker,nested_root_cause,count,denominator,percent
discovery,hard_valid,ENSEMBLE_PEAK_AMBIGUOUS,421,643,65.47433903576983
discovery,setup_score,ALL_FIVE_ACCUMULATION_COMPONENTS_NOT_SATISFIED,150,643,23.32814930015552
discovery,hard_valid,OTHER_LIFECYCLE_HARD_VALID_INPUT,39,643,6.065318818040436
discovery,hard_valid,TRACKED_BASE_SPLIT_MERGE_OR_LOST,22,643,3.421461897356143
discovery,hard_valid,NO_CANONICAL_PEAK_IDENTITY_OTHER,11,643,1.7107309486780715
holdout,hard_valid,ENSEMBLE_PEAK_AMBIGUOUS,275,415,66.26506024096386
holdout,setup_score,ALL_FIVE_ACCUMULATION_COMPONENTS_NOT_SATISFIED,88,415,21.204819277108435
holdout,hard_valid,OTHER_LIFECYCLE_HARD_VALID_INPUT,30,415,7.228915662650603
holdout,hard_valid,TRACKED_BASE_SPLIT_MERGE_OR_LOST,16,415,3.855421686746988
holdout,hard_valid,NO_CANONICAL_PEAK_IDENTITY_OTHER,6,415,1.4457831325301205
total,hard_valid,ENSEMBLE_PEAK_AMBIGUOUS,1057,1599,66.1038148843027
total,setup_score,ALL_FIVE_ACCUMULATION_COMPONENTS_NOT_SATISFIED,373,1599,23.3270794246404
total,hard_valid,OTHER_LIFECYCLE_HARD_VALID_INPUT,90,1599,5.628517823639775
total,hard_valid,TRACKED_BASE_SPLIT_MERGE_OR_LOST,50,1599,3.1269543464665417
total,hard_valid,NO_CANONICAL_PEAK_IDENTITY_OTHER,28,1599,1.7510944340212633
total,tradable,NOT_TRADABLE_AT_DECISION,1,1599,0.06253908692933083
validation,hard_valid,ENSEMBLE_PEAK_AMBIGUOUS,361,541,66.72828096118299
validation,setup_score,ALL_FIVE_ACCUMULATION_COMPONENTS_NOT_SATISFIED,135,541,24.953789279112755
validation,hard_valid,OTHER_LIFECYCLE_HARD_VALID_INPUT,21,541,3.8817005545286505
validation,hard_valid,TRACKED_BASE_SPLIT_MERGE_OR_LOST,12,541,2.2181146025878005
validation,hard_valid,NO_CANONICAL_PEAK_IDENTITY_OTHER,11,541,2.033271719038817
validation,tradable,NOT_TRADABLE_AT_DECISION,1,541,0.18484288354898337
