feature,split,wave_n,wave_available,wave_mean_or_prevalence,control_n,control_available,control_mean_or_prevalence,wave_minus_control,auc_winner_higher,production_setup_role
ensemble_ambiguity,total,1599,1599,0.6610381488430269,1599,1599,0.6010006253908693,0.060037523452157626,,DESCRIPTIVE_STATE_ASSOCIATED_WITH_DIRECT_PEAK_AMBIGUITY
ensemble_ambiguity,discovery,643,643,0.6547433903576982,643,643,0.640746500777605,0.013996889580093264,,DESCRIPTIVE_STATE_ASSOCIATED_WITH_DIRECT_PEAK_AMBIGUITY
ensemble_ambiguity,validation,541,541,0.66728280961183,541,541,0.5341959334565619,0.13308687615526804,,DESCRIPTIVE_STATE_ASSOCIATED_WITH_DIRECT_PEAK_AMBIGUITY
ensemble_ambiguity,holdout,415,415,0.6626506024096386,415,415,0.6265060240963856,0.03614457831325302,,DESCRIPTIVE_STATE_ASSOCIATED_WITH_DIRECT_PEAK_AMBIGUITY
peak_track_ambiguous,total,1599,1599,0.6785490931832395,1599,1599,0.6241400875547217,0.054409005628517804,,DIRECT_FAIL_CLOSED_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY
peak_track_ambiguous,discovery,643,643,0.671850699844479,643,643,0.656298600311042,0.015552099533436947,,DIRECT_FAIL_CLOSED_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY
peak_track_ambiguous,validation,541,541,0.6876155268022182,541,541,0.5693160813308688,0.11829944547134941,,DIRECT_FAIL_CLOSED_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY
peak_track_ambiguous,holdout,415,415,0.6771084337349398,415,415,0.6457831325301204,0.031325301204819356,,DIRECT_FAIL_CLOSED_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY
ambiguity_rate_20,total,1599,1271,0.6601888276947285,1599,1271,0.5964988198269079,0.06369000786782064,0.548867460959577,DESCRIPTIVE_PERSISTENCE_NOT_A_DIRECT_GATE
ambiguity_rate_20,discovery,643,315,0.6571428571428571,643,315,0.6276190476190476,0.029523809523809508,0.5222726127488032,DESCRIPTIVE_PERSISTENCE_NOT_A_DIRECT_GATE
ambiguity_rate_20,validation,541,541,0.6442698706099815,541,541,0.5604436229205175,0.083826247689464,0.5671926090180094,DESCRIPTIVE_PERSISTENCE_NOT_A_DIRECT_GATE
ambiguity_rate_20,holdout,415,415,0.6832530120481928,415,415,0.6198795180722891,0.06337349397590364,0.5422325446363768,DESCRIPTIVE_PERSISTENCE_NOT_A_DIRECT_GATE
