pair_id,wave_event_id,wave_symbol,control_event_id,symbol,feature_date,feature_position,split,board,matching_contract
001d5b6add54c03d89c500de63fd5b0f8271e9c55c0d72daf279a91e4fa455cc,001d5b6add54c03d89c500de63fd5b0f8271e9c55c0d72daf279a91e4fa455cc,000635.SZ,827ff136f8cd6f98d92bf91deaa838ef1d23b22413fa3b2c7fc99d7df95bade6,002036.SZ,2020-09-30,182,holdout,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
008d02a42f316d3db5f58bdff1934246b839ebd97ccc84f4fdf547a78be9f50e,008d02a42f316d3db5f58bdff1934246b839ebd97ccc84f4fdf547a78be9f50e,000156.SZ,71fefa7385ceb9acd27f49dfc03df698f097f4a9f535192a663b7d8474baf15f,000835.SZ,2020-02-03,16,discovery,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
00c1879978364b87c482d22f51a76bba4e796725fec72bbbff1f3d921cd9c2f9,00c1879978364b87c482d22f51a76bba4e796725fec72bbbff1f3d921cd9c2f9,002022.SZ,ef81177b4d01e41959dc2edd871210979a44f2685e63b31a2c3fd587c73a862c,000821.SZ,2020-12-31,242,holdout,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
00dea0275d93ad0ec29a0da1b4b1cdfc99940813a606876b3eb234d89745f62c,00dea0275d93ad0ec29a0da1b4b1cdfc99940813a606876b3eb234d89745f62c,000555.SZ,c7379fbc997dfcc186095028ed51beec9f7a61e93ef274df9f22c15aa18d2ab5,000411.SZ,2020-08-13,148,validation,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
00ea3e09c840249e4f638a7e62f22749232168d6f2d0cd03a58282199cc42e8b,00ea3e09c840249e4f638a7e62f22749232168d6f2d0cd03a58282199cc42e8b,000970.SZ,f9ca22f2f51f4a054e28ca6cd44d665ee71773a9f9432bb67eaca1ed43cd9a2f,002037.SZ,2020-02-03,16,discovery,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
010084a657f8da912461c5ac60f4d7bd4d6e241b2ec46fef39cb9e7d19d297d2,010084a657f8da912461c5ac60f4d7bd4d6e241b2ec46fef39cb9e7d19d297d2,000610.SZ,6c322808bac3af26968ff419726861a802a32d7735361d80da4062ea87954c29,000717.SZ,2020-04-01,58,discovery,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
0174e5eb83438666887ccef7a4e2ab93db428adc4f5bfd8458bbf4c9bfbe4485,0174e5eb83438666887ccef7a4e2ab93db428adc4f5bfd8458bbf4c9bfbe4485,000610.SZ,b66c3f8f967d104de48c3fdf1d6c2909e5d97a6e5fb950df4e7b7d29f0f2d315,000802.SZ,2020-09-10,168,holdout,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
0188662d70bcb97fd9329694d1c938114a2a6b4f555084033516ae3a375112cd,0188662d70bcb97fd9329694d1c938114a2a6b4f555084033516ae3a375112cd,000023.SZ,0fcd77e7943011c22c95309ea7f0aecc59b3fe240b5b7ec1286d07225bc76ace,000655.SZ,2020-09-16,172,holdout,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
019364700e187dc517ee5e745f5c64cfe29c7c978df5ebced23370acc25647ae,019364700e187dc517ee5e745f5c64cfe29c7c978df5ebced23370acc25647ae,000541.SZ,f2d584b4bb39cfa15fe0d764d01917204ff5f886cc1ae56abede9e6fbc681eef,000010.SZ,2020-06-18,110,validation,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
01a11ccb5f513e3655e583f7ea697ee5185015ea9bb9d16714380bf117838a55,01a11ccb5f513e3655e583f7ea697ee5185015ea9bb9d16714380bf117838a55,000425.SZ,9d6c2ccfca2fedfcf1e655cde24ba0dca2706944d1db4bfe4eb58530f300b648,000055.SZ,2020-04-29,77,discovery,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
01b3cd4a78f63cff63ea4134c6243d71a90cadc177c472a1955e878622d676ac,01b3cd4a78f63cff63ea4134c6243d71a90cadc177c472a1955e878622d676ac,002007.SZ,65eb4bede1e67edf2bce5a21b5b2003c8f778516ef1c374d37b1936b1a06f053,000426.SZ,2020-01-08,4,discovery,MAIN,EXACT_FEATURE_DATE_AND_BOARD_WITHOUT_REPLACEMENT_WITHIN_STRATUM;UNION_UPSIDE_NEGATIVE;DISTANCE_GT_10_FROM_SAME_SYMBOL_SELECTED_WAVE
