population,n,missing,mean,min,p05,p25,median,p75,p95,max,rate_ge_0_2,rate_ge_0_4,rate_ge_0_6,rate_ge_0_8,rate_ge_1_0
all_authoritative_rows,121251,0,0.0003232963027109055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000610304244913444,0.0005608201169474891,0.00034638889576168444,9.072090127091735e-05,8.247354660992487e-06
all_score_stage_rows,27317,0,0.0012519676391990336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002379470659296409,0.0021598272138228943,0.001391075154665593,0.00029285792729801956,3.6607240912252445e-05
waves_all,1599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waves_score_stage,373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controls_all,1599,0,0.0002501563477173233,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0006253908692933083,0.0006253908692933083,0.0,0.0,0.0
controls_score_stage,428,0,0.0009345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.002336448598130841,0.002336448598130841,0.0,0.0,0.0
