scenario,strategy,n,status,correlation,joint_negative_days
N_MAIN_N4_MAX_DEPLOYABLE,atrdr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.294675998931859,214
N_MAIN_N4_CAP10,atrdr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.32779574017458607,217
N_MAIN_N9_MAX_DEPLOYABLE,atrdr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.24847456331617884,175
N_MAIN_N9_CAP10,atrdr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.30259239214609085,176
N_MAIN_N4_MAX_DEPLOYABLE,mcb,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.23379362344452986,106
N_MAIN_N4_CAP10,mcb,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.254751585090799,108
N_MAIN_N9_MAX_DEPLOYABLE,mcb,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.2150619343023893,102
N_MAIN_N9_CAP10,mcb,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.25860756953836195,102
N_MAIN_N4_MAX_DEPLOYABLE,ogr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.1551360546821465,117
N_MAIN_N4_CAP10,ogr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.12921041546825385,118
N_MAIN_N9_MAX_DEPLOYABLE,ogr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.07286666833321524,91
N_MAIN_N9_CAP10,ogr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.07638215934474767,90
N_MAIN_N4_MAX_DEPLOYABLE,ifcgr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.1654863724552524,117
N_MAIN_N4_CAP10,ifcgr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.14209586965560952,118
N_MAIN_N9_MAX_DEPLOYABLE,ifcgr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.07451789519353376,91
N_MAIN_N9_CAP10,ifcgr,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.0781079818155422,90
N_MAIN_N4_MAX_DEPLOYABLE,smv6,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.2107499064686865,86
N_MAIN_N4_CAP10,smv6,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.2234587905522335,82
N_MAIN_N9_MAX_DEPLOYABLE,smv6,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.18147639658823425,79
N_MAIN_N9_CAP10,smv6,969,PARTIAL_ALIGNED_RESEARCH_NAV,0.16665371283872218,68
