family,split,cell,size,count,mean,median
OLD_30_5,DEDUP10,all,53967,29695,-0.015707616160235454,-0.025752875540612896
N,market_gate,False,22060,13495,-0.0042648276990065485,-0.009173470162917807
N,market_gate,True,79345,44130,-0.010731255614257196,-0.01756204132701228
N,VCP_GUARD,0.0,75751,42600,-0.008435689812436448,-0.015388675100548421
N,VCP_GUARD,1.0,25654,15025,-0.011431865161096223,-0.01651499333122486
N,long,0.0,84757,49708,-0.009292839467935311,-0.015564114777092575
N,long,1.0,16648,7917,-0.008740140935093474,-0.017872640012460805
N,board,CHINEXT_10,4443,2239,0.008297490948356589,-0.0030359239805112237
N,board,CHINEXT_20,18589,11562,-0.008966042674228855,-0.014964314523399802
N,board,MAIN,74302,41487,-0.010992182513614826,-0.016960661092006446
N,board,STAR,4071,2337,0.004277201135275332,-0.002265221277661933
N,DEDUP10,all,52716,31474,-0.00952308854227828,-0.01591108877330427
