year,rows,symbols,hard_valid,industry_valid
2018,860450,3587,802042,803046
2019,894370,3789,837138,837814
2020,957562,4180,902180,902608
2021,1068725,4650,1017199,1017914
2022,1155795,4975,1110664,1112668
2023,1218488,5168,1184214,1185601
