scenario,max_industry_NAV,mean_largest_industry_NAV,max_unknown_industry_NAV,cash_no_signal_daily_mean,cash_slots_daily_mean,best_year,return_ex_best_year,illegal_submissions
OLD_MAIN_B0_MAX_DEPLOYABLE,0.5224875609090832,0.18747251364033216,0.0,1030.9278350515465,8423.052750472714,2020,-0.8175930523821963,0
OLD_MAIN_B0_CAP10,0.510173030954147,0.17371347460739847,0.0,1030.9278350515465,12586.901189637962,2020,-0.801662212131578,0
OLD_MAIN_P_MAX_DEPLOYABLE,0.5127401282633105,0.18405386680691616,0.0,1030.9278350515465,12063.96413629591,2020,-0.7119211304986022,0
OLD_MAIN_P_CAP10,0.5067105608109436,0.17556785104912626,0.0,1030.9278350515465,15987.799181199183,2020,-0.6938493350630612,0
OLD_MAIN_C_MAX_DEPLOYABLE,0.4030852818322603,0.18651983444850928,0.0,1030.9278350515465,16898.87642688621,2020,-0.6423799127158785,0
OLD_MAIN_C_CAP10,0.39251325026432576,0.16787402099135104,0.0,1030.9278350515465,21698.700118506476,2020,-0.6558256288605069,0
OLD_MAIN_PC_MAX_DEPLOYABLE,0.43231652352272626,0.17885546527123997,0.0,1030.9278350515465,22314.731930109705,2021,-0.4352319362668077,0
OLD_MAIN_PC_CAP10,0.40688152755332035,0.16733054203448547,0.0,1030.9278350515465,30724.430139159118,2021,-0.4108285393581562,0
OLD_COST_B0_MAX_DEPLOYABLE,0.5262051240273334,0.19220378892600612,0.0,1030.9278350515465,6813.628824481885,2020,-0.8791833400887397,0
OLD_COST_B0_CAP10,0.5081116010453074,0.17384929514132563,0.0,1030.9278350515465,9885.47225732848,2020,-0.8530965697801912,0
OLD_COST_PC_MAX_DEPLOYABLE,0.6350916926045528,0.18542636995261103,0.0,1030.9278350515465,17781.26100810273,2020,-0.6018808625160423,0
OLD_COST_PC_CAP10,0.5993760769699393,0.1753610643124019,0.0,1030.9278350515465,25149.12424762512,2020,-0.554978718028911,0
OLD_DELAY_B0_MAX_DEPLOYABLE,0.5604149047313384,0.2031576739874849,0.0,2061.855670103093,13365.806090140399,2020,-0.9211686513796875,0
OLD_DELAY_B0_CAP10,0.5053446422261428,0.1803334485307343,0.0,2061.855670103093,21482.17562227206,2020,-0.8851058395997996,0
OLD_DELAY_PC_MAX_DEPLOYABLE,0.3932741922843823,0.17482931212260566,0.0,2061.855670103093,22889.975319634876,2020,-0.40930821110005333,0
OLD_DELAY_PC_CAP10,0.380523307905164,0.16060040539724157,0.0,2061.855670103093,34651.42291893816,2020,-0.3836886609245467,0
OLD_NEIGHBOR_B0_CAP10_20_3,0.40023034464115176,0.1649749679367715,0.0,1030.9278350515465,10803.978681334329,2021,-0.8635406925043088,0
OLD_NEIGHBOR_PC_CAP10_20_3,0.509643053603098,0.16736206559836983,0.0,1030.9278350515465,33021.67655189613,2021,-0.47042185833210703,0
OLD_NEIGHBOR_B0_CAP10_40_8,0.4153783427987192,0.17648718313595865,0.0,1030.9278350515465,11713.898321002527,2021,-0.8672919807217063,0
OLD_NEIGHBOR_PC_CAP10_40_8,0.4903299757056327,0.16694060305115335,0.0,1030.9278350515465,22368.371157050104,2020,-0.5668661933465114,0
N_MAIN_N0_MAX_DEPLOYABLE,0.677117466196267,0.20063229165298757,0.0,1030.9278350515465,14116.78194402778,2020,-0.7995935666531946,0
N_MAIN_N0_CAP10,0.626572818787851,0.18858123112988237,0.0,1030.9278350515465,19525.783360496185,2020,-0.7599573673015194,0
N_MAIN_N1_MAX_DEPLOYABLE,0.6292742405798766,0.20305228550620152,0.0,2181.1629300605064,20273.212600478346,2020,-0.7011337282915694,0
N_MAIN_N1_CAP10,0.5392433605239108,0.17536612612947847,0.0,2819.7982619348422,25663.01020811582,2020,-0.7090562968931173,0
N_MAIN_N2_MAX_DEPLOYABLE,0.6093481182664833,0.21233116237745536,0.0,2223.9858414619566,14985.992658174608,2020,-0.7049467309834987,0
N_MAIN_N2_CAP10,0.5760667200608361,0.18251798965788993,0.0,2821.2286471999887,19328.22555106232,2020,-0.6814298061691331,0
N_MAIN_N3_MAX_DEPLOYABLE,0.9983734022247973,0.3508826456543572,0.0,43779.72237213593,14154.980890585352,2020,-0.44891078232946147,0
N_MAIN_N3_CAP10,0.5163920311541296,0.1654823690139583,0.0,58196.95903092949,15750.501476078665,2020,-0.43606537973640946,0
N_MAIN_N4_MAX_DEPLOYABLE,0.9970681910299359,0.3439495739366827,0.0,39763.653835875615,12273.053551097071,2020,-0.7096167612139356,0
N_MAIN_N4_CAP10,0.5196293175414803,0.1708725073032015,0.0,63090.141084326955,14170.037184358735,2020,-0.4390156150928419,0
N_MAIN_N5_MAX_DEPLOYABLE,0.9918663310900194,0.3936802552096957,0.0,37370.30006364358,7267.856304326821,2020,-0.8284777149801388,0
N_MAIN_N5_CAP10,0.4133199211288545,0.15399532466539695,0.0,103591.42924927322,9913.53812672493,2020,-0.5590601817937391,0
N_MAIN_N6_MAX_DEPLOYABLE,0.996362371738159,0.3360218842658063,0.0,32068.160645686792,10477.075415399895,2020,-0.7481427229549256,0
N_MAIN_N6_CAP10,0.5186991147971334,0.1683853367866981,0.0,59446.98135137598,14479.477559058167,2020,-0.43641190633288507,0
N_MAIN_N7_MAX_DEPLOYABLE,0.9966210267970083,0.29375028504135575,0.0,158420.128795133,7532.910200101714,2020,-0.5485209239040252,0
N_MAIN_N7_CAP10,0.519967720041318,0.14038361818438772,0.0,222125.51629513167,13425.145773872082,2021,-0.3767831959061534,0
N_MAIN_N8_MAX_DEPLOYABLE,0.9980306069237521,0.344626235675543,0.0,40791.79778429858,12755.39060958664,2020,-0.6290329468476092,0
N_MAIN_N8_CAP10,0.515180821754897,0.17670477842960852,0.0,69839.59089508407,15703.6026301345,2020,-0.4485294830737464,0
N_MAIN_N9_MAX_DEPLOYABLE,0.9992592667827347,0.30805474631907537,0.0,192099.0524786772,10526.211191877906,2021,-0.37695310450509456,0
N_MAIN_N9_CAP10,0.5985394428375858,0.14144787597661806,0.0,242485.38726855858,15557.389684118552,2021,-0.2766828038287379,0
N_COST_N1_MAX_DEPLOYABLE,0.6256165156450392,0.20546347319067704,0.0,2253.8774865707373,20941.100041980604,2020,-0.7086624799550455,0
N_COST_N1_CAP10,0.5410972495410671,0.17920107328354384,0.0,2813.647719280002,26851.60047589178,2020,-0.6910138037041568,0
N_COST_N4_MAX_DEPLOYABLE,0.9972823429562148,0.34514793350889045,0.0,33335.31903979294,9917.495752249664,2020,-0.7554443492369947,0
N_COST_N4_CAP10,0.5200353180495334,0.16878685007898742,0.0,59884.235869167656,13603.494226251569,2020,-0.5229139041130857,0
N_COST_N9_MAX_DEPLOYABLE,0.9991729985989691,0.3033417687559249,0.0,178585.83051617505,10275.07960406184,2020,-0.3897273875683508,0
N_COST_N9_CAP10,0.6005892796244875,0.14080224981789535,0.0,236083.70653693713,15300.125732563167,2021,-0.31194334733803397,0
N_DELAY_N1_MAX_DEPLOYABLE,0.5661900240592653,0.211840501925772,0.0,3333.6529358955627,15415.404215817585,2020,-0.6212093799716008,0
N_DELAY_N1_CAP10,0.5123780149681522,0.172709784964788,0.0,4013.2938386140167,21565.28869189407,2020,-0.6057950211358916,0
N_DELAY_N4_MAX_DEPLOYABLE,0.9967678142115677,0.30143482031786034,0.0,29291.024439222805,10917.097995424878,2021,-0.6323203654974225,0
N_DELAY_N4_CAP10,0.5113475147451081,0.16577721756910924,0.0,60550.50696458568,17093.69627062961,2021,-0.4726294320083081,0
N_DELAY_N9_MAX_DEPLOYABLE,0.9986098727575904,0.24192440453314593,0.0,106988.57919194245,7068.823201867483,2023,-0.6368902245889008,0
N_DELAY_N9_CAP10,0.4206105058364939,0.13259684754704548,0.0,154731.6224459807,13045.863353281013,2021,-0.5038276995437557,0
N_EXIT_N1_MAX_DEPLOYABLE,0.6540023808299978,0.21400912811842648,0.0,3200.2750477282434,9011.653765259653,2021,-0.8139101899779588,0
N_EXIT_N1_CAP10,0.6023450019422011,0.1851918025652756,0.0,3487.156471744536,10563.190167458144,2021,-0.7612863015626614,0
N_EXIT_N4_MAX_DEPLOYABLE,0.98029071571509,0.3645831108351965,0.0,50147.84041172234,7579.741112317441,2020,-0.6534129729417273,0
N_EXIT_N4_CAP10,0.6162861256192722,0.17106918722717496,0.0,71576.89901054536,8118.803307508771,2021,-0.546144935407617,0
N_EXIT_N9_MAX_DEPLOYABLE,0.9439703060448527,0.30150538980858527,0.0,184462.42947555362,5807.515720652561,2021,-0.5195374297107413,0
N_EXIT_N9_CAP10,0.5105703810670403,0.1370736994312179,0.0,188131.71764404362,6401.459097556017,2021,-0.5196384340334863,0
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,0.9977562179336246,0.3566902970849659,0.0,45125.2612651359,14883.253986959946,2020,-0.6372871686900964,0
INDUSTRY_N4_MATCH_CAP10,0.5178418727540266,0.17088815515394218,0.0,62331.114092121854,14221.8447975927,2020,-0.4520780113514842,0
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,0.9985713687335838,0.3542986307198374,0.0,61431.38572556455,14523.102992337785,2020,-0.6127044270543558,0
INDUSTRY_N4_PLUS_CAP10,0.5160907068239773,0.1831655459080578,0.0,72165.37507557344,16300.195462311298,2020,-0.36132327680209875,0
