scenario,stage,status,count
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,27
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,FILLED,800
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,HELD,973
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,44
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,838
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101339
OLD_MAIN_B0_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,10
OLD_MAIN_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,3
OLD_MAIN_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,7
OLD_MAIN_B0_CAP10,ENTRY,CASH_OR_CAPACITY,24
OLD_MAIN_B0_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_B0_CAP10,ENTRY,FILLED,800
OLD_MAIN_B0_CAP10,ENTRY,HELD,969
OLD_MAIN_B0_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,44
OLD_MAIN_B0_CAP10,ENTRY,OVER_LIMIT,841
OLD_MAIN_B0_CAP10,ENTRY,SLOTS_OR_RANK,101343
OLD_MAIN_B0_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,10
OLD_MAIN_B0_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,3
OLD_MAIN_B0_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,7
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,13
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,FILLED,800
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,HELD,959
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,1
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,31
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,845
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101377
OLD_MAIN_P_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,5
OLD_MAIN_P_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_P_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,9
OLD_MAIN_P_CAP10,ENTRY,CASH_OR_CAPACITY,11
OLD_MAIN_P_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_P_CAP10,ENTRY,FILLED,802
OLD_MAIN_P_CAP10,ENTRY,HELD,965
OLD_MAIN_P_CAP10,ENTRY,INVALID_EXECUTION_DATA,1
OLD_MAIN_P_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,30
OLD_MAIN_P_CAP10,ENTRY,OVER_LIMIT,836
OLD_MAIN_P_CAP10,ENTRY,SLOTS_OR_RANK,101381
OLD_MAIN_P_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,5
OLD_MAIN_P_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_P_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,9
