family,path_high,other_high,n,net10_mean,net10_median
OLD_30_5,False,False,13846,-0.016684641104797594,-0.028731182878079853
OLD_30_5,False,True,13408,-0.01695234003322667,-0.02846252230940144
OLD_30_5,True,False,10514,-0.01567383204816113,-0.024112949791292915
OLD_30_5,True,True,15852,-0.01487270923127051,-0.023364474398771706
N,False,False,347,-0.019835787799477193,-0.037532911570114624
N,False,True,504,-0.012607373497437969,-0.01591922827378428
N,True,False,446,0.0015774745703902497,-0.010344639616177431
N,True,True,886,-0.004865135676225271,-0.010204560098686699
