scenario,signals,filled,lowopen_count,lowopen_pnl,lowopen_pnl_other,buy_day_structure_breaches,intraday_only_structure_touches,open_positions,stale_open_positions,unallocated_fraction,integer_allocation_uncertain_events,best_stock,best_stock_pnl,pnl_ex_best_stock,largest_trade_pnl,worst_trade_pnl,planned_risk_exceeded,max_planned_risk_nav,return_ex_best_day,return_ex_best_five_days
OLD_MAIN_B0_MAX_DEPLOYABLE,104348,800,279,-650926.121023,-194951.0635286002,7,336,10,0,0.0,0,603005.SH,48807.73628000001,-894684.9208316002,58904.258279999995,-48409.69056,95,0.06773195720401559,-0.8605706232205996,-0.8906253974189653
OLD_MAIN_B0_CAP10,104348,800,280,-616166.5218214002,-212520.9141007997,7,334,10,0,0.0,0,603005.SH,48807.73628000001,-877495.1722021999,44607.867840000006,-37660.44408,95,0.038986261887971926,-0.8439043383275149,-0.8761148241299264
OLD_MAIN_P_MAX_DEPLOYABLE,104348,800,239,-444606.90085400024,-250512.0730001001,7,337,6,0,0.0,0,002455.SZ,103002.36480000001,-798121.3386541003,103002.36480000001,-35874.44431999998,115,0.048308490646854156,-0.7093870713527568,-0.761879518134392
OLD_MAIN_P_CAP10,104348,802,240,-444085.67721020017,-239399.06920880036,7,340,7,0,0.4000000000000057,1,002455.SZ,98424.48192,-781909.2283390005,98424.48192,-38320.429159999985,117,0.04410350557358146,-0.6964968459416443,-0.7497416894192948
OLD_MAIN_C_MAX_DEPLOYABLE,104348,830,219,-395314.71689430013,-206039.58861630052,38,566,10,0,0.3999999999998636,1,300236.SZ,76438.44460000002,-677792.7501106007,90200.81980000001,-33435.389439999984,178,0.029707350681203868,-0.632290562821356,-0.6979647315441093
OLD_MAIN_C_CAP10,104348,830,219,-393462.2693079001,-216480.59125530053,38,566,10,0,0.5999999999997954,1,300236.SZ,69471.52216,-679414.3827232006,82469.32096,-31386.107999999993,178,0.025988001772551977,-0.6400700756205941,-0.7036052726116291
OLD_MAIN_PC_MAX_DEPLOYABLE,104348,823,193,-397482.9256529,44806.073416900006,22,449,7,0,0.0,0,688068.SH,277075.3593096,-629752.2115456001,277075.3593096,-99783.74035999994,148,0.0374152781999991,-0.3935895124958818,-0.5144422225420292
OLD_MAIN_PC_CAP10,104348,823,193,-334780.65284960007,62741.598160299356,22,449,7,0,0.0,0,688068.SH,303565.76833919995,-575604.8230285007,303565.76833919995,-57054.27816,148,0.030931537518745975,-0.316579289752407,-0.4494535801622195
OLD_COST_B0_MAX_DEPLOYABLE,104348,793,282,-618037.7580325998,-289754.48999219993,6,343,10,0,0.0,0,600392.SH,41676.418560000006,-949468.6665847999,41829.0664,-43312.934399999984,103,0.055539860189119,-0.9161649374149275,-0.9341838344105524
OLD_COST_B0_CAP10,104348,793,282,-586526.7474876,-301308.63286199997,6,344,10,0,0.0,0,300460.SZ,37241.97263999999,-925077.3529896,38198.824960000005,-36094.11200000001,104,0.039252478561193044,-0.8980200509241982,-0.9187546958723559
OLD_COST_PC_MAX_DEPLOYABLE,104348,820,194,-286987.9003948001,-273946.7366209999,19,451,8,0,0.0,0,300236.SZ,67223.0652,-628157.7022157998,82026.8544,-64276.17824000001,152,0.03572154753257529,-0.5803537651614801,-0.656638457058033
OLD_COST_PC_CAP10,104348,821,191,-230486.67284000004,-264322.6766659998,20,450,7,0,0.0,0,300236.SZ,64659.725999999995,-559469.0755059998,79463.5152,-40212.07344000001,151,0.030806054763899735,-0.5138121086426792,-0.600416948570414
OLD_DELAY_B0_MAX_DEPLOYABLE,104348,807,558,-542069.7658103004,-351432.92490490025,46,379,9,0,0.0,0,600211.SH,105098.71871999998,-998601.4094352007,105098.71871999998,-49320.82320000001,68,0.09128077136376553,-0.908129744591842,-0.9269927952958747
OLD_DELAY_B0_CAP10,104348,808,559,-519049.59760460054,-333136.5841801001,46,384,9,0,0.0,0,600211.SH,85392.70895999996,-937578.8907447004,85392.70895999996,-38858.830400000006,68,0.041870478230306166,-0.8685710590784531,-0.8934332223506825
OLD_DELAY_PC_MAX_DEPLOYABLE,104348,822,496,-212933.02440840018,-116542.68523650024,100,579,10,0,0.0,0,300677.SZ,94414.411,-423890.1206449005,64765.22108000002,-49954.82139999997,123,0.04441674876078776,-0.3782451666357374,-0.4846064755283295
OLD_DELAY_PC_CAP10,104348,822,496,-209416.51818949997,-95580.68245709987,100,579,10,0,0.0,0,300677.SZ,86151.14455999997,-391148.34520659986,55513.04664,-41330.54239999999,123,0.03691645922466176,-0.34999718504444355,-0.4584990717816745
OLD_NEIGHBOR_B0_CAP10_20_3,135829,788,349,-454030.3346208002,-412389.28425980033,16,435,7,0,0.0,0,002603.SZ,51025.693479999994,-917445.3123606005,45560.465039999995,-34615.377680000005,151,0.03309121084961967,-0.8788792436617758,-0.9034844314479658
OLD_NEIGHBOR_PC_CAP10_20_3,135829,828,223,-173399.78292950027,-81548.954501601,45,636,9,0,0.0,0,002455.SZ,127036.24992,-381984.9873511011,127036.24992,-70865.45975999998,171,0.03189381312855668,-0.2866077475617437,-0.427910104205267
OLD_NEIGHBOR_B0_CAP10_40_8,80027,801,280,-402548.2220583003,-460241.45725260035,2,169,10,0,0.0,0,603976.SH,68699.45988,-931489.1391909006,58038.373800000016,-35867.08960000001,64,0.055796768979570845,-0.878108086790614,-0.9039361900285579
OLD_NEIGHBOR_PC_CAP10_40_8,80027,825,183,-271412.8444439003,-345878.72389440035,12,352,8,0,0.0,0,002605.SZ,59328.11544000004,-676619.6837783006,59328.11544000004,-35433.57168000001,111,0.03439545753980348,-0.6300730356501584,-0.685814094433931
N_MAIN_N0_MAX_DEPLOYABLE,101405,828,257,-122862.83426940022,-655970.0122416001,10,298,9,0,0.10253999999963526,1,600744.SH,75956.8128,-854789.6593110004,75956.8128,-52203.46512000001,103,0.05120865029358911,-0.7983278009863423,-0.8405503895926204
N_MAIN_N0_CAP10,101405,828,257,-131066.4511745002,-604004.9728775003,10,298,9,0,0.14929999999958454,1,600744.SH,79912.89679999999,-814984.3208520006,79912.89679999999,-42353.75472,103,0.0432569165875544,-0.7589479266604091,-0.8068647792635837
N_MAIN_N1_MAX_DEPLOYABLE,16648,808,253,-385874.5847252002,-256701.9837799006,8,289,10,0,0.055779999999458596,1,300619.SZ,61374.67559999999,-703951.2441051006,61374.67559999999,-84146.20344,106,0.0650837080361401,-0.667345444745533,-0.7326042515724205
N_MAIN_N1_CAP10,16648,810,251,-417240.1976176002,-238499.2214508002,8,288,10,0,0.6259199999994962,1,300619.SZ,54555.2672,-710294.6862684005,56821.145399999994,-93495.7816,107,0.041350767832797584,-0.6827191647255315,-0.7414806445914682
N_MAIN_N2_MAX_DEPLOYABLE,16648,807,226,-420931.9107356002,-231921.01000829984,10,305,10,0,0.0,0,600610.SH,42689.8156,-695542.7363439001,42689.8156,-84146.20344,112,0.0682676595729223,-0.6787727658200469,-0.738981893356299
N_MAIN_N2_CAP10,16648,807,224,-382904.18636600033,-249718.68683780025,10,306,10,0,0.0,0,601919.SH,39670.65479999999,-672293.5280038005,39670.65479999999,-93495.7816,112,0.03851513771261142,-0.6607563054498546,-0.7233662562794498
N_MAIN_N3_MAX_DEPLOYABLE,4429,686,173,-697636.2822567002,322361.5815093993,10,282,7,0,0.26288000000010925,1,300548.SZ,113129.1104,-488403.8111473009,113129.1104,-162061.3627200001,87,0.22601458764184443,-0.4262183796228102,-0.5431101646924981
N_MAIN_N3_CAP10,4429,725,180,-358797.0165853003,-37290.11129290056,9,288,7,0,0.9207400000001371,1,300619.SZ,44326.154599999994,-440413.28247820085,44326.154599999994,-31184.655759999987,98,0.040985729519561295,-0.4302259287072806,-0.5204555481073825
N_MAIN_N4_MAX_DEPLOYABLE,4429,675,180,-798278.1480591001,207138.22531049995,7,270,7,0,0.0,0,300548.SZ,115957.33816000004,-707097.2609086002,115957.33816000004,-96154.84818000003,91,0.1565259416042362,-0.6264962605752826,-0.7148648196825038
N_MAIN_N4_CAP10,4429,716,187,-489523.5070443002,87535.68009449972,9,277,7,0,0.0,0,600338.SH,55576.86160000002,-457564.6885498005,55576.86160000002,-29503.83014,96,0.041133056307628944,-0.43562028067628455,-0.5239673571695234
N_MAIN_N5_MAX_DEPLOYABLE,3055,555,143,-314265.75281939993,-547404.5334716998,6,230,4,0,0.0,0,300548.SZ,76362.14951999998,-938032.4358110998,101100.1154400002,-119790.79415999993,84,0.17142301197469786,-0.8651974281503321,-0.8967900225690447
N_MAIN_N5_CAP10,3055,611,157,-327896.42145940004,-236017.67837660035,6,240,5,0,0.0,0,600338.SH,54508.07579999999,-618422.1756360005,54508.07579999999,-32504.044319999994,85,0.035429179099470645,-0.5977981118354494,-0.6660422893328347
N_MAIN_N6_MAX_DEPLOYABLE,4429,680,183,-599892.9707951001,-107471.1449850002,9,275,7,0,0.06824000000005981,1,300548.SZ,107472.65487999999,-814836.7706601003,107472.65487999999,-82256.35980000003,83,0.20732409742480915,-0.734428491012612,-0.7965261216210332
N_MAIN_N6_CAP10,4429,718,193,-468377.44446310017,46464.815313099476,10,287,7,0,0.16631999999992786,1,600338.SH,55576.86160000002,-477489.49075000064,55576.86160000002,-30829.264479999998,95,0.04225681513905805,-0.45274392164838373,-0.5385234881559606
N_MAIN_N7_MAX_DEPLOYABLE,3541,527,128,-543330.0186136002,10622.656035799504,6,215,7,0,0.0,0,300548.SZ,115957.33816000004,-648664.7007378008,115957.33816000004,-95389.11872,66,0.20875451884301857,-0.572526830508219,-0.6734847871103118
N_MAIN_N7_CAP10,3541,584,137,-379324.85398100014,142746.48941179967,8,222,7,0,0.0,0,600338.SH,61989.576400000005,-298567.9409692005,61989.576400000005,-29524.416400000002,78,0.03879778517581397,-0.27851476218150195,-0.393619562062138
N_MAIN_N8_MAX_DEPLOYABLE,4429,673,169,-701446.0980638999,251276.56124699983,9,270,7,0,0.0,0,300548.SZ,110300.88264000003,-560470.4194569001,110300.88264000003,-74067.81108000001,83,0.15647338936342564,-0.48974552575454855,-0.6040119600837641
N_MAIN_N8_CAP10,4429,720,175,-371077.92310250027,52222.25795319956,9,271,7,0,0.0,0,600338.SH,66264.71960000003,-385120.3847493007,66264.71960000003,-34710.3884,94,0.0409205648790347,-0.35497594249995934,-0.45805365640177376
N_MAIN_N9_MAX_DEPLOYABLE,3541,517,131,-457607.260304,219747.73630960012,4,202,7,0,0.0,0,002006.SZ,159121.62682000003,-396981.1508143999,159385.87340000004,-89722.43839999998,55,0.1827672104523293,-0.30315127892934357,-0.4730151868417938
