model,variable,coefficient_per_sd,cluster_date_se,n,dates
OLD_30_5_FULL,retA,0.00016280334267989116,0.0014401274699235972,48655,957
OLD_30_5_FULL,ret30,-0.0034459619477962434,0.001422582163241666,48655,957
OLD_30_5_FULL,ret60,-0.0003311598480196209,0.0013151308052007616,48655,957
OLD_30_5_FULL,ret252,0.004325808395834924,0.000876839496094235,48655,957
OLD_30_5_FULL,volatility,-0.009189130472350208,0.0014025149950765814,48655,957
OLD_30_5_FULL,MAX,0.004199728715243117,0.0010223048165229752,48655,957
OLD_30_5_FULL,log_amount,-0.0016370473218841484,0.0008574364880191951,48655,957
OLD_30_5_FULL,static_width,-0.004600058346517161,0.0010872555048506624,48655,957
OLD_30_5_FULL,beta,0.0001943874150331107,0.0007667808850062694,48655,957
OLD_30_5_FULL,Path,0.000991619904013148,0.0007793234652313303,48655,957
OLD_30_5_FULL,Consolidation,-0.0026878857868815826,0.0007195354903324305,48655,957
N_FULL,retA,-0.004217168247905055,0.002131733713762347,57625,958
N_FULL,ret30,-0.009902926013746226,0.0028514364427927393,57625,958
N_FULL,ret60,0.00384909514260353,0.0033644598149398953,57625,958
N_FULL,ret252,0.0035332743644085106,0.0008549156888163786,57625,958
N_FULL,volatility,-0.0065206174384145315,0.001051741606854741,57625,958
N_FULL,MAX,0.0027827686991133433,0.0007010689698341942,57625,958
N_FULL,log_amount,-0.002697022625816266,0.0007187669448412929,57625,958
N_FULL,static_width,0.0009869542089243476,0.0010069594542566453,57625,958
N_FULL,beta,0.002012352760165795,0.0007509124848973436,57625,958
N_FULL,Path,0.0005463918590519868,0.0006065623103213959,57625,958
N_FULL,VCP_GUARD,-0.0007066693092726533,0.0004315788211466257,57625,958
N_FULL,MR,-0.000677852212498801,0.0005402331848534772,57625,958
N_FULL,Volume,-0.0009105649248055606,0.0004653630365972587,57625,958
N_FULL,long,0.002406995644641405,0.0005814296652846417,57625,958
N_LONG_ONLY,retA,-0.00817957923245563,0.0073400262957274915,7917,909
N_LONG_ONLY,ret30,-0.013095762048277757,0.008339956512983228,7917,909
N_LONG_ONLY,ret60,0.009198838744461353,0.010705924680803692,7917,909
N_LONG_ONLY,ret252,0.004130387670391432,0.0018978768805305883,7917,909
N_LONG_ONLY,volatility,-0.0023373746762716703,0.0027162066659894143,7917,909
N_LONG_ONLY,MAX,-0.0012540931732068202,0.002133539321570838,7917,909
N_LONG_ONLY,log_amount,-0.0034537626179715775,0.001689592055475742,7917,909
N_LONG_ONLY,static_width,0.0020558621128417315,0.0023986780404115712,7917,909
N_LONG_ONLY,beta,0.0008745636275006568,0.0016392335723655577,7917,909
N_LONG_ONLY,Path,-0.0005036330035619122,0.001943835608685829,7917,909
N_LONG_ONLY,VCP_GUARD,-0.00030085174017716325,0.0014204223810676043,7917,909
N_LONG_ONLY,MR,0.0029632307164235584,0.0014443306753427472,7917,909
N_LONG_ONLY,Volume,-0.0003285411749312014,0.0013839405229734384,7917,909
N_ADMITTED_RANK_ONLY,retA,0.0008849670891103257,0.01232931722561996,2183,699
N_ADMITTED_RANK_ONLY,ret30,-0.0020153196879907436,0.014921527054531597,2183,699
N_ADMITTED_RANK_ONLY,ret60,-0.000833810659974478,0.016200902039088493,2183,699
N_ADMITTED_RANK_ONLY,ret252,0.0036928278143867287,0.0034050495891539707,2183,699
N_ADMITTED_RANK_ONLY,volatility,-0.0119904342632688,0.004321583663990461,2183,699
N_ADMITTED_RANK_ONLY,MAX,0.00174185120804005,0.003310195643299545,2183,699
N_ADMITTED_RANK_ONLY,log_amount,-0.000673969902184842,0.002848451613039044,2183,699
N_ADMITTED_RANK_ONLY,static_width,-0.004958109893124472,0.005325906202729936,2183,699
N_ADMITTED_RANK_ONLY,beta,0.0027964201668036017,0.002732015659979407,2183,699
N_ADMITTED_RANK_ONLY,Path,0.0028044820390003378,0.0033323798910572383,2183,699
N_ADMITTED_RANK_ONLY,VCP,-0.0025325229698324628,0.0036707172903692464,2183,699
N_ADMITTED_RANK_ONLY,MR,-0.0005949034983391187,0.0023108573576742964,2183,699
N_ADMITTED_RANK_ONLY,Volume,-0.0010441969458574287,0.0024763946119230724,2183,699
