scenario,status,daily_rebuilt_market_value_error,end_quantity_reconciled
OLD_MAIN_B0_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
OLD_MAIN_B0_CAP10,PASS,1.1641532182693481e-10,True
OLD_MAIN_P_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
OLD_MAIN_P_CAP10,PASS,2.3283064365386963e-10,True
OLD_MAIN_C_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
OLD_MAIN_C_CAP10,PASS,1.1641532182693481e-10,True
OLD_MAIN_PC_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
OLD_MAIN_PC_CAP10,PASS,2.3283064365386963e-10,True
OLD_COST_B0_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
OLD_COST_B0_CAP10,PASS,1.1641532182693481e-10,True
OLD_COST_PC_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
OLD_COST_PC_CAP10,PASS,2.3283064365386963e-10,True
OLD_DELAY_B0_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
OLD_DELAY_B0_CAP10,PASS,1.1641532182693481e-10,True
OLD_DELAY_PC_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
OLD_DELAY_PC_CAP10,PASS,2.3283064365386963e-10,True
OLD_NEIGHBOR_B0_CAP10_20_3,PASS,1.1641532182693481e-10,True
OLD_NEIGHBOR_PC_CAP10_20_3,PASS,2.3283064365386963e-10,True
OLD_NEIGHBOR_B0_CAP10_40_8,PASS,1.1641532182693481e-10,True
OLD_NEIGHBOR_PC_CAP10_40_8,PASS,1.1641532182693481e-10,True
N_MAIN_N0_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N0_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N1_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N1_CAP10,PASS,2.3283064365386963e-10,True
N_MAIN_N2_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N2_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N3_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N3_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N4_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N4_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N5_MAX_DEPLOYABLE,PASS,0.0,True
N_MAIN_N5_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N6_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_MAIN_N6_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N7_MAX_DEPLOYABLE,PASS,5.820766091346741e-11,True
N_MAIN_N7_CAP10,PASS,1.1641532182693481e-10,True
N_MAIN_N8_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_MAIN_N8_CAP10,PASS,2.3283064365386963e-10,True
N_MAIN_N9_MAX_DEPLOYABLE,PASS,0.0,True
N_MAIN_N9_CAP10,PASS,1.1641532182693481e-10,True
N_COST_N1_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_COST_N1_CAP10,PASS,2.3283064365386963e-10,True
N_COST_N4_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_COST_N4_CAP10,PASS,1.1641532182693481e-10,True
N_COST_N9_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_COST_N9_CAP10,PASS,1.1641532182693481e-10,True
N_DELAY_N1_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
N_DELAY_N1_CAP10,PASS,1.1641532182693481e-10,True
N_DELAY_N4_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_DELAY_N4_CAP10,PASS,1.1641532182693481e-10,True
N_DELAY_N9_MAX_DEPLOYABLE,PASS,5.820766091346741e-11,True
N_DELAY_N9_CAP10,PASS,1.1641532182693481e-10,True
N_EXIT_N1_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_EXIT_N1_CAP10,PASS,1.1641532182693481e-10,True
N_EXIT_N4_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_EXIT_N4_CAP10,PASS,1.1641532182693481e-10,True
N_EXIT_N9_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,True
N_EXIT_N9_CAP10,PASS,1.1641532182693481e-10,True
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
INDUSTRY_N4_MATCH_CAP10,PASS,2.3283064365386963e-10,True
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,PASS,2.3283064365386963e-10,True
INDUSTRY_N4_PLUS_CAP10,PASS,1.1641532182693481e-10,True
