baseline,enhanced,cumulative_return_delta,annualized_arithmetic_delta,block20_ci_low,block20_ci_high,exposure_delta
N_MAIN_N9_MAX_DEPLOYABLE,N_COST_N9_MAX_DEPLOYABLE,-0.13783208856979934,-0.0522150922390574,-0.11714505819982346,0.00509075174279793,-0.0007900316432536414
N_MAIN_N9_MAX_DEPLOYABLE,N_DELAY_N9_MAX_DEPLOYABLE,-0.44183930642929975,-0.2337064919736407,-0.4442200561464196,-0.045590937539311586,0.000598754251588729
N_MAIN_N9_MAX_DEPLOYABLE,N_EXIT_N9_MAX_DEPLOYABLE,-0.25258388501749995,-0.1056289915034154,-0.36272826536840086,0.14088854786098964,-0.02454412886474866
OLD_MAIN_B0_CAP10,OLD_MAIN_P_CAP10,0.15378749535679895,0.14695096379730238,-0.08935511053200705,0.3931010279084657,0.022866188394087716
OLD_MAIN_B0_CAP10,OLD_MAIN_C_CAP10,0.21349184172900007,0.18818812358057632,-0.08040659762651797,0.496712473239353,0.046968591350078026
OLD_MAIN_B0_CAP10,OLD_MAIN_PC_CAP10,0.5732997452004994,0.3653642989907567,0.053010251366496015,0.6643701710388088,0.04765771385243622
N_MAIN_N0_CAP10,N_MAIN_N1_CAP10,0.07818401556540067,0.06227786520597613,-0.13604484654090437,0.2724713829747248,-0.011848297905067917
N_MAIN_N1_CAP10,N_MAIN_N2_CAP10,0.022254994616399182,0.008814277039409239,-0.18091209229462651,0.21568334780096612,-0.0022339630770440433
N_MAIN_N1_CAP10,N_MAIN_N3_CAP10,0.2597201121893993,0.132624999115728,-0.07458083250232912,0.3428579634326549,-0.07874253782636609
N_MAIN_N1_CAP10,N_MAIN_N4_CAP10,0.2537705676634001,0.13013530083074798,-0.09300788373490439,0.3535790995019286,-0.08871904618337945
N_MAIN_N4_CAP10,N_MAIN_N5_CAP10,-0.16704163970280034,-0.08878825329853748,-0.21608883416054794,0.04758905628633752,-0.10522598904187119
N_MAIN_N4_CAP10,N_MAIN_N6_CAP10,-0.018915518915800678,-0.009823541482017561,-0.10166457169043754,0.07833333122846776,0.0009671289942275729
N_MAIN_N4_CAP10,N_MAIN_N7_CAP10,0.16470191779800014,0.058439977715055165,-0.05043497449580903,0.16998064472984667,-0.13035152108689385
N_MAIN_N4_CAP10,N_MAIN_N8_CAP10,0.08342276707209961,0.03438877245486906,-0.04103762341573802,0.11285195107609206,0.008193529418031975
N_MAIN_N4_CAP10,N_MAIN_N9_CAP10,0.3294609561737989,0.10880230611609137,-0.01313263413730006,0.23314135610120076,-0.1309438489952126
INDUSTRY_N4_MATCH_CAP10,INDUSTRY_N4_PLUS_CAP10,0.16399029616199967,0.06568809370278876,-0.01115449588276514,0.14245269933128848,-0.000945869259904919
N_MAIN_N1_CAP10,N_COST_N1_CAP10,0.023149814310400252,0.017231104306991967,-0.027890978084343886,0.05599732912374281,-0.0022239871292496494
N_MAIN_N1_CAP10,N_DELAY_N1_CAP10,0.09650393747229974,0.06288272165558458,-0.14871289500333862,0.2540129598995804,-0.02176950786330356
N_MAIN_N1_CAP10,N_EXIT_N1_CAP10,-0.11430234907400003,-0.10726827131954733,-0.33103249822883646,0.08279351238220381,-0.018943960332635235
N_MAIN_N4_CAP10,N_COST_N4_CAP10,-0.0966691121107997,-0.04686347547122523,-0.0869488154532252,-0.008932112087880816,-0.004326574207689338
N_MAIN_N4_CAP10,N_DELAY_N4_CAP10,-0.024023918786100773,-0.011243233594487225,-0.15322401058626275,0.10738415115073635,-0.00391133256062326
N_MAIN_N4_CAP10,N_EXIT_N4_CAP10,-0.09258088849859974,-0.04583964768737182,-0.18559094122259395,0.0937149769260405,-0.05392787784095476
N_MAIN_N9_CAP10,N_COST_N9_CAP10,-0.07258821020519812,-0.021268693348383945,-0.034561250903603444,-0.002122718890986831,-0.0007305287012330242
N_MAIN_N9_CAP10,N_DELAY_N9_CAP10,-0.4479811266402988,-0.17388889786777648,-0.3226086702735789,-0.045002088877831095,-0.006975606774212717
N_MAIN_N9_CAP10,N_EXIT_N9_CAP10,-0.3547769325501,-0.1270350907828024,-0.2686844169333196,0.01511214592445594,-0.040354206722074126
