scenario,split,cell,closed_trades,pnl,win_rate
OLD_MAIN_B0_MAX_DEPLOYABLE,board,CHINEXT,172,-281051.012067,0.42441860465116277
OLD_MAIN_B0_MAX_DEPLOYABLE,board,MAIN,560,-602336.70764,0.3535714285714286
OLD_MAIN_B0_MAX_DEPLOYABLE,board,STAR,58,37510.535155399964,0.5172413793103449
OLD_MAIN_B0_MAX_DEPLOYABLE,entry_gate,False,175,-152178.8426824,0.37714285714285717
OLD_MAIN_B0_MAX_DEPLOYABLE,entry_gate,True,615,-693698.3418692001,0.3821138211382114
OLD_MAIN_B0_CAP10,board,CHINEXT,171,-264132.758853,0.42105263157894735
OLD_MAIN_B0_CAP10,board,MAIN,560,-590316.2524999998,0.3535714285714286
OLD_MAIN_B0_CAP10,board,STAR,59,25761.57543079996,0.5084745762711864
OLD_MAIN_B0_CAP10,entry_gate,False,176,-173416.18244469992,0.3806818181818182
OLD_MAIN_B0_CAP10,entry_gate,True,614,-655271.2534775,0.3794788273615635
OLD_MAIN_P_MAX_DEPLOYABLE,board,CHINEXT,181,-109255.1397160001,0.4530386740331492
OLD_MAIN_P_MAX_DEPLOYABLE,board,MAIN,535,-533620.7763840001,0.3925233644859813
OLD_MAIN_P_MAX_DEPLOYABLE,board,STAR,78,-52243.05775410008,0.3974358974358974
OLD_MAIN_P_MAX_DEPLOYABLE,entry_gate,False,169,93719.35271669974,0.48520710059171596
OLD_MAIN_P_MAX_DEPLOYABLE,entry_gate,True,625,-788838.3265708,0.3856
OLD_MAIN_P_CAP10,board,CHINEXT,180,-79727.4390940002,0.46111111111111114
OLD_MAIN_P_CAP10,board,MAIN,537,-554353.1238860001,0.3891992551210428
OLD_MAIN_P_CAP10,board,STAR,78,-49404.18343900007,0.38461538461538464
OLD_MAIN_P_CAP10,entry_gate,False,171,73671.7255145998,0.47953216374269003
OLD_MAIN_P_CAP10,entry_gate,True,624,-757156.4719336001,0.38461538461538464
OLD_MAIN_C_MAX_DEPLOYABLE,board,CHINEXT,187,-319963.39864,0.36363636363636365
OLD_MAIN_C_MAX_DEPLOYABLE,board,MAIN,577,-319682.3474320004,0.3934142114384749
OLD_MAIN_C_MAX_DEPLOYABLE,board,STAR,56,38291.44056139984,0.42857142857142855
OLD_MAIN_C_MAX_DEPLOYABLE,entry_gate,False,183,-288018.39949420025,0.3551912568306011
OLD_MAIN_C_MAX_DEPLOYABLE,entry_gate,True,637,-313335.90601640043,0.3987441130298273
OLD_MAIN_C_CAP10,board,CHINEXT,187,-335885.12870400015,0.36363636363636365
OLD_MAIN_C_CAP10,board,MAIN,577,-317182.1794440004,0.3934142114384749
OLD_MAIN_C_CAP10,board,STAR,56,43124.4475847999,0.42857142857142855
OLD_MAIN_C_CAP10,entry_gate,False,183,-321388.0992952003,0.3551912568306011
OLD_MAIN_C_CAP10,entry_gate,True,637,-288554.7612680004,0.3987441130298273
OLD_MAIN_PC_MAX_DEPLOYABLE,board,CHINEXT,196,-555773.3392020001,0.42857142857142855
OLD_MAIN_PC_MAX_DEPLOYABLE,board,MAIN,553,-3992.8598239999264,0.4231464737793852
OLD_MAIN_PC_MAX_DEPLOYABLE,board,STAR,67,207089.34678999998,0.47761194029850745
OLD_MAIN_PC_MAX_DEPLOYABLE,entry_gate,False,180,-13503.943002200118,0.4777777777777778
OLD_MAIN_PC_MAX_DEPLOYABLE,entry_gate,True,636,-339172.9092338001,0.41509433962264153
OLD_MAIN_PC_CAP10,board,CHINEXT,196,-512485.3453200003,0.42857142857142855
OLD_MAIN_PC_CAP10,board,MAIN,553,-2771.8239680002443,0.4231464737793852
