group,version,mode,a,w,cost,delay,exit,module,id,config_hash,status,reason,verified_reuse,net_return,cagr,maxdd,maxdd_date,volatility,sharpe,mean_exposure,p95_exposure,max_single,trades,mean_hold,deferred_trades,fees,slippage,turnover,end_open,output,started_at,ended_at
N_COST,N9,CAP10,30,30,2,1,FIXED10,,N_COST_N9_CAP10,b3d2794c8ef034c397a3b0524f4992c354c0a3cdf46f6f0a5d38eba7050e600c,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:d627663b082f1d5604460338414387cd:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_COST_N9_CAP10,,
N_DELAY,N1,MAX_DEPLOYABLE,30,30,1,2,FIXED10,,N_DELAY_N1_MAX_DEPLOYABLE,2f09f0ab08de8096f80a1352b5cbe1e92cb0aa3e843f62a68b76ec1a2364d90e,BLOCKED_EXECUTION_FACT,FRACTIONAL_SHARE_ALLOCATION:cninfo:distribution:07bdd216f57edec20044e87f7875d5d9,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N1_MAX_DEPLOYABLE,,
N_DELAY,N1,CAP10,30,30,1,2,FIXED10,,N_DELAY_N1_CAP10,6ae6de4462076f2961ad8897ba81bbc69a818168a4a7ea241dc3beda8e976535,BLOCKED_EXECUTION_FACT,FRACTIONAL_SHARE_ALLOCATION:cninfo:distribution:07bdd216f57edec20044e87f7875d5d9,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N1_CAP10,,
N_DELAY,N4,MAX_DEPLOYABLE,30,30,1,2,FIXED10,,N_DELAY_N4_MAX_DEPLOYABLE,eb698a97b1f26fa8c68c79553dca837cc6223267e9def0782e766dac821cfef8,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:a39a8d246cf30c7ca405dd875656ac7a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N4_MAX_DEPLOYABLE,,
N_DELAY,N4,CAP10,30,30,1,2,FIXED10,,N_DELAY_N4_CAP10,062262342cd3c1e4df472116e0d16d045921af7c00ac8826ebdeb286106fb124,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:a39a8d246cf30c7ca405dd875656ac7a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N4_CAP10,,
N_DELAY,N9,MAX_DEPLOYABLE,30,30,1,2,FIXED10,,N_DELAY_N9_MAX_DEPLOYABLE,608528346cd5f546fd0610e7b5656328da03cc7eaf915aeff4b0c6dc41087aaf,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:d627663b082f1d5604460338414387cd:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N9_MAX_DEPLOYABLE,,
N_DELAY,N9,CAP10,30,30,1,2,FIXED10,,N_DELAY_N9_CAP10,5616718a57de6efab06b5eab0e13c792de710f142a07ebe21a0c001840a0075d,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:d627663b082f1d5604460338414387cd:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_DELAY_N9_CAP10,,
N_EXIT,N1,MAX_DEPLOYABLE,30,30,1,1,TREND40,,N_EXIT_N1_MAX_DEPLOYABLE,b9732f5ad1b7be7d50f0abdcb1243fad2df204e833a6ee5d9ee7d9ae65b58411,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N1_MAX_DEPLOYABLE,,
N_EXIT,N1,CAP10,30,30,1,1,TREND40,,N_EXIT_N1_CAP10,67faa32433ef9ed5584b0685597df555ca4272e9ebd3f987ee984eddb2a116d5,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N1_CAP10,,
N_EXIT,N4,MAX_DEPLOYABLE,30,30,1,1,TREND40,,N_EXIT_N4_MAX_DEPLOYABLE,133bb7c1b47c8bbf1c38f3ab3ee414eab10f4d8137064e12160d03ef97737b16,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N4_MAX_DEPLOYABLE,,
N_EXIT,N4,CAP10,30,30,1,1,TREND40,,N_EXIT_N4_CAP10,f801c4b87551c83a907ed619468ae09536049fc8a0c6266b875ef1ee2271d2e1,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N4_CAP10,,
N_EXIT,N9,MAX_DEPLOYABLE,30,30,1,1,TREND40,,N_EXIT_N9_MAX_DEPLOYABLE,d8f2cdd6dd8c0b4a7a3378d5299f4cb3007ea0548615920ddcdc780304832a99,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N9_MAX_DEPLOYABLE,,
N_EXIT,N9,CAP10,30,30,1,1,TREND40,,N_EXIT_N9_CAP10,c0f2a6986a4b5f9e901f72c92f6871b97a45540ec99ef4511a31cad365fca45b,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/N_EXIT_N9_CAP10,,
INDUSTRY,N4_MATCH,MAX_DEPLOYABLE,30,30,1,1,FIXED10,INDUSTRY,INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,a363701492d089e9bd3ea3538208002a0705643ef23cfd4eb8d18a8a467036fc,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,,
INDUSTRY,N4_MATCH,CAP10,30,30,1,1,FIXED10,INDUSTRY,INDUSTRY_N4_MATCH_CAP10,c9f502e237bc90e1a5c6c742642ae598d1390ebb69b8a1e9408b825bcac0a9c0,BLOCKED_EXECUTION_FACT,HELD_ACTION_MISSING:cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a:share_credit_date,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/INDUSTRY_N4_MATCH_CAP10,,
INDUSTRY,N4_PLUS,MAX_DEPLOYABLE,30,30,1,1,FIXED10,INDUSTRY,INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,a9a172cd5813ea30158b4fccd07e7ae31b37a0fc19b8d7967820af9d1afd9615,BLOCKED_EXECUTION_FACT,FRACTIONAL_SHARE_ALLOCATION:cninfo:distribution:e4621782afd67b08d085c411464487a6,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,,
INDUSTRY,N4_PLUS,CAP10,30,30,1,1,FIXED10,INDUSTRY,INDUSTRY_N4_PLUS_CAP10,4242f5d85842e029c7c44930c79bd442243315d4d4e52f6b7d9299d0e1ad825d,BLOCKED_EXECUTION_FACT,FRACTIONAL_SHARE_ALLOCATION:cninfo:distribution:e4621782afd67b08d085c411464487a6,False,,,,,,,,,,,,,,,,,/Volumes/quant/CY_quant_research/minervini_ashare_clean_ascent_v2/INDUSTRY_N4_PLUS_CAP10,,
CATALYST,N4_MATCH,MAX_DEPLOYABLE,30,30,1,1,FIXED10,CATALYST,CATALYST_N4_MATCH_MAX_DEPLOYABLE,a59b8eddf9da5f785393a4e0466c20738a9b3886cb95d5e4556984de44817d8b,NOT_RUN_DATA_GATE,exact other-purpose announcement authorization,False,,,,,,,,,,,,,,,,,,,
CATALYST,N4_MATCH,CAP10,30,30,1,1,FIXED10,CATALYST,CATALYST_N4_MATCH_CAP10,f22e2396bb58b4a2700a3172753f827dfd0ff0981c9f423f8a9ef7ff3f64b18f,NOT_RUN_DATA_GATE,exact other-purpose announcement authorization,False,,,,,,,,,,,,,,,,,,,
CATALYST,N4_PLUS,MAX_DEPLOYABLE,30,30,1,1,FIXED10,CATALYST,CATALYST_N4_PLUS_MAX_DEPLOYABLE,e7e180079efff031568d977e635a0364ab8f690a9ced73065205e90a2fa8e288,NOT_RUN_DATA_GATE,exact other-purpose announcement authorization,False,,,,,,,,,,,,,,,,,,,
CATALYST,N4_PLUS,CAP10,30,30,1,1,FIXED10,CATALYST,CATALYST_N4_PLUS_CAP10,9d9ef06e094e901b1fc031f3fbfb4a8950d1719aee8a7902122f5b20dc9a0294,NOT_RUN_DATA_GATE,exact other-purpose announcement authorization,False,,,,,,,,,,,,,,,,,,,
FUNDAMENTALS,N4_MATCH,MAX_DEPLOYABLE,30,30,1,1,FIXED10,FUNDAMENTALS,FUNDAMENTALS_N4_MATCH_MAX_DEPLOYABLE,3be79a56c8d3cfb6516533723d9a7f29b8510ebd991d87dc94e087f98f0b8a22,NOT_RUN_DATA_GATE,missing first-release revision history,False,,,,,,,,,,,,,,,,,,,
FUNDAMENTALS,N4_MATCH,CAP10,30,30,1,1,FIXED10,FUNDAMENTALS,FUNDAMENTALS_N4_MATCH_CAP10,13adda038c2b2da8b06cd184f865d5ac9306a5bf05a2c0c760f3f87ed378f587,NOT_RUN_DATA_GATE,missing first-release revision history,False,,,,,,,,,,,,,,,,,,,
FUNDAMENTALS,N4_PLUS,MAX_DEPLOYABLE,30,30,1,1,FIXED10,FUNDAMENTALS,FUNDAMENTALS_N4_PLUS_MAX_DEPLOYABLE,36ed70d05b49e3aa054c3163572ec8c5b746fb0db3ca31896a249f3d6199feea,NOT_RUN_DATA_GATE,missing first-release revision history,False,,,,,,,,,,,,,,,,,,,
FUNDAMENTALS,N4_PLUS,CAP10,30,30,1,1,FIXED10,FUNDAMENTALS,FUNDAMENTALS_N4_PLUS_CAP10,dda9017420a68d0c39d42953e6baa4bef4bb3af94dcc24d4e5c22315919902f4,NOT_RUN_DATA_GATE,missing first-release revision history,False,,,,,,,,,,,,,,,,,,,
