scenario,status,cash_reconstruction_max_error,nav_reconciliation_max_error,min_cash,max_exposure,legal_entry_lag,T_plus_1_sell
OLD_MAIN_B0_MAX_DEPLOYABLE,PASS,3.055902197957039e-10,1.1641532182693481e-10,369.13499400017463,0.9988434808714969,True,True
OLD_MAIN_B0_CAP10,PASS,2.6193447411060333e-10,2.3283064365386963e-10,9598.328852400053,0.990551906943081,True,True
OLD_MAIN_P_MAX_DEPLOYABLE,PASS,3.4924596548080444e-10,1.1641532182693481e-10,45.152849799640535,0.999858534087698,True,True
OLD_MAIN_P_CAP10,PASS,8.731149137020111e-10,1.1641532182693481e-10,1312.879127099237,0.9968855182627965,True,True
OLD_MAIN_C_MAX_DEPLOYABLE,PASS,2.6193447411060333e-10,2.3283064365386963e-10,357.75919529923704,0.9993911699661101,True,True
OLD_MAIN_C_CAP10,PASS,1.6007106751203537e-09,2.3283064365386963e-10,2819.500652100389,0.9942745443225367,True,True
OLD_MAIN_PC_MAX_DEPLOYABLE,PASS,5.820766091346741e-10,2.3283064365386963e-10,92.64462400000775,0.9998625659983108,True,True
OLD_MAIN_PC_CAP10,PASS,3.055902197957039e-10,2.3283064365386963e-10,333.1157475995278,0.9996157648892735,True,True
OLD_COST_B0_MAX_DEPLOYABLE,PASS,1.1641532182693481e-10,1.1641532182693481e-10,258.8573780002589,0.9996986377365532,True,True
OLD_COST_B0_CAP10,PASS,4.656612873077393e-10,1.1641532182693481e-10,7678.144356000215,0.9913439299040285,True,True
OLD_COST_PC_MAX_DEPLOYABLE,PASS,5.238689482212067e-10,2.3283064365386963e-10,325.6169842003146,0.9994589287507001,True,True
OLD_COST_PC_CAP10,PASS,5.238689482212067e-10,2.3283064365386963e-10,1638.0768729998526,0.9977552467564305,True,True
OLD_DELAY_B0_MAX_DEPLOYABLE,PASS,4.220055416226387e-10,2.3283064365386963e-10,71.46646720016724,0.999938187000392,True,True
OLD_DELAY_B0_CAP10,PASS,4.0745362639427185e-10,2.3283064365386963e-10,12396.383879599935,0.976533796116892,True,True
OLD_DELAY_PC_MAX_DEPLOYABLE,PASS,1.862645149230957e-09,2.3283064365386963e-10,121.99448000011034,0.9999048999474703,True,True
OLD_DELAY_PC_CAP10,PASS,4.656612873077393e-10,1.1641532182693481e-10,6730.072117800155,0.9928489914294161,True,True
OLD_NEIGHBOR_B0_CAP10_20_3,PASS,6.693881005048752e-10,1.1641532182693481e-10,5001.111296000192,0.9930495745443471,True,True
OLD_NEIGHBOR_PC_CAP10_20_3,PASS,4.656612873077393e-10,2.3283064365386963e-10,432.2306495998346,0.9996386388581628,True,True
OLD_NEIGHBOR_B0_CAP10_40_8,PASS,1.0913936421275139e-09,2.3283064365386963e-10,4094.593018800362,0.9933374624040745,True,True
OLD_NEIGHBOR_PC_CAP10_40_8,PASS,4.802132025361061e-10,1.1641532182693481e-10,191.85468989924266,0.9996588469973565,True,True
N_MAIN_N0_MAX_DEPLOYABLE,PASS,3.4924596548080444e-10,2.3283064365386963e-10,642.2265487996774,0.9991636229199595,True,True
N_MAIN_N0_CAP10,PASS,4.0745362639427185e-10,2.3283064365386963e-10,3197.694902799849,0.9971239064158118,True,True
N_MAIN_N1_MAX_DEPLOYABLE,PASS,6.984919309616089e-10,2.3283064365386963e-10,334.2511213991129,0.9994105631339467,True,True
N_MAIN_N1_CAP10,PASS,1.0550138540565968e-09,2.3283064365386963e-10,2514.9399200000335,0.9983178243826535,True,True
N_MAIN_N2_MAX_DEPLOYABLE,PASS,4.656612873077393e-10,2.3283064365386963e-10,160.5609023997299,0.9997315181264421,True,True
N_MAIN_N2_CAP10,PASS,4.94765117764473e-10,1.1641532182693481e-10,2379.4784785989614,0.9939134702047309,True,True
N_MAIN_N3_MAX_DEPLOYABLE,PASS,6.111804395914078e-10,2.3283064365386963e-10,25.92854389876493,0.9999573730829641,True,True
N_MAIN_N3_CAP10,PASS,4.0745362639427185e-10,2.3283064365386963e-10,2842.6013483992574,0.9971510272127008,True,True
N_MAIN_N4_MAX_DEPLOYABLE,PASS,3.2014213502407074e-10,2.3283064365386963e-10,110.14367959985793,0.9999211145269017,True,True
N_MAIN_N4_CAP10,PASS,6.984919309616089e-10,1.1641532182693481e-10,5115.826749099913,0.995002133965697,True,True
N_MAIN_N5_MAX_DEPLOYABLE,PASS,2.1827872842550278e-10,1.1641532182693481e-10,9.325748000153908,0.9999900018603703,True,True
N_MAIN_N5_CAP10,PASS,4.802132025361061e-10,1.1641532182693481e-10,8407.318348399698,0.9920927393334188,True,True
