archive,scenario,changed_artifacts,nav_max_abs_delta,net_return_delta,old_orders,new_orders
provisional_before_legal_submission,OLD_MAIN_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,149048.74434119987,-0.011597260223599705,106852,104348
provisional_after_upper_cap,OLD_MAIN_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,149048.74434119987,-0.011597260223599705,107173,104348
provisional_before_universe_correction,OLD_MAIN_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,149048.74434119987,-0.011597260223599705,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_B0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_B0_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_B0_CAP10,nav|trades|orders|audit|open_positions,143317.11901039956,0.000712513358901022,106852,104348
provisional_after_upper_cap,OLD_MAIN_B0_CAP10,nav|trades|orders|audit|open_positions,143317.11901039956,0.000712513358901022,107173,104348
provisional_before_universe_correction,OLD_MAIN_B0_CAP10,nav|trades|orders|audit|open_positions,143317.11901039956,0.000712513358901022,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_B0_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_B0_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_P_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,106708.05225959944,-0.0469986972075993,106852,104348
provisional_after_upper_cap,OLD_MAIN_P_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,106708.05225959944,-0.0469986972075993,107173,104348
provisional_before_universe_correction,OLD_MAIN_P_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,106708.05225959944,-0.0469986972075993,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_P_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_P_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_P_CAP10,nav|trades|orders|audit|open_positions,120596.78974759986,-0.04950470441079966,106852,104348
provisional_after_upper_cap,OLD_MAIN_P_CAP10,nav|trades|orders|audit|open_positions,120596.78974759986,-0.04950470441079966,107173,104348
provisional_before_universe_correction,OLD_MAIN_P_CAP10,nav|trades|orders|audit|open_positions,120596.78974759986,-0.04950470441079966,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_P_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_P_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_C_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,300864.26976120006,-0.005814842076100176,106852,104348
provisional_after_upper_cap,OLD_MAIN_C_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,300864.26976120006,-0.005814842076100176,107173,104348
provisional_before_universe_correction,OLD_MAIN_C_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,300864.26976120006,-0.005814842076100176,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_C_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_C_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_C_CAP10,nav|trades|orders|audit|open_positions,280894.9555095986,-0.020815766388098417,106852,104348
provisional_after_upper_cap,OLD_MAIN_C_CAP10,nav|trades|orders|audit|open_positions,280894.9555095986,-0.020815766388098417,107173,104348
provisional_before_universe_correction,OLD_MAIN_C_CAP10,nav|trades|orders|audit|open_positions,280894.9555095986,-0.020815766388098417,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_C_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_C_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,399109.45840359945,0.02736972652880149,106852,104348
provisional_after_upper_cap,OLD_MAIN_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,399109.45840359945,0.02736972652880149,107173,104348
provisional_before_universe_correction,OLD_MAIN_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,399109.45840359945,0.02736972652880149,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_PC_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_PC_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_MAIN_PC_CAP10,nav|trades|orders|audit|open_positions,387672.93601439963,0.09128623957530141,106852,104348
provisional_after_upper_cap,OLD_MAIN_PC_CAP10,nav|trades|orders|audit|open_positions,387672.93601439963,0.09128623957530141,107173,104348
provisional_before_universe_correction,OLD_MAIN_PC_CAP10,nav|trades|orders|audit|open_positions,387672.93601439963,0.09128623957530141,107173,104348
provisional_before_preopen_coordinate,OLD_MAIN_PC_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_MAIN_PC_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_COST_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,179312.3964504,0.0032874771083999947,106852,104348
provisional_after_upper_cap,OLD_COST_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,179312.3964504,0.0032874771083999947,107173,104348
provisional_before_universe_correction,OLD_COST_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,179312.3964504,0.0032874771083999947,107173,104348
provisional_before_preopen_coordinate,OLD_COST_B0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_COST_B0_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_COST_B0_CAP10,nav|trades|orders|audit|open_positions,201713.09518800012,-0.00255552528780009,106852,104348
provisional_after_upper_cap,OLD_COST_B0_CAP10,nav|trades|orders|audit|open_positions,201713.09518800012,-0.00255552528780009,107173,104348
provisional_before_universe_correction,OLD_COST_B0_CAP10,nav|trades|orders|audit|open_positions,201713.09518800012,-0.00255552528780009,107173,104348
provisional_before_preopen_coordinate,OLD_COST_B0_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_COST_B0_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_COST_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,192324.53435920016,-0.057871827660599895,106852,104348
provisional_after_upper_cap,OLD_COST_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,192324.53435920016,-0.057871827660599895,107173,104348
provisional_before_universe_correction,OLD_COST_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,192324.53435920016,-0.057871827660599895,107173,104348
provisional_before_preopen_coordinate,OLD_COST_PC_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,104348,104348
