scenario,orders_with_price,prior_coordinate_unavailable,preopen_factor_reconstruction
OLD_MAIN_B0_MAX_DEPLOYABLE,1692,0,PASS
OLD_MAIN_B0_CAP10,1695,0,PASS
OLD_MAIN_P_MAX_DEPLOYABLE,1682,0,PASS
OLD_MAIN_P_CAP10,1674,0,PASS
OLD_MAIN_C_MAX_DEPLOYABLE,1410,0,PASS
OLD_MAIN_C_CAP10,1412,0,PASS
OLD_MAIN_PC_MAX_DEPLOYABLE,1481,0,PASS
OLD_MAIN_PC_CAP10,1481,0,PASS
OLD_COST_B0_MAX_DEPLOYABLE,1736,0,PASS
OLD_COST_B0_CAP10,1738,0,PASS
OLD_COST_PC_MAX_DEPLOYABLE,1506,0,PASS
OLD_COST_PC_CAP10,1490,0,PASS
OLD_DELAY_B0_MAX_DEPLOYABLE,1419,0,PASS
OLD_DELAY_B0_CAP10,1415,0,PASS
OLD_DELAY_PC_MAX_DEPLOYABLE,1448,0,PASS
OLD_DELAY_PC_CAP10,1448,0,PASS
OLD_NEIGHBOR_B0_CAP10_20_3,1803,0,PASS
OLD_NEIGHBOR_PC_CAP10_20_3,1444,0,PASS
OLD_NEIGHBOR_B0_CAP10_40_8,1689,0,PASS
OLD_NEIGHBOR_PC_CAP10_40_8,1459,0,PASS
N_MAIN_N0_MAX_DEPLOYABLE,1431,0,PASS
N_MAIN_N0_CAP10,1430,0,PASS
N_MAIN_N1_MAX_DEPLOYABLE,1540,0,PASS
N_MAIN_N1_CAP10,1542,0,PASS
N_MAIN_N2_MAX_DEPLOYABLE,1543,0,PASS
N_MAIN_N2_CAP10,1539,0,PASS
N_MAIN_N3_MAX_DEPLOYABLE,1201,0,PASS
N_MAIN_N3_CAP10,1231,0,PASS
N_MAIN_N4_MAX_DEPLOYABLE,1239,0,PASS
N_MAIN_N4_CAP10,1286,0,PASS
N_MAIN_N5_MAX_DEPLOYABLE,1060,0,PASS
N_MAIN_N5_CAP10,1173,0,PASS
N_MAIN_N6_MAX_DEPLOYABLE,1240,0,PASS
N_MAIN_N6_CAP10,1279,0,PASS
N_MAIN_N7_MAX_DEPLOYABLE,997,0,PASS
N_MAIN_N7_CAP10,1067,0,PASS
N_MAIN_N8_MAX_DEPLOYABLE,1225,0,PASS
N_MAIN_N8_CAP10,1295,0,PASS
N_MAIN_N9_MAX_DEPLOYABLE,980,0,PASS
N_MAIN_N9_CAP10,1064,0,PASS
N_COST_N1_MAX_DEPLOYABLE,1558,0,PASS
N_COST_N1_CAP10,1559,0,PASS
N_COST_N4_MAX_DEPLOYABLE,1240,0,PASS
N_COST_N4_CAP10,1295,0,PASS
N_COST_N9_MAX_DEPLOYABLE,985,0,PASS
N_COST_N9_CAP10,1068,0,PASS
N_DELAY_N1_MAX_DEPLOYABLE,1466,0,PASS
N_DELAY_N1_CAP10,1478,0,PASS
N_DELAY_N4_MAX_DEPLOYABLE,1241,0,PASS
N_DELAY_N4_CAP10,1271,0,PASS
N_DELAY_N9_MAX_DEPLOYABLE,996,0,PASS
N_DELAY_N9_CAP10,1065,0,PASS
N_EXIT_N1_MAX_DEPLOYABLE,1803,0,PASS
N_EXIT_N1_CAP10,1794,0,PASS
N_EXIT_N4_MAX_DEPLOYABLE,1297,0,PASS
N_EXIT_N4_CAP10,1366,0,PASS
N_EXIT_N9_MAX_DEPLOYABLE,1026,0,PASS
N_EXIT_N9_CAP10,1129,0,PASS
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,1241,0,PASS
INDUSTRY_N4_MATCH_CAP10,1285,0,PASS
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,1260,0,PASS
INDUSTRY_N4_PLUS_CAP10,1306,0,PASS
