scenario,case,j,symbol,lot,q,pending,e,signal_t,entry,entry_cash,initial_q,mark,stale,due,planned,exit_reason,S0coord,dividend_net,dividend_accrued,sell_value,sell_fees,lowopen,industry,planned_risk,nav_at_order,buy_day_breach,intraday_only,exit_t,exit_date,entry_date,exit_price,held_sessions,exit_delay,pnl,t,score,status,preopen_factor,limit,opening,quantity,fill,reserved,debit,preauction_cash,budget
OLD_MAIN_PC_MAX_DEPLOYABLE,first_profitable,590.0,002042.SZ,2.0,0.0,0.0,488.0,487,7.37,98789.60256,13400.0,7.53,0.0,498.0,498.0,FIXED10,11.481064886488536,0.0,0.0,100634.0,132.83688,False,108.0,5916.769999999992,1000000.0,False,0.0,498.0,2020-01-17,2020-01-03,7.51,10.0,0.0,1711.560559999998,,,,,,,,,,,,
OLD_MAIN_PC_MAX_DEPLOYABLE,first_loss,1170.0,002624.SZ,7.0,0.0,0.0,489.0,488,46.53,93089.7792,2000.0,44.97,0.0,499.0,499.0,FIXED10,43.40840192790084,0.0,0.0,89740.0,118.4568,True,8.0,13365.700000000004,995482.0863999999,False,0.0,499.0,2020-01-20,2020-01-06,44.87,10.0,0.0,-3468.2360000000044,,,,,,,,,,,,
OLD_MAIN_PC_MAX_DEPLOYABLE,first_deferred,929.0,002382.SZ,101.0,0.0,0.0,604.0,603,29.02,89990.78784,3100.0,34.11,0.0,614.0,614.0,FIXED10,27.782520682022586,0.0,0.0,104687.00000000001,138.18684000000002,True,9.0,11666.540000000003,1268081.2586184,False,0.0,615.0,2020-07-16,2020-07-01,33.77,11.0,1.0,14558.025320000015,,,,,,,,,,,,
OLD_MAIN_PC_MAX_DEPLOYABLE,first_unfilled,,000818.SZ,,,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,0.8612464890983528,OVER_LIMIT,1.0206817875934902,21.06,23.02,4700.0,,,,,
N_MAIN_N4_MAX_DEPLOYABLE,first_profitable,306.0,000786.SZ,1.0,0.0,0.0,488.0,487,25.97,98717.57952,3800.0,26.2,0.0,498.0,498.0,FIXED10,24.737781996431817,0.0,0.0,100624.0,132.82368,False,65.0,8474.76,1000000.0,False,0.0,498.0,2020-01-17,2020-01-03,26.48,10.0,0.0,1773.5967999999993,,,,,,,,,,,,
N_MAIN_N4_MAX_DEPLOYABLE,first_loss,3549.0,600720.SH,3.0,0.0,0.0,488.0,487,12.64,97359.14496,7700.0,12.41,0.0,498.0,498.0,FIXED10,12.19299303679758,0.0,0.0,95788.0,126.44015999999999,True,71.0,11857.61499999998,1000000.0,False,0.0,498.0,2020-01-17,2020-01-03,12.44,10.0,0.0,-1697.5851200000034,,,,,,,,,,,,
N_MAIN_N4_MAX_DEPLOYABLE,first_deferred,447.0,000983.SZ,303.0,0.0,0.0,870.0,869,8.39,29374.396800000002,3500.0,8.71,0.0,880.0,880.0,FIXED10,10.931356749538006,0.0,0.0,31465.0,41.5338,True,106.0,4431.254269801985,1180203.4762995997,False,1.0,884.0,2021-08-20,2021-08-02,8.99,14.0,4.0,2049.0693999999967,,,,,,,,,,,,
N_MAIN_N4_MAX_DEPLOYABLE,first_unfilled,,000157.SZ,,,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,0.7062833632036384,OVER_LIMIT,1.0968474485706652,6.75,6.9,14800.0,,,,,
