source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
39,partial_rank,,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,,829,-0.13822656881323003,-0.13822656881323001,2.7755575615628914e-17,True
40,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,,829,-0.11706937660938717,-0.1170693766093871,6.9388939039072284e-17,True
41,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,,829,-0.10687987418880808,-0.10687987418880809,1.3877787807814457e-17,True
42,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,,829,-0.10453219315195898,-0.104532193151959,1.3877787807814457e-17,True
43,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,,829,-0.11847495479518989,-0.1184749547951898,9.7144514654701197e-17,True
44,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,,829,-0.10732732689511797,-0.1073273268951179,6.9388939039072284e-17,True
45,partial_rank,,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,,829,-0.10172514803945384,-0.1017251480394538,4.163336342344337e-17,True
46,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,,829,-0.12067460992763314,-0.1206746099276331,4.163336342344337e-17,True
47,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,,829,-0.10653497082356644,-0.1065349708235664,4.163336342344337e-17,True
48,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,,829,-0.10436228793533274,-0.1043622879353328,5.5511151231257827e-17,True
49,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,,829,-0.12224047067019939,-0.1222404706701994,1.3877787807814457e-17,True
50,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,,829,-0.10746991816267468,-0.1074699181626747,2.7755575615628914e-17,True
51,partial_rank,,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,,829,-0.10220976205172252,-0.1022097620517225,2.7755575615628914e-17,True
52,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,,829,-0.060651146439921651,-0.060651146439921498,1.5265566588595902e-16,True
53,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,,829,-0.088802347561233036,-0.088802347561232994,4.163336342344337e-17,True
54,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,,829,-0.095874853724356321,-0.095874853724356293,2.7755575615628914e-17,True
55,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,,829,-0.067026718625845916,-0.067026718625845902,1.3877787807814457e-17,True
56,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,,829,-0.098038497019723725,-0.098038497019723697,2.7755575615628914e-17,True
57,partial_rank,,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,,829,-0.10515219738016481,-0.10515219738016469,1.1102230246251565e-16,True
