source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
34,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,1,,829,-0.31316540832514123,-0.31316540832514089,3.3306690738754696e-16,True
35,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,3,,829,-0.34075410554678082,-0.34075410554678071,1.1102230246251565e-16,True
36,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,5,,829,-0.35166046775987964,-0.35166046775987952,1.1102230246251565e-16,True
37,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,1,,829,-0.30296046195652782,-0.30296046195652748,3.3306690738754696e-16,True
38,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,,829,-0.33549880055665982,-0.33549880055665948,3.3306690738754696e-16,True
39,partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,,829,-0.34771725394430292,-0.34771725394430281,1.1102230246251565e-16,True
40,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,,829,-0.40852866804194748,-0.4085286680419476,1.1102230246251565e-16,True
41,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,,829,-0.39549145179685102,-0.39549145179685091,1.1102230246251565e-16,True
42,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,,829,-0.37846953499713326,-0.37846953499713332,5.5511151231257827e-17,True
43,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,,829,-0.41114962955695367,-0.4111496295569535,1.6653345369377348e-16,True
44,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,,829,-0.40203606294206351,-0.40203606294206312,3.8857805861880479e-16,True
45,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,,829,-0.38313310117861782,-0.38313310117861782,0,True
46,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,,829,-0.41710906787076962,-0.41710906787076951,1.1102230246251565e-16,True
47,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,,829,-0.40166595612602468,-0.40166595612602463,5.5511151231257827e-17,True
48,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,,829,-0.38366799630224496,-0.38366799630224502,5.5511151231257827e-17,True
49,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,,829,-0.41964022348344165,-0.4196402234834416,5.5511151231257827e-17,True
50,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,,829,-0.40828633406478915,-0.4082863340647892,5.5511151231257827e-17,True
51,partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,,829,-0.3886977891992508,-0.38869778919925102,2.2204460492503131e-16,True
52,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,,829,-0.34858201784613757,-0.34858201784613763,5.5511151231257827e-17,True
53,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,,829,-0.36190509574821778,-0.36190509574821761,1.6653345369377348e-16,True
54,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,,829,-0.35760477881980679,-0.35760477881980679,0,True
55,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,,829,-0.34765752953064466,-0.34765752953064488,2.2204460492503131e-16,True
56,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,,829,-0.36532947177517372,-0.3653294717751735,2.2204460492503131e-16,True
57,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,,829,-0.36241429932563818,-0.36241429932563829,1.1102230246251565e-16,True
58,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,,829,-0.35083134611367894,-0.35083134611367922,2.7755575615628914e-16,True
59,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,,829,-0.36227874755589679,-0.36227874755589679,0,True
60,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,,829,-0.35892174993482795,-0.358921749934828,5.5511151231257827e-17,True
61,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,,829,-0.35029886591494341,-0.35029886591494341,0,True
62,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,,829,-0.36586059758401024,-0.36586059758401041,1.6653345369377348e-16,True
63,partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,,829,-0.36366280592298006,-0.36366280592298011,5.5511151231257827e-17,True
64,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,,722,-0.42504242811832593,-0.42504242811832588,5.5511151231257827e-17,True
65,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,,722,-0.43016653903998708,-0.43016653903998708,0,True
66,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,,721,-0.35795845896054801,-0.35795845896054768,3.3306690738754696e-16,True
67,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,,722,-0.35285852216806141,-0.35285852216806141,0,True
68,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,,722,-0.43232846075704767,-0.43232846075704762,5.5511151231257827e-17,True
69,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,NON_ST,pit,3,,722,-0.43887455032218747,-0.43887455032218731,1.6653345369377348e-16,True
70,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,,722,-0.38093870115473716,-0.3809387011547371,5.5511151231257827e-17,True
71,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,,722,-0.3820110401052495,-0.38201104010524922,2.7755575615628914e-16,True
72,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,,586,-0.4732737851252895,-0.47327378512528973,2.2204460492503131e-16,True
73,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,,586,-0.47539514173496572,-0.47539514173496578,5.5511151231257827e-17,True
74,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,,586,-0.39453756472183937,-0.39453756472183932,5.5511151231257827e-17,True
75,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,,586,-0.38907971061780194,-0.38907971061780178,1.6653345369377348e-16,True
76,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,,586,-0.43811998954726034,-0.43811998954726028,5.5511151231257827e-17,True
77,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,NON_ST,pit,3,,586,-0.44274853883792931,-0.44274853883792897,3.3306690738754696e-16,True
78,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,,586,-0.43749213417657062,-0.43749213417657079,1.6653345369377348e-16,True
79,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,,586,-0.43323352385826819,-0.43323352385826808,1.1102230246251565e-16,True
80,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,,587,-0.4474212038193992,-0.44742120381939932,1.1102230246251565e-16,True
81,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,,587,-0.45094025730011356,-0.45094025730011328,2.7755575615628914e-16,True
82,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,,586,-0.34210470567841689,-0.34210470567841678,1.1102230246251565e-16,True
83,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,,587,-0.33573762307753963,-0.33573762307753968,5.5511151231257827e-17,True
84,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,,587,-0.45813267559828946,-0.45813267559828957,1.1102230246251565e-16,True
85,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,NON_ST,pit,3,,587,-0.46729462165871599,-0.46729462165871583,1.6653345369377348e-16,True
86,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,,587,-0.37207455660317695,-0.37207455660317701,5.5511151231257827e-17,True
87,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,,587,-0.37072234503941676,-0.37072234503941692,1.6653345369377348e-16,True
88,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,,592,-0.29029617313828965,-0.2902961731382897,5.5511151231257827e-17,True
89,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,,592,-0.29647600030998961,-0.29647600030998961,0,True
90,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,,591,-0.25199043258269244,-0.2519904325826926,1.6653345369377348e-16,True
91,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,,592,-0.24749397217761204,-0.24749397217761199,5.5511151231257827e-17,True
92,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,,592,-0.28911895066397003,-0.28911895066396992,1.1102230246251565e-16,True
93,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,NON_ST,pit,3,,592,-0.29482596375027081,-0.29482596375027081,0,True
94,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,,592,-0.27026560719552389,-0.27026560719552389,0,True
95,partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,,592,-0.274281401906594,-0.27428140190659378,2.2204460492503131e-16,True
96,partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,3,,276,-0.41716762591769757,-0.41716762591769752,5.5511151231257827e-17,True
97,partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,5,,166,-0.35541009475511004,-0.3554100947551101,5.5511151231257827e-17,True
98,partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,3,,276,-0.42147527972903132,-0.4214752797290317,3.8857805861880479e-16,True
99,partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,5,,166,-0.3636151526340301,-0.36361515263403033,2.2204460492503131e-16,True
100,partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,,276,-0.38709962374363827,-0.3870996237436381,1.6653345369377348e-16,True
101,partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.38145528595671807,-0.38145528595671818,1.1102230246251565e-16,True
102,partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,3,,276,-0.38329459910698421,-0.38329459910698438,1.6653345369377348e-16,True
103,partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.37801206721813624,-0.37801206721813629,5.5511151231257827e-17,True
104,partial_rank,CROSSER_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,3,,276,-0.40945853531730131,-0.40945853531730159,2.7755575615628914e-16,True
105,partial_rank,CROSSER_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,5,,166,-0.33350249130653048,-0.33350249130653031,1.6653345369377348e-16,True
106,partial_rank,CROSSER_DOWNSIDE,phase,0,SH_A,NON_ST,pit,3,,276,-0.41154064814033547,-0.41154064814033581,3.3306690738754696e-16,True
107,partial_rank,CROSSER_DOWNSIDE,phase,0,SH_A,NON_ST,pit,5,,166,-0.34123187592252108,-0.34123187592252102,5.5511151231257827e-17,True
108,partial_rank,CROSSER_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,3,,276,-0.34819160128587262,-0.34819160128587251,1.1102230246251565e-16,True
109,partial_rank,CROSSER_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,5,,166,-0.3392005760690468,-0.33920057606904691,1.1102230246251565e-16,True
110,partial_rank,CROSSER_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,3,,276,-0.35004003257216565,-0.35004003257216593,2.7755575615628914e-16,True
111,partial_rank,CROSSER_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,5,,166,-0.33900059032548813,-0.33900059032548802,1.1102230246251565e-16,True
112,partial_rank,CROSSER_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,3,,277,-0.42498074333746594,-0.42498074333746588,5.5511151231257827e-17,True
113,partial_rank,CROSSER_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,5,,166,-0.45765075184884768,-0.45765075184884763,5.5511151231257827e-17,True
114,partial_rank,CROSSER_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,3,,277,-0.43401118104857189,-0.43401118104857161,2.7755575615628914e-16,True
115,partial_rank,CROSSER_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,5,,166,-0.47233795755429669,-0.47233795755429681,1.1102230246251565e-16,True
116,partial_rank,CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,3,,277,-0.22356456919858816,-0.22356456919858819,2.7755575615628914e-17,True
117,partial_rank,CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,5,,165,-0.37210395313410805,-0.3721039531341081,5.5511151231257827e-17,True
118,partial_rank,CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,3,,277,-0.21608654147959494,-0.21608654147959491,2.7755575615628914e-17,True
119,partial_rank,CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.35982657436896037,-0.35982657436896048,1.1102230246251565e-16,True
120,partial_rank,CROSSER_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,3,,277,-0.40647652815692936,-0.40647652815692931,5.5511151231257827e-17,True
121,partial_rank,CROSSER_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,5,,166,-0.5007231248965418,-0.50072312489654203,2.2204460492503131e-16,True
122,partial_rank,CROSSER_DOWNSIDE,phase,1,SH_A,NON_ST,pit,3,,277,-0.41771464343017423,-0.41771464343017428,5.5511151231257827e-17,True
123,partial_rank,CROSSER_DOWNSIDE,phase,1,SH_A,NON_ST,pit,5,,166,-0.50886276557581944,-0.50886276557581955,1.1102230246251565e-16,True
124,partial_rank,CROSSER_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,3,,277,-0.37692727111792695,-0.3769272711179269,5.5511151231257827e-17,True
125,partial_rank,CROSSER_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,5,,166,-0.41397897199606742,-0.41397897199606748,5.5511151231257827e-17,True
126,partial_rank,CROSSER_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,3,,277,-0.37285107544768176,-0.3728510754476817,5.5511151231257827e-17,True
127,partial_rank,CROSSER_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,5,,166,-0.4094948544765501,-0.40949485447654987,2.2204460492503131e-16,True
128,partial_rank,CROSSER_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,3,,276,-0.35822367497618468,-0.35822367497618468,0,True
129,partial_rank,CROSSER_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,5,,165,-0.35109769986701211,-0.351097699867012,1.1102230246251565e-16,True
130,partial_rank,CROSSER_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,3,,276,-0.36452010806166724,-0.36452010806166729,5.5511151231257827e-17,True
