invalid_reasons,n
invalid_or_unverified_trading_state|historical_st_status_unverified,1359
invalid_daily_bar|invalid_or_unverified_trading_state,39
invalid_daily_bar|invalid_or_unverified_trading_state|historical_st_status_unverified,25
