symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600081.SH,2026-09-10,0.0,0.0,1.6522535441012487e-16
600081.SH,2026-09-11,0.0,2.512285975665998e-06,7.726878738152251e-09
600081.SH,2026-09-14,0.0,2.4434882260519827e-06,3.757301689554186e-09
600081.SH,2026-09-15,0.0,1.9618139454890375e-06,7.548445098894988e-09
600081.SH,2026-09-16,0.0,1.9092742261197526e-05,1.8821550324140924e-08
600082.SH,2026-09-07,0.0,1.0037632393098124e-05,5.8161068903472695e-09
600082.SH,2026-09-08,0.0,0.0,0.0
600082.SH,2026-09-09,0.0,0.0,0.0
600082.SH,2026-09-10,0.0,0.0,0.0
600082.SH,2026-09-11,0.0,0.0,1.487519861718916e-16
600082.SH,2026-09-14,0.0,8.879983909469156e-07,4.151905643361704e-09
600082.SH,2026-09-15,0.0,0.0,0.0
600082.SH,2026-09-16,0.0,2.803326988469916e-06,1.8029241301941275e-08
600084.SH,2026-09-07,0.0,0.0,0.0
600084.SH,2026-09-08,0.0,0.0,0.0
600084.SH,2026-09-09,0.0,0.0,0.0
600084.SH,2026-09-10,0.0,0.0,1.3024881573626108e-07
600084.SH,2026-09-11,0.0,0.0,0.0
600084.SH,2026-09-14,0.0,0.0,1.197570063628582e-16
600084.SH,2026-09-15,0.0,0.0,0.0
