comparison,variant,split,net_total_return,delta_net_total_return,annualized_return,delta_annualized_return,maximum_drawdown,delta_maximum_drawdown,sharpe,delta_sharpe,sortino,delta_sortino,calmar,delta_calmar,turnover,delta_turnover,average_exposure,delta_average_exposure,profit_factor,delta_profit_factor,completed_trades,delta_trade_count,delta_tail_loss,economic_significance
ISOLATED_OR_CUMULATIVE_VS_P0,I_CONFIRMATION_ONLY,discovery,-0.040895003418070286,-0.0024125639280192512,-0.12028644847819925,-0.006809685753961459,-0.09010024756070845,0.034792426176632696,-0.8977041135386665,-0.17336749391075224,-0.7206847164642818,0.0816764495547081,-1.33502905635361,-0.42643482637589236,4.776251764874828,0.9425596428215619,0.23290630107524105,0.0007810955451110768,1.0464302377385342,-0.2196144956317716,469,-104,0.007094692116899795,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_CONFIRMATION_ONLY,validation,0.11916714535095174,0.010514951175395693,0.41339169977943513,0.040413413203356896,-0.07589204618630108,0.05022409188625365,1.6523011865544128,0.11252619974237366,2.7335248983549887,0.6132845679394614,5.447101778816639,2.4896825914204666,13.772643411072067,-0.7036093643248513,0.9550898897379103,-0.011894578476368656,1.603254761241464,0.10707072550794416,731,-286,0.00543715102607803,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_CONFIRMATION_ONLY,holdout,-0.029391143376105933,0.13088873352960906,-0.08611439452423209,0.3236940907136445,-0.13412781865812495,0.06742259346946733,-0.4031598105027791,2.236935989794315,-0.6452200812546816,3.169849011685492,-0.6420323195125309,1.3912479943895102,16.414423796512867,0.05086977017347394,0.9583811095587911,-0.009764698826987828,0.6098802378464379,0.006493649404994972,732,-183,0.004054278639402414,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,I_SIZING_ONLY,discovery,-0.03789997338108808,0.0005824661089629535,-0.11182738924753977,0.001649373476698024,-0.11362242224539121,0.011270251491949934,-0.8127534249159676,-0.08841680528805329,-0.899598580358061,-0.09723741433907107,-0.9842017714252325,-0.0756075414475148,3.6200020789232465,-0.21369004313001927,0.21737845302047423,-0.014746752509655736,1.2660447333703058,0.0,573,0,0.0,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_SIZING_ONLY,validation,0.11481715581601049,0.006164961640454436,0.39657690326244643,0.0235986166863682,-0.12304052514265418,0.003075612929900551,1.6890261761313219,0.14925118931928272,2.3917000090740554,0.27145967865852816,3.2231405287213457,0.26572134132517355,13.97682059719988,-0.4994321781970381,0.9289797572276917,-0.03800471098658731,1.4961840357335199,0.0,1017,0,0.0,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_SIZING_ONLY,holdout,-0.14856554950061163,0.011714327405103364,-0.38460379389213495,0.02520469134574166,-0.18710172650831713,0.014448685619275148,-2.5378747090097717,0.10222109128732226,-3.4947957730561465,0.32027331988402663,-2.0555865574818113,-0.02230624357977007,16.08855538399374,-0.2749986423456541,0.9339336890867413,-0.03421211929903756,0.6033865884414429,0.0,915,0,0.0,SMALL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,I_HOLDING_ONLY,discovery,-0.038482439490051035,0.0,-0.11347676272423779,0.0,-0.12489267373734114,0.0,-0.7243366196279143,0.0,-0.8023611660189899,0.0,-0.9085942299777177,0.0,3.833692122053266,0.0,0.23212520553012997,0.0,1.29110607661099,0.02506134324068432,573,0,0.0,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_HOLDING_ONLY,validation,0.13873644304080157,0.030084248865245522,0.4907272391214157,0.11774895254533746,-0.12998615280152115,-0.00387001472896642,1.8503987271761688,0.31062374036412965,2.4069012710868014,0.2866609406712741,3.7752270418428218,0.8178078544466496,14.45009120366515,-0.026161571731769584,0.9653071236497548,-0.0016773445645241747,1.5124764702909106,0.01629243455739071,1017,0,0.0,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_HOLDING_ONLY,holdout,-0.16543598116227998,-0.005156104256564986,-0.42068001701455027,-0.01087153177667366,-0.20871119588520193,-0.007160783757609646,-2.673140704642866,-0.0330449043457719,-3.8521467438878108,-0.0370776509476376,-2.0156082917848748,0.017672022117166453,15.950990855154517,-0.4125631711848765,0.9660524041993287,-0.0020934041864502095,0.6158866062810261,0.01250001783958321,914,-1,-7.806081448916147e-06,NEGATIVE
ISOLATED_OR_CUMULATIVE_VS_P0,I_DERISK_ONLY,discovery,-0.038482439490051035,0.0,-0.11347676272423779,0.0,-0.12489267373734114,0.0,-0.7243366196279143,0.0,-0.8023611660189899,0.0,-0.9085942299777177,0.0,3.833692122053266,0.0,0.23212520553012997,0.0,1.2747918486312548,0.008747115260949068,573,0,0.0005392137427448346,NOT_HOLDOUT_CLASSIFICATION
