variant,split,gross_total_return,net_total_return,annualized_return,sharpe,sortino,calmar,maximum_drawdown,maximum_drawdown_duration_sessions,average_exposure,capital_utilization,turnover,transaction_costs,entry_intents,portfolio_admitted_entries,capacity_rejections,average_open_positions,terminal_open_positions,ending_equity,admitted_completed_trades,admitted_trade_mean_return,admitted_trade_win_rate,admitted_trade_profit_factor,admitted_trade_return_p05
P0_PRICE_ONLY,total,-0.06241890989857091,-0.104867960891744,-0.10520843988993811,-0.4948206738749837,-0.6556427530695823,-0.4038632498528582,-0.2605051089156275,116,0.7284714976052881,0.7284714976052881,34.57233828987864,0.04510674751237469,2623,183,2440,7.300411522633745,10,0.8951320391082577,173,-0.007106504217377314,0.2947976878612717,0.787347984293263,-0.10137274860961465
P0_PRICE_ONLY,discovery,-0.03407346998218019,-0.038482439490051035,-0.11347676272423779,-0.7243366196279143,-0.8023611660189899,-0.9085942299777177,-0.12489267373734114,15,0.23212520553012997,0.23212520553012997,3.833692122053266,0.004558833714883914,495,25,470,2.329113924050633,10,0.9615175605099492,25,0.016750545777813982,0.4,1.4593398283764147,-0.12843111189192732
P0_PRICE_ONLY,validation,0.13061006646186835,0.10865219417555605,0.37297828657607823,1.5397749868120392,2.1202403304155273,2.957419187396172,-0.12611613807255473,34,0.966984468214279,0.966984468214279,14.476252775396919,0.02007071712219785,1091,74,1017,9.695121951219512,10,1.065988553197684,74,0.0004166772924793325,0.35135135135135137,1.0143854305476638,-0.08689837044394398
P0_PRICE_ONLY,holdout,-0.14147707383453934,-0.160279876905715,-0.4098084852378766,-2.640095800297094,-3.815069092940173,-2.0332803139020412,-0.20155041212759228,80,0.9681458083857789,0.9681458083857789,16.363554026339393,0.020477196675292922,1037,84,953,9.695121951219512,10,0.8951320391082577,74,-0.02268949991479859,0.20270270270270271,0.38413938716110435,-0.10095507076950178
I_CONFIRMATION_ONLY,total,0.0910280734428921,0.04185038305308164,0.04199707656351892,0.3208007211678706,0.45325459613334,0.24836878830508227,-0.16909160305574333,101,0.7214165420875456,0.7214165420875456,35.06680269937241,0.0462057905152293,2032,185,1847,7.238683127572016,10,1.041850383053079,175,0.0019556967422530752,0.2914285714285714,1.0634488685078693,-0.08465351284078422
I_CONFIRMATION_ONLY,discovery,-0.035068259745974606,-0.040895003418070286,-0.12028644847819925,-0.8977041135386665,-0.7206847164642818,-1.33502905635361,-0.09010024756070845,17,0.23290630107524105,0.23290630107524105,4.776251764874828,0.0057826826990050595,401,30,371,2.329113924050633,10,0.9591049965819295,30,-0.00487528243095033,0.23333333333333334,0.8393256987769724,-0.06595951007497589
I_CONFIRMATION_ONLY,validation,0.1397822216649769,0.11916714535095174,0.41339169977943513,1.6523011865544128,2.7335248983549887,5.447101778816639,-0.07589204618630108,37,0.9550898897379103,0.9550898897379103,13.772643411072067,0.018636918468641323,797,71,726,9.609756097560975,10,1.0733988011164328,71,0.01154040247833506,0.38028169014084506,1.4109758044861327,-0.0789376374004086
I_CONFIRMATION_ONLY,holdout,-0.007986791268111415,-0.029391143376105933,-0.08611439452423209,-0.4031598105027791,-0.6452200812546816,-0.6420323195125309,-0.13412781865812495,80,0.9583811095587911,0.9583811095587911,16.414423796512867,0.021786189347582918,834,84,750,9.597560975609756,10,1.041850383053079,74,-0.004471123961337722,0.22972972972972974,0.8671266798510732,-0.08888267158965897
I_SIZING_ONLY,total,-0.045188046409423976,-0.08678068472459355,-0.0870653289914024,-0.4234107809790851,-0.553596450706004,-0.345271424935346,-0.252164884504143,116,0.6993078205201686,0.6993078205201686,33.669261263674635,0.04425544869971645,2623,183,2440,7.300411522633745,10,0.9132193152754059,173,-0.007106504217377314,0.2947976878612717,0.787347984293263,-0.10137274860961465
I_SIZING_ONLY,discovery,-0.03353989026268955,-0.03789997338108808,-0.11182738924753977,-0.8127534249159676,-0.899598580358061,-0.9842017714252325,-0.11362242224539121,15,0.21737845302047423,0.21737845302047423,3.6200020789232465,0.0043040521872904705,495,25,470,2.329113924050633,10,0.9621000266189119,25,0.016750545777813982,0.4,1.4593398283764147,-0.12843111189192732
