variant,split,slippage_each_side_bps,commission_each_side_bps,transfer_fee_each_side_bps,sell_stamp_duty_bps,net_total_return,maximum_drawdown,sharpe,transaction_costs,portfolio_admitted_entries
P0_PRICE_ONLY,holdout,2.5,3.0,0.2,10.0,-0.15675616892052935,-0.19840520230844205,-2.574548532444846,0.016714446845547515,84
I_CONFIRMATION_ONLY,holdout,2.5,3.0,0.2,10.0,-0.025315602118853753,-0.1324811066509376,-0.3333189627765456,0.017782082160559057,84
I_SIZING_ONLY,holdout,2.5,3.0,0.2,10.0,-0.14508150469065584,-0.18398943285645286,-2.4712333138670357,0.016688084454169035,84
I_HOLDING_ONLY,holdout,2.5,3.0,0.2,10.0,-0.16207960853463,-0.2062941238259065,-2.6110380676536598,0.016694167334485338,82
I_DERISK_ONLY,holdout,2.5,3.0,0.2,10.0,-0.1525508892968147,-0.19461951029437163,-2.4958209399189646,0.01673459028725921,84
P1_TEMPORAL_CONFIRMATION,holdout,2.5,3.0,0.2,10.0,-0.025315602118853753,-0.1324811066509376,-0.3333189627765456,0.017782082160559057,84
P2_CANONICAL_PERSISTENCE,holdout,2.5,3.0,0.2,10.0,0.04496286107896896,-0.10477720506343735,0.7836790477794728,0.01974575366169963,84
P3_MASS_PROMINENCE,holdout,2.5,3.0,0.2,10.0,-0.00010098238953382133,-0.13405249769148508,0.08294791406158603,0.01547651418933782,66
P4_CHIP_SIZING,holdout,2.5,3.0,0.2,10.0,0.03299607321949982,-0.13864438307525495,0.6241090659611194,0.016978803265090714,57
P5_HEALTHY_HOLDING,holdout,2.5,3.0,0.2,10.0,0.04883898187156199,-0.14015699836681572,0.8484325655196642,0.01749159765044193,58
P6_DETERIORATION_DERISK,holdout,2.5,3.0,0.2,10.0,0.06773814323220262,-0.14014961796439107,1.1329957650267497,0.017629621837390752,60
P0_PRICE_ONLY,holdout,5.0,3.0,0.2,10.0,-0.160279876905715,-0.20155041212759228,-2.640095800297094,0.020477196675292922,84
I_CONFIRMATION_ONLY,holdout,5.0,3.0,0.2,10.0,-0.029391143376105933,-0.13412781865812495,-0.4031598105027791,0.021786189347582918,84
I_SIZING_ONLY,holdout,5.0,3.0,0.2,10.0,-0.14856554950061163,-0.18710172650831713,-2.5378747090097717,0.020456114318003718,84
I_HOLDING_ONLY,holdout,5.0,3.0,0.2,10.0,-0.16543598116227998,-0.20871119588520193,-2.673140704642866,0.02045500864278263,82
I_DERISK_ONLY,holdout,5.0,3.0,0.2,10.0,-0.15601811011304267,-0.1977161810937158,-2.5597903785240197,0.02050287412344598,84
P1_TEMPORAL_CONFIRMATION,holdout,5.0,3.0,0.2,10.0,-0.029391143376105933,-0.13412781865812495,-0.4031598105027791,0.021786189347582918,84
P2_CANONICAL_PERSISTENCE,holdout,5.0,3.0,0.2,10.0,0.04072397084021806,-0.10616319521384088,0.7206250287765706,0.02419356216646669,84
P3_MASS_PROMINENCE,holdout,5.0,3.0,0.2,10.0,-0.003383881054915716,-0.13541759147382337,0.02412359970646447,0.018965334321378785,66
P4_CHIP_SIZING,holdout,5.0,3.0,0.2,10.0,0.029322635268036468,-0.14010180755017998,0.5657772855286145,0.02080232099638283,57
P5_HEALTHY_HOLDING,holdout,5.0,3.0,0.2,10.0,0.04504789261501396,-0.14159947035979759,0.7912375777838462,0.021432370896352977,58
P6_DETERIORATION_DERISK,holdout,5.0,3.0,0.2,10.0,0.06395533151689503,-0.14159205079948756,1.0766239092980658,0.021608101840491275,60
P0_PRICE_ONLY,holdout,10.0,3.0,0.2,10.0,-0.16728143520947858,-0.20780183044835476,-2.770993923376038,0.027848192387660592,84
I_CONFIRMATION_ONLY,holdout,10.0,3.0,0.2,10.0,-0.03749072580303048,-0.13741177642294367,-0.5430768415362989,0.02962954870949376,84
I_SIZING_ONLY,holdout,10.0,3.0,0.2,10.0,-0.15549243493952603,-0.19329166125466157,-2.6709897137382157,0.027846725870038877,84
I_HOLDING_ONLY,holdout,10.0,3.0,0.2,10.0,-0.17210723551639673,-0.21352229829370772,-2.7972421248277364,0.027825087056112238,82
I_DERISK_ONLY,holdout,10.0,3.0,0.2,10.0,-0.16290880814871445,-0.2038723130125598,-2.687500373932976,0.027885772315647837,84
P1_TEMPORAL_CONFIRMATION,holdout,10.0,3.0,0.2,10.0,-0.03749072580303048,-0.13741177642294367,-0.5430768415362989,0.02962954870949376,84
P2_CANONICAL_PERSISTENCE,holdout,10.0,3.0,0.2,10.0,0.032299222107255554,-0.1089290642490911,0.5942416492102104,0.032920851449934174,84
P3_MASS_PROMINENCE,holdout,10.0,3.0,0.2,10.0,-0.009917491889778196,-0.1381417268596976,-0.09349000854858332,0.02583232939518481,66
P4_CHIP_SIZING,holdout,10.0,3.0,0.2,10.0,0.022014092824452547,-0.14301013970692955,0.4490978362253507,0.028324650249375104,57
P5_HEALTHY_HOLDING,holdout,10.0,3.0,0.2,10.0,0.03750577616382644,-0.14447825820674554,0.6768448984142207,0.029188610513822003,58
P6_DETERIORATION_DERISK,holdout,10.0,3.0,0.2,10.0,0.056429104740544744,-0.1444707604450126,0.9639128354648169,0.029438233533981617,60
