observation_timing,feature,bucket,split,discovery_low_threshold,discovery_high_threshold,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
candidate,peak_track_age,LOW,total,26.0,60.99999999999997,261,0.3716475095785441,0.009739309467999845,-0.019945148901644116,0.09634206174597233,-0.04148305011104485,2.322444022030128,1.3736406715665999,-0.13415768813160078,-0.10550316347497998,-0.07360835769429053,0.0421455938697318,0.12643678160919541,11.486590038314176,10.0,0.10453152430887742,-0.04013845628434673,-1.7275570971169145,0.0921221501780932
candidate,peak_track_age,MID,total,26.0,60.99999999999997,246,0.3617886178861789,0.005094768486105821,-0.02149653229869386,0.08911332741639466,-0.042533586576287225,2.095128452348196,1.1876842819043916,-0.19148707197488335,-0.09751775198331139,-0.08418526196652079,0.06097560975609756,0.1016260162601626,11.044715447154472,10.0,0.08601870287290937,-0.03637436800347157,-2.656086921740353,0.07826615133436587
candidate,peak_track_age,HIGH,total,26.0,60.99999999999997,348,0.35344827586206895,0.009655495998851592,-0.018834061103486954,0.09477590088538754,-0.036876992005788055,2.5700550866652008,1.4049634473769765,-0.10440903727174633,-0.0870738907890146,-0.06801083787071384,0.020114942528735632,0.11206896551724138,11.333333333333334,10.0,0.08045832289909198,-0.033102447319264046,-2.1628247624590444,0.06813298386632612
candidate,peak_track_age,MISSING,total,26.0,60.99999999999997,1650,0.33151515151515154,-0.0011476317032343036,-0.025743054271128163,0.09193464313269575,-0.047309013693491546,1.9432796407113324,0.9637116622566625,-0.37131225131438994,-0.13473092071013826,-0.09407677044278363,0.08484848484848485,0.1103030303030303,11.058787878787879,10.0,0.08710589234605196,-0.04231453456349883,-2.44239892183817,0.08561224784371513
candidate,peak_track_age,LOW,discovery,26.0,60.99999999999997,76,0.34210526315789475,-0.0015982605633120758,-0.018070644328753882,0.06465336808597148,-0.036049107460939527,1.7934804115753955,0.9326098140192056,-0.10266781054077834,-0.09373067636511223,-0.06526832965004392,0.02631578947368421,0.07894736842105263,11.81578947368421,12.0,0.0873127702160371,-0.034982341196735545,-0.9730436421659063,0.08627094617658486
candidate,peak_track_age,MID,discovery,26.0,60.99999999999997,64,0.4375,0.01231611009169971,-0.005759898165448141,0.0756022097530107,-0.03690641186709773,2.0484844212235784,1.5932656609516722,-0.19148707197488335,-0.12926748866526966,-0.06732651567039241,0.046875,0.109375,11.234375,10.5,0.08994856358219971,-0.02641759037091128,-0.6763056881561539,0.07495557496573774
candidate,peak_track_age,HIGH,discovery,26.0,60.99999999999997,71,0.352112676056338,0.008129432618443615,-0.01388578804861551,0.07178228737523637,-0.026464510184161148,2.712398108852876,1.4741294069852584,-0.08692150566917811,-0.08555321315046008,-0.048028337314345027,0.028169014084507043,0.08450704225352113,13.366197183098592,13.0,0.07640461118123948,-0.025018818365475322,-0.6946471847771846,0.06560937091491338
candidate,peak_track_age,MISSING,discovery,26.0,60.99999999999997,362,0.39226519337016574,0.006226623317670215,-0.014362177690821654,0.0778430524314443,-0.039998526383038524,1.9461480077039501,1.2561500776998225,-0.37131225131438994,-0.14727008202381314,-0.0756870359299229,0.04419889502762431,0.1132596685082873,12.312154696132596,11.5,0.09417485127839072,-0.03289900703645742,-1.1776453906447175,0.08528745193221382
candidate,peak_track_age,LOW,validation,26.0,60.99999999999997,107,0.45794392523364486,0.03787841162806068,-0.01090277339573642,0.12978779395506132,-0.039769169993026064,3.2635278528020812,2.7571183584017582,-0.13415768813160078,-0.08507777049565732,-0.07080601321711018,0.028037383177570093,0.205607476635514,12.495327102803738,12.0,0.150365091600987,-0.04104164644076088,-1.2579961278369878,0.10974220677556717
candidate,peak_track_age,MID,validation,26.0,60.99999999999997,83,0.4578313253012048,0.017583879614791808,-0.01123529095342679,0.09292738856310982,-0.04603952794156561,2.0184261811080106,1.7044487751578759,-0.09536266391085502,-0.09324123258132394,-0.08080246588575321,0.060240963855421686,0.14457831325301204,11.939759036144578,11.0,0.10541488497275497,-0.038541135453888375,-2.4005675946141585,0.08514019721282919
candidate,peak_track_age,HIGH,validation,26.0,60.99999999999997,134,0.4701492537313433,0.03304197591210955,-0.006469820811230265,0.11248281806792462,-0.037447785437416496,3.0037241656361284,2.6652763723250152,-0.10031718540361112,-0.08126534846270984,-0.06972680618375539,0.014925373134328358,0.16417910447761194,12.149253731343284,11.0,0.11069111753698259,-0.03175036446811821,-1.6042858421927333,0.07491745746719763
candidate,peak_track_age,MISSING,validation,26.0,60.99999999999997,693,0.3838383838383838,0.006413506578392958,-0.02302368070306593,0.09924024088575321,-0.05141298364586425,1.9302564031164968,1.2024548084988014,-0.18830621477878562,-0.13667212344525434,-0.1001318675603056,0.11544011544011544,0.13852813852813853,11.670995670995671,11.0,0.1049564435406776,-0.04471214389530963,-1.8713303926347278,0.09588166675633451
candidate,peak_track_age,LOW,holdout,26.0,60.99999999999997,78,0.28205128205128205,-0.017814903464651474,-0.03086709458042447,0.059299568878456936,-0.048109874742301204,1.232586224680337,0.48423030255298954,-0.125007020307063,-0.11052668724385721,-0.08700874589307045,0.07692307692307693,0.0641025641025641,9.782051282051283,9.0,0.05843451931913567,-0.04392337166796385,-3.1369845355372945,0.07365222002661785
candidate,peak_track_age,MID,holdout,26.0,60.99999999999997,99,0.23232323232323232,-0.010044242488024949,-0.02971015626243112,0.09926015224246316,-0.04312320405119899,2.3017805477676085,0.69659148156125,-0.10086244771548769,-0.09931263469786994,-0.08668042462626502,0.0707070707070707,0.06060606060606061,10.171717171717171,9.0,0.06721674125996221,-0.04099448992366613,-4.236774782751508,0.0746432329472926
