from_variant,to_variant,split,delta_net_return,delta_annualized_return,delta_profit_factor,delta_max_drawdown,delta_sharpe,delta_sortino,delta_calmar,delta_trade_count,delta_turnover,delta_exposure,delta_tail_loss
P0_PRICE_ONLY,P1_TEMPORAL_CONFIRMATION,discovery,-0.0024125639280192512,-0.006809685753961459,-0.2196144956317716,0.034792426176632696,-0.17336749391075224,0.0816764495547081,-0.42643482637589236,-104,0.9425596428215619,0.0007810955451110768,0.007094692116899795
P0_PRICE_ONLY,P1_TEMPORAL_CONFIRMATION,validation,0.010514951175395693,0.040413413203356896,0.10707072550794416,0.05022409188625365,0.11252619974237366,0.6132845679394614,2.4896825914204666,-286,-0.7036093643248513,-0.011894578476368656,0.00543715102607803
P0_PRICE_ONLY,P1_TEMPORAL_CONFIRMATION,holdout,0.13088873352960906,0.3236940907136445,0.006493649404994972,0.06742259346946733,2.236935989794315,3.169849011685492,1.3912479943895102,-183,0.05086977017347394,-0.009764698826987828,0.004054278639402414
P1_TEMPORAL_CONFIRMATION,P2_CANONICAL_PERSISTENCE,discovery,-0.017029377994153494,-0.047066943222222934,0.23499565886430607,-0.001093402855914638,-0.9645532023211014,-0.8411385838270797,-0.5001139709937901,-331,-0.9139675640046598,-0.0356036128152058,0.01139500137167318
P1_TEMPORAL_CONFIRMATION,P2_CANONICAL_PERSISTENCE,validation,0.08467192555809255,0.3550899359268529,0.35618328151536405,-0.0017007150052641418,1.2158812500976794,1.6957184288153409,4.45693596781051,-517,-1.0880001326794257,-0.04263141355158295,0.004794884055042789
P1_TEMPORAL_CONFIRMATION,P2_CANONICAL_PERSISTENCE,holdout,0.07011511421632399,0.21416615740369382,-0.0908874704016398,0.027964623444284076,1.1237848392793497,1.7464378714289985,1.8482108131188273,-499,-0.018479017332349912,-0.0447910150449532,0.010317018854167775
P2_CANONICAL_PERSISTENCE,P3_MASS_PROMINENCE,discovery,0.0373800885638762,0.10562678284789251,-0.2791409880726996,0.028744937626405842,1.20658236935222,1.129015740305603,0.8467061790189696,-94,-0.9806989595199846,-0.03734194482594086,0.0019613311947226583
P2_CANONICAL_PERSISTENCE,P3_MASS_PROMINENCE,validation,-0.034415795376027125,-0.1508160660250355,-0.27160535235539673,0.004314077547116657,-0.09892649379529628,-0.3775340406792491,-1.4750439524946906,-151,-1.175671814570336,-0.16106580697252604,0.009468744166904353
P2_CANONICAL_PERSISTENCE,P3_MASS_PROMINENCE,holdout,-0.044107851895133776,-0.13823148328766655,0.05806002839528124,-0.029254396259982496,-0.6965014290701061,-1.059811602905975,-1.2813513001627663,-143,-3.311715837056523,-0.10553967458527136,0.006283606999577904
P3_MASS_PROMINENCE,P4_CHIP_SIZING,discovery,-0.007163751307015187,-0.02090441188233505,0.0,-0.0029173018098258563,-0.39892432694154434,-0.2101736071006337,-0.2756913265413625,0,0.2228729502862028,0.004449847630674353,0.0
P3_MASS_PROMINENCE,P4_CHIP_SIZING,validation,0.03136166869538237,0.1370641478367689,0.0,-0.0027287829413843445,0.3193724166959244,1.310489678906654,1.5006848469222103,0,0.04171590773487921,0.07240434140417984,0.0
P3_MASS_PROMINENCE,P4_CHIP_SIZING,holdout,0.032706516322952184,0.10133853600606346,0.0,-0.0046842160763566065,0.54165368582215,0.9294779665037043,0.7258340449220669,0,0.9481814517311609,0.02134811412025006,0.0
P4_CHIP_SIZING,P5_HEALTHY_HOLDING,discovery,-0.002721250228827965,-0.007857798648262637,0.3156663558073707,-0.0016851242168400837,-0.033716970358506515,-0.08665730261795945,-0.08542115389332516,0,-0.006899488468893544,0.014082184113929752,0.0
P4_CHIP_SIZING,P5_HEALTHY_HOLDING,validation,0.015271560401832751,0.06949104225233849,0.2622095594116509,-0.0014007635372464966,0.22363566927919454,0.1822614106183007,0.7180361879737891,0,-0.6763180722822106,0.001639811441097816,0.0
P4_CHIP_SIZING,P5_HEALTHY_HOLDING,holdout,0.015725257346977495,0.05109974034187026,0.08556980405068415,-0.001497662809617606,0.22546029225523168,0.41991358144167024,0.35399333822467294,0,0.2713077365032266,0.005570346790999214,0.0
P5_HEALTHY_HOLDING,P6_DETERIORATION_DERISK,discovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
P5_HEALTHY_HOLDING,P6_DETERIORATION_DERISK,validation,0.004761025874782998,0.02203800560496072,0.03484695734978405,0.0019778163030506057,0.09008878436367818,0.2978495145418032,0.5713508305399682,0,0.0008602014266188007,-0.0017033072994008247,0.0
P5_HEALTHY_HOLDING,P6_DETERIORATION_DERISK,holdout,0.01890743890188107,0.0635290823353789,0.017808866726054307,7.419560310029105e-06,0.28538633151421966,0.5725770341905971,0.44872954429183687,0,0.052388933936647675,-0.0025785512970319946,0.0023042156403023373
