variant,split,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
P0_PRICE_ONLY,total,2505,0.34171656686626745,0.0021005162139695584,-0.02461312445239172,0.09254900903260009,-0.0448515212952771,2.0634530637948636,1.071143615893513,-0.37131225131438994,-0.12497741669538714,-0.08812323721833566,0.069061876247505,0.11137724550898204,11.140119760479042,10.0,0.08789123652344208,-0.04022469673291235,-2.3487501011465772,0.08314085499095719
P0_PRICE_ONLY,discovery,573,0.3856893542757417,0.006104695636933992,-0.014200962040422205,0.07532181028491203,-0.03735264054830222,2.016505638671256,1.2660447333703058,-0.37131225131438994,-0.14434730732737402,-0.07285051156883664,0.04013961605584642,0.10471204188481675,12.256544502617801,12.0,0.09059075420999134,-0.03147497446044775,-1.033872728918436,0.08182560495924593
P0_PRICE_ONLY,validation,1017,0.40904621435594885,0.014144185725938263,-0.01858663327896093,0.10426722183434084,-0.04823715041565154,2.161554340086167,1.4961840357335199,-0.18830621477878562,-0.1298069273590534,-0.09311756075057084,0.08849557522123894,0.14945919370698132,11.84267453294002,11.0,0.11052696693971435,-0.042114488662744906,-1.8141261569549636,0.09370106868868713
P0_PRICE_ONLY,holdout,915,0.23934426229508196,-0.013793261603550431,-0.03380492018166392,0.08767428025504263,-0.04572054848146981,1.9176121714851333,0.6033865884414429,-0.1549731678107572,-0.1167876559298389,-0.08761773356316026,0.06557377049180328,0.073224043715847,9.660109289617486,8.0,0.06104166114886108,-0.043603573748740264,-3.8189144492285507,0.07222708552383066
I_CONFIRMATION_ONLY,total,1932,0.3359213250517598,0.00124149537811953,-0.02396984582203543,0.08718398756495677,-0.04223214252465317,2.064398876141858,1.0442672413219531,-0.37131225131438994,-0.11483727033431433,-0.08302884108209924,0.053830227743271224,0.10144927536231885,11.109730848861284,10.0,0.0819966153476206,-0.03804856830345029,-2.4645186628036946,0.0781075261691458
I_CONFIRMATION_ONLY,discovery,469,0.3624733475479744,0.0010132079096630859,-0.014617669250465704,0.06299874036277942,-0.034229402515185664,1.8404861240224808,1.0464302377385342,-0.37131225131438994,-0.11183948508222083,-0.06575581945193684,0.02771855010660981,0.0767590618336887,12.157782515991471,12.0,0.08078106102963137,-0.029612509706662585,-0.8602434851404576,0.07712086298265432
I_CONFIRMATION_ONLY,validation,731,0.4158686730506156,0.01584144310694363,-0.01704711743905063,0.10123724436397748,-0.044955567624059396,2.251940075822714,1.603254761241464,-0.1345841484142527,-0.11762269169948159,-0.08768040972449281,0.06976744186046512,0.14774281805745554,12.013679890560876,11.0,0.1064784637983529,-0.039283012947799206,-1.9033027116392367,0.08795082009012656
I_CONFIRMATION_ONLY,holdout,732,0.2390710382513661,-0.01319224091568422,-0.0331662766225817,0.08626571303620163,-0.044440251582793786,1.9411616713169482,0.6098802378464379,-0.1549731678107572,-0.1100995282423542,-0.08356345492375784,0.0546448087431694,0.07103825136612021,9.53551912568306,8.0,0.05832703031709008,-0.042220880389344254,-4.110006848057832,0.06890984471863704
I_SIZING_ONLY,total,2505,0.34171656686626745,0.0021005162139695584,-0.02461312445239172,0.09254900903260009,-0.0448515212952771,2.0634530637948636,1.071143615893513,-0.37131225131438994,-0.12497741669538714,-0.08812323721833566,0.069061876247505,0.11137724550898204,11.140119760479042,10.0,0.08789123652344208,-0.04022469673291235,-2.3487501011465772,0.08314085499095719
I_SIZING_ONLY,discovery,573,0.3856893542757417,0.006104695636933992,-0.014200962040422205,0.07532181028491203,-0.03735264054830222,2.016505638671256,1.2660447333703058,-0.37131225131438994,-0.14434730732737402,-0.07285051156883664,0.04013961605584642,0.10471204188481675,12.256544502617801,12.0,0.09059075420999134,-0.03147497446044775,-1.033872728918436,0.08182560495924593
I_SIZING_ONLY,validation,1017,0.40904621435594885,0.014144185725938263,-0.01858663327896093,0.10426722183434084,-0.04823715041565154,2.161554340086167,1.4961840357335199,-0.18830621477878562,-0.1298069273590534,-0.09311756075057084,0.08849557522123894,0.14945919370698132,11.84267453294002,11.0,0.11052696693971435,-0.042114488662744906,-1.8141261569549636,0.09370106868868713
I_SIZING_ONLY,holdout,915,0.23934426229508196,-0.013793261603550431,-0.03380492018166392,0.08767428025504263,-0.04572054848146981,1.9176121714851333,0.6033865884414429,-0.1549731678107572,-0.1167876559298389,-0.08761773356316026,0.06557377049180328,0.073224043715847,9.660109289617486,8.0,0.06104166114886108,-0.043603573748740264,-3.8189144492285507,0.07222708552383066
I_HOLDING_ONLY,total,2504,0.34065495207667734,0.0025821486879319643,-0.02469113394236183,0.09437205866138534,-0.04484171152245916,2.1045596935816935,1.087334596381093,-0.37131225131438994,-0.12498481759830611,-0.08813151254436458,0.06908945686900958,0.1134185303514377,11.223642172523961,10.0,0.08818014252819198,-0.04028317402990185,-2.3470461343440157,0.0829468549357437
I_HOLDING_ONLY,discovery,573,0.38219895287958117,0.006704268808705596,-0.014292660235954435,0.07779874302482384,-0.037277905918215004,2.086993384110915,1.29110607661099,-0.37131225131438994,-0.14434730732737402,-0.07285051156883664,0.04013961605584642,0.1099476439790576,12.361256544502618,12.0,0.09104625014440736,-0.03161859410487517,-1.0315268254158376,0.08167994226401652
I_HOLDING_ONLY,validation,1017,0.41002949852507375,0.014608593095106344,-0.01858663327896093,0.10514968775285262,-0.048317467692027306,2.176225137109224,1.5124764702909106,-0.18830621477878562,-0.1298069273590534,-0.09311756075057084,0.08849557522123894,0.1504424778761062,11.923303834808259,11.0,0.11083173734118519,-0.042136535469642404,-1.8113866883540806,0.09354020368352126
I_HOLDING_ONLY,holdout,914,0.237417943107221,-0.01338379090867596,-0.03383745419337586,0.09038719595753798,-0.0456912574079133,1.9782164266261528,0.6158866062810261,-0.1549731678107572,-0.1168065212748016,-0.08762553964460917,0.06564551422319474,0.07439824945295405,9.731947483588621,8.0,0.061179101402474755,-0.04365290675728056,-3.820521667029848,0.07195397231474794
I_DERISK_ONLY,total,2505,0.34251497005988024,0.0021725780027642264,-0.024501948461713496,0.09229727693519363,-0.044777629455659836,2.0612363373677294,1.0737952504320045,-0.37131225131438994,-0.12497741669538714,-0.0879482760213248,0.06826347305389222,0.11137724550898204,11.140119760479042,10.0,0.08789123652344208,-0.04022469673291235,-2.3472039594582714,0.0830686026483889
