strategy,period,final_nav,intent_count,funded_count,trade_count,initial_cash,initial_positions,max_abs_cash_diff,max_abs_position_diff,max_abs_nav_diff,prefix_invariance_status,status,scope
SMV6,2018_2021,1260255.9780863535,77,77,160,1000000.0,{},1.3969838619232178e-09,0.0,1.3969838619232178e-09,CALLBACK_BASELINE_PREFIX_PASS,NATIVE_PHYSICAL_ACCOUNT_RECONCILED,LOCAL_PLATFORM_APPROXIMATION_SINGLE_STRATEGY_PHYSICAL_P0
SMV6,2022_2023,1103922.0770485734,32,32,62,1000000.0,{},4.94765117764473e-10,0.0,6.984919309616089e-10,CALLBACK_BASELINE_PREFIX_PASS,NATIVE_PHYSICAL_ACCOUNT_RECONCILED,LOCAL_PLATFORM_APPROXIMATION_SINGLE_STRATEGY_PHYSICAL_P0
