strategy,period,eligible_count,intent_count,funded_count,trade_count,initial_cash,initial_positions,final_nav,max_abs_cash_diff,max_abs_position_diff,max_abs_nav_diff,prefix_invariance_status,status,reason,completed_dates,last_completed_date,fidelity,scope,initialization_scope,common_p0_gate
ATRDR,2018_2021,2150.0,571,397,359,1000000.0,{},,5.3551048040390015e-09,2.6921043172478676e-10,8.381903171539307e-09,ACCOUNTING_BLOCKED,ACCOUNTING_BLOCKED,ACTIVE_COORDINATE_LINEAGE_CHANGE:2019-07-16:V29|BULL|V29B|20190703|600195.SH: native outcome abort is not an executable exit,372.0,2019-07-15,NORMALIZED_RESEARCH_ACCOUNT,,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
ATRDR,2022_2023,778.0,502,441,441,1000000.0,{},1161075.2379726074,1.2805685400962831e-08,1.0186340659856794e-09,1.3271346688270569e-08,PENDING_FULL_NATIVE_COMPARISON,NATIVE_ACCOUNT_RECONCILED,full causal and shared initial-state gates pending,484.0,2023-12-29,NORMALIZED_RESEARCH_ACCOUNT,,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
MCB,2018_2021,1064.0,431,325,286,1000000.0,{},,5.878973752260208e-09,4.656612873077393e-10,6.752088665962219e-09,ACCOUNTING_BLOCKED,ACCOUNTING_BLOCKED,ACTIVE_COORDINATE_LINEAGE_CHANGE:2020-06-24:V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH: native outcome abort is not an executable exit,601.0,2020-06-23,NORMALIZED_RESEARCH_ACCOUNT,,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
MCB,2022_2023,423.0,347,206,206,1000000.0,{},1077980.036148977,6.05359673500061e-09,4.365574568510055e-10,7.566995918750763e-09,PENDING_FULL_NATIVE_COMPARISON,NATIVE_ACCOUNT_RECONCILED,full causal and shared initial-state gates pending,484.0,2023-12-29,NORMALIZED_RESEARCH_ACCOUNT,,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
OGR,2018_2021,370.0,255,255,255,1000000.0,{},1110169.4677651073,3.492459654808044e-09,1.9554136088117957e-11,3.492459654808044e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,,,,,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
OGR,2022_2023,50.0,45,45,45,1000000.0,{},1007359.4066154052,2.7939677238464355e-09,3.637978807091713e-12,2.91038304567337e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,,,,,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
IFCGR,2018_2021,362.0,248,248,248,1000000.0,{},1105177.2081431411,3.376044332981109e-09,1.9099388737231493e-11,3.841705620288849e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,,,,,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
IFCGR,2022_2023,50.0,45,45,45,1000000.0,{},1007359.4066154052,2.7939677238464355e-09,3.637978807091713e-12,2.91038304567337e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,,,,,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
SMV6,2018_2021,,77,77,160,1000000.0,{},1260255.9780863535,1.3969838619232178e-09,0.0,1.3969838619232178e-09,CALLBACK_BASELINE_PREFIX_PASS,NATIVE_PHYSICAL_ACCOUNT_RECONCILED,,,,,LOCAL_PLATFORM_APPROXIMATION_SINGLE_STRATEGY_PHYSICAL_P0,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
SMV6,2022_2023,,32,32,62,1000000.0,{},1103922.0770485734,4.94765117764473e-10,0.0,6.984919309616089e-10,CALLBACK_BASELINE_PREFIX_PASS,NATIVE_PHYSICAL_ACCOUNT_RECONCILED,,,,,LOCAL_PLATFORM_APPROXIMATION_SINGLE_STRATEGY_PHYSICAL_P0,DIAGNOSTIC_FLAT_RESET_NOT_FORMAL_CONTINUOUS_P0,NOT_PASSED
