strategy,symbol_action,event_id_action,record_date,effective_date,share_multiplier,cash_per_share_gross,share_credit_date,pay_date,announcement_date,holding_overlap,registered_source,execution_timing_resolved
ATRDR,605183,cninfo:distribution:b7d9656c901af289689fc23deaa2817a,2022-06-21,2022-06-22,1.0,0.5,,2022-06-22,2022-06-16,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,603138,cninfo:distribution:c754e96a71c2a166c95ec23abe4907f7,2022-07-01,2022-07-04,1.0,0.026000000000000002,,2022-07-04,2022-06-28,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,000921,cninfo:distribution:d4f7bcca6ebc2b3a601ff7adc26a7559,2022-07-11,2022-07-12,1.0,0.21400000000000002,,2022-07-12,2022-07-05,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600195,cninfo:distribution:d9d68064db8bb3341fc233642df08852,2022-07-11,2022-07-12,1.0,0.15118,,2022-07-12,2022-07-06,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600622,cninfo:distribution:33eaaf010e25f2c4f39e629231808e98,2022-07-14,2022-07-15,1.0,0.074,,2022-07-15,2022-07-07,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600839,cninfo:distribution:1d358c578c8ca6c9a50a5f17b5448439,2022-07-26,2022-07-27,1.0,0.02,,2022-07-27,2022-07-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,601866,cninfo:distribution:830a892eeab6a041bb605fe69811e039,2022-07-27,2022-07-28,1.0,0.22599999999999998,,2022-07-28,2022-07-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600570,cninfo:distribution:b7e669b29d04b45bff3947ca029478dc,2022-08-17,2022-08-18,1.3,0.1,,2022-08-18,2022-08-12,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,False
ATRDR,300561,cninfo:distribution:9d8de4fd89ff6e1ec3e563e12aeb1af5,2023-05-18,2023-05-19,1.0,0.038,,2023-05-19,2023-05-12,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,001314,cninfo:distribution:f9911cd9c4e31447974f1cd492f25276,2023-05-22,2023-05-23,1.0,0.5,,2023-05-23,2023-05-16,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
