strategy,period,warmup_start,segment_start,reset_or_continuation,initial_cash,initial_nav,position_count,position_notional,pending_entitlement_count,state_hash,validation_status,reason,state_file,positions,tradable_quantity,pending_quantity,cooldown_state_hash,strategy_state_hash,source,route_if_needed
ATRDR,2018_2021,2014-01-01,2018-01-01,NATIVE_CONTINUATION,,,,,,b80050c58a8075f9cf3341aa797e2ae542dbd028453c2263fb31aef6ba0b3cec,ENGINEERING_INCOMPLETE_RAW_CONTINUOUS_STATE,Official listing/payment dates recovered; raw continuous account and native exit coordinate mapping not integrated. ACTIVE_COORDINATE_LINEAGE_CHANGE:2017-06-30:V29|BULL|V29B|20170623|600622.SH: native outcome abort is not an executable exit,output/atrdr_initial_state_2018.json,null,null,null,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,b80050c58a8075f9cf3341aa797e2ae542dbd028453c2263fb31aef6ba0b3cec,output/atrdr_initial_state_2018.json,NATIVE_ROUTE_STATE_IN_JSON
ATRDR,2022_2023,2014-01-01,2022-01-01,NATIVE_CONTINUATION,,,,,,b386e361d864d5a17f24c2d5592974303cffa4309dfa3041aea898016440dd76,ENGINEERING_INCOMPLETE_RAW_CONTINUOUS_STATE,Official listing/payment dates recovered; raw continuous account and native exit coordinate mapping not integrated. ACTIVE_COORDINATE_LINEAGE_CHANGE:2017-06-30:V29|BULL|V29B|20170623|600622.SH: native outcome abort is not an executable exit,output/atrdr_initial_state_2022.json,null,null,null,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,b386e361d864d5a17f24c2d5592974303cffa4309dfa3041aea898016440dd76,output/atrdr_initial_state_2022.json,NATIVE_ROUTE_STATE_IN_JSON
MCB,2018_2021,2014-01-01,2018-01-01,NATIVE_CONTINUATION,1312987.896579233,1312987.896579233,0.0,0.0,0.0,02f7ca6b964087da1fe58b5d1fb7d0669bbbae92be2a238e81b19a7b7250e2c1,VALIDATED,,output/mcb_initial_state_2018.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,02f7ca6b964087da1fe58b5d1fb7d0669bbbae92be2a238e81b19a7b7250e2c1,output/mcb_initial_state_2018.json,NATIVE_ROUTE_STATE_IN_JSON
MCB,2022_2023,2014-01-01,2022-01-01,NATIVE_CONTINUATION,,,,,,6dcbf4334c45695b9b10b9a7427ea8c45a7a0a5a74fb40243c995197df714027,ENGINEERING_INCOMPLETE_RAW_CONTINUOUS_STATE,Official listing/payment dates recovered; raw continuous account and native exit coordinate mapping not integrated. ACTIVE_COORDINATE_LINEAGE_CHANGE:2020-06-24:V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH: native outcome abort is not an executable exit,output/mcb_initial_state_2022.json,null,null,null,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,6dcbf4334c45695b9b10b9a7427ea8c45a7a0a5a74fb40243c995197df714027,output/mcb_initial_state_2022.json,NATIVE_ROUTE_STATE_IN_JSON
OGR,2018_2021,2013-01-01_MARKET_WARMUP_ACCOUNT_ORIGIN_2018,2018-01-01,NATIVE_ACCOUNT_ORIGIN_RESET,1000000.0,1000000.0,0.0,0.0,0.0,20955fdcb57adbeda10d4b2dd42f75cdf41751254c12b301e2d7b0abc47544bd,VALIDATED,,output/ogr_initial_state_2018.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,20955fdcb57adbeda10d4b2dd42f75cdf41751254c12b301e2d7b0abc47544bd,output/ogr_initial_state_2018.json,NATIVE_ROUTE_STATE_IN_JSON
OGR,2022_2023,2013-01-01_MARKET_WARMUP_ACCOUNT_ORIGIN_2018,2022-01-01,NATIVE_CONTINUATION,1110169.4677651073,1110169.4677651073,0.0,0.0,0.0,5fcbc2441f87a70ea0d8d41fb631af8695440ebb9b90077cb7f38b20dbda4c44,VALIDATED,,output/ogr_initial_state_2022.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,5fcbc2441f87a70ea0d8d41fb631af8695440ebb9b90077cb7f38b20dbda4c44,output/ogr_initial_state_2022.json,NATIVE_ROUTE_STATE_IN_JSON
IFCGR,2018_2021,2013-01-01_MARKET_WARMUP_ACCOUNT_ORIGIN_2018,2018-01-01,NATIVE_ACCOUNT_ORIGIN_RESET,1000000.0,1000000.0,0.0,0.0,0.0,ed5452972178db22bf7f4639f70a26003b902df16eca67880459565805343e79,VALIDATED,,output/ifcgr_initial_state_2018.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,ed5452972178db22bf7f4639f70a26003b902df16eca67880459565805343e79,output/ifcgr_initial_state_2018.json,NATIVE_ROUTE_STATE_IN_JSON
IFCGR,2022_2023,2013-01-01_MARKET_WARMUP_ACCOUNT_ORIGIN_2018,2022-01-01,NATIVE_CONTINUATION,1105177.2081431411,1105177.2081431411,0.0,0.0,0.0,f1f1b45113e6061568c723e9d7ee1cd5930c87389868dbef72d180a10b5792f8,VALIDATED,,output/ifcgr_initial_state_2022.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,f1f1b45113e6061568c723e9d7ee1cd5930c87389868dbef72d180a10b5792f8,output/ifcgr_initial_state_2022.json,NATIVE_ROUTE_STATE_IN_JSON
SMV6,2018_2021,ALL_REGISTERED_PRIOR_DAILY_HISTORY,2018-01-01,NATIVE_CALLBACK_INIT_RESET,1000000.0,1000000.0,0.0,0.0,0.0,f724dd926dd0017995bb5c535818efd13702382b064161bcb2c285232d87fb08,VALIDATED,,output/smv6_initial_state_2018.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,f724dd926dd0017995bb5c535818efd13702382b064161bcb2c285232d87fb08,output/smv6_initial_state_2018.json,NATIVE_ROUTE_STATE_IN_JSON
SMV6,2022_2023,ALL_REGISTERED_PRIOR_DAILY_HISTORY,2022-01-01,NATIVE_CALLBACK_INIT_RESET,1000000.0,1000000.0,0.0,0.0,0.0,71e4b6827a5e60b4c0ef0eac3eee43d3e3a25bbfbb097d01cb3f72bac6467041,VALIDATED,,output/smv6_initial_state_2022.json,{},{},{},c04f2ad75c220229bb5d8397838a9bf8297c2e0cb561eb03574aa3249ae0859d,71e4b6827a5e60b4c0ef0eac3eee43d3e3a25bbfbb097d01cb3f72bac6467041,output/smv6_initial_state_2022.json,NATIVE_ROUTE_STATE_IN_JSON
