route,event_id,symbol,entry_date,cutoff,prefix_outcome_status,extended_outcome_status,legacy_completed_filter_prefix_entries,legacy_completed_filter_extended_entries,completed_only_filter_applies_to_this_legacy_route,corrected_prefix_entries,corrected_extended_entries,max_abs_cash_diff,max_abs_nav_diff,max_abs_position_diff,status,scope
bull,V29B|20180103|300251.SZ,300251.SZ,2018-01-04,2018-01-08,INCOMPLETE_OUTCOME_TAIL,COMPLETED,0,1,True,1,1,0.0,0.0,0.0,PASS,fixed actual native parent; independently recomputed outcomes and physical funding under raw bar truncation
fast,OAI-20180214-002780.SZ,002780.SZ,2018-02-22,2018-02-26,INCOMPLETE_OUTCOME_TAIL,COMPLETED,0,1,False,1,1,0.0,0.0,0.0,PASS,fixed actual native parent; independently recomputed outcomes and physical funding under raw bar truncation
slow,SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180108|000048.SZ,000048.SZ,2018-01-09,2018-01-11,INCOMPLETE_PATH,COMPLETED,0,1,True,1,1,0.0,0.0,0.0,PASS,fixed actual native parent; independently recomputed outcomes and physical funding under raw bar truncation
