strategy,status,first_blocker,completed_dates,through,held_events,unresolved_events,funded_entries,final_nav
ATRDR,RAW_CONTINUOUS_REPLAY_COMPLETED,,2434,2023-12-29 00:00:00,109,0,2124,3111702.345194029
MCB,RAW_CONTINUOUS_REPLAY_COMPLETED,,2434,2023-12-29 00:00:00,38,0,1014,1950765.4558405387
