strategy,through,history_required_through,status,quantity_scope
ATRDR,2017-06-29,2023-12-29,PREFIX_ONLY_ENGINEERING_BLOCKED,NATIVE_CONTINUOUS_COORDINATE
MCB,2020-06-23,2023-12-29,PREFIX_ONLY_ENGINEERING_BLOCKED,NATIVE_CONTINUOUS_COORDINATE
OGR,2023-12-29,2023-12-29,OVERLAP_IDENTITIES_COVERED,PER_SEGMENT_DIAGNOSTIC_RAW; 2022 continuation quantity pending
IFCGR,2023-12-29,2023-12-29,OVERLAP_IDENTITIES_COVERED,PER_SEGMENT_DIAGNOSTIC_RAW; 2022 continuation quantity pending
