strategy,period,first_blocker
ATRDR,2018_2021,ACTIVE_COORDINATE_LINEAGE_CHANGE:2019-07-16:V29|BULL|V29B|20190703|600195.SH: native outcome abort is not an executable exit
MCB,2018_2021,ACTIVE_COORDINATE_LINEAGE_CHANGE:2020-06-24:V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH: native outcome abort is not an executable exit
