strategy,route,family,event_id,parent_event_id,symbol,decision_at,earliest_execution_at,native_priority,native_requested_quantity,price,fee_rate,lot_size,side,reason,state_requirements,economic_event_definition,board,native_base_cash_limit,native_requested_notional
IFCGR,FIXED_BELOW_L_REPAIR,GAP,002631.SZ|2018-01-31,002631.SZ|2018-01-31,002631.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.20602914721253507, 0.0, ""002631.SZ"", ""002631.SZ|2018-01-31""]",791.5640684660509,7.880000114440918,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,500000.0,6249.999999999999
IFCGR,FIXED_BELOW_L_REPAIR,GAP,300268.SZ|2018-01-31,300268.SZ|2018-01-31,300268.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.18714903051040754, 0.31534430387358237, ""300268.SZ"", ""300268.SZ|2018-01-31""]",445.5374964357,14.0,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,500000.0,6249.999999999999
IFCGR,FIXED_BELOW_L_REPAIR,GAP,002200.SZ|2018-01-31,002200.SZ|2018-01-31,002200.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.18577615666839264, 0.19178328604287054, ""002200.SZ"", ""002200.SZ|2018-01-31""]",732.9342428122019,8.510000228881836,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,493750.0,6249.745115235348
IFCGR,FIXED_BELOW_L_REPAIR,GAP,300076.SZ|2018-01-30,300076.SZ|2018-01-30,300076.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.17963446237142522, 0.1057027715471948, ""300076.SZ"", ""300076.SZ|2018-01-30""]",1395.4717412050204,4.46999979019165,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,493750.0,6250.233907185628
IFCGR,FIXED_BELOW_L_REPAIR,GAP,600698.SH|2018-01-31,600698.SH|2018-01-31,600698.SH,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.1539620864187925, 0.3128568889297364, ""600698.SH"", ""600698.SH|2018-01-31""]",1144.424801789508,5.449999809265137,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,487500.25488476455,6249.589181374052
IFCGR,FIXED_BELOW_L_REPAIR,GAP,002446.SZ|2018-01-31,002446.SZ|2018-01-31,002446.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.1298372234038736, 0.0, ""002446.SZ"", ""002446.SZ|2018-01-31""]",850.8422738523342,7.329999923706055,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,481250.6657033907,6249.147150028342
IFCGR,FIXED_BELOW_L_REPAIR,GAP,002702.SZ|2018-01-31,002702.SZ|2018-01-31,002702.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.12818356209281423, 0.02984559623818198, ""002702.SZ"", ""002702.SZ|2018-01-31""]",1506.5336023513573,4.139999866485596,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,475001.5185533622,6249.523010415864
IFCGR,FIXED_BELOW_L_REPAIR,GAP,300220.SZ|2018-02-01,300220.SZ|2018-02-01,300220.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.1125856368894862, 0.26331705080651524, ""300220.SZ"", ""300220.SZ|2018-02-01""]",509.19206215207464,12.25,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,487499.7660928145,6250.077966885639
IFCGR,FIXED_BELOW_L_REPAIR,GAP,002401.SZ|2018-02-01,002401.SZ|2018-02-01,002401.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.1103279435604958, 0.0, ""002401.SZ"", ""002401.SZ|2018-02-01""]",643.6228719673252,9.6899995803833,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,468751.9955429463,6249.178770007053
IFCGR,FIXED_BELOW_L_REPAIR,GAP,000917.SZ|2018-01-31,000917.SZ|2018-01-31,000917.SZ,2018-02-22 15:00:00,2018-02-23 09:30:00,"[-0.10971427527825961, 0.7616841713988404, ""000917.SZ"", ""000917.SZ|2018-01-31""]",871.0938048605562,7.159999847412109,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,462502.8167729392,6249.505572902983
