period,CAUSAL_CORRECTED_BASELINE,LEGACY_EXECUTION_RESET_CONTROL,corrected_minus_legacy_reset_control
2018_2021,1260255.978086352,1242160.7330112131,18095.245075138984
2022_2023,1103922.077048574,1107900.8681746258,-3978.791126051685
