gap_id,symbol,signal_time,window_start,coverage_valid
002727.SZ|2022-03-15,002727.SZ,2022-03-30 15:00:00,2021-11-30 15:00:00,True
002585.SZ|2022-03-28,002585.SZ,2022-04-19 15:00:00,2021-12-20 15:00:00,True
300305.SZ|2022-04-11,300305.SZ,2022-04-28 15:00:00,2021-12-29 15:00:00,True
600893.SH|2022-04-11,600893.SH,2022-04-28 15:00:00,2021-12-29 15:00:00,True
002202.SZ|2022-04-15,002202.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
002243.SZ|2022-04-15,002243.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
002331.SZ|2022-04-15,002331.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
002709.SZ|2022-04-11,002709.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
002997.SZ|2022-04-12,002997.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
300965.SZ|2022-04-12,300965.SZ,2022-04-29 15:00:00,2021-12-30 15:00:00,True
002374.SZ|2022-04-18,002374.SZ,2022-05-05 15:00:00,2022-01-05 15:00:00,True
600621.SH|2022-04-18,600621.SH,2022-05-05 15:00:00,2022-01-05 15:00:00,True
300590.SZ|2022-04-14,300590.SZ,2022-05-09 15:00:00,2022-01-09 15:00:00,True
002008.SZ|2022-04-21,002008.SZ,2022-05-10 15:00:00,2022-01-10 15:00:00,True
300274.SZ|2022-04-20,300274.SZ,2022-05-10 15:00:00,2022-01-10 15:00:00,True
301053.SZ|2022-04-21,301053.SZ,2022-05-10 15:00:00,2022-01-10 15:00:00,True
002536.SZ|2022-04-22,002536.SZ,2022-05-11 15:00:00,2022-01-11 15:00:00,True
300458.SZ|2022-04-22,300458.SZ,2022-05-11 15:00:00,2022-01-11 15:00:00,True
300841.SZ|2022-04-22,300841.SZ,2022-05-11 15:00:00,2022-01-11 15:00:00,True
600201.SH|2022-04-22,600201.SH,2022-05-11 15:00:00,2022-01-11 15:00:00,True
002546.SZ|2022-04-25,002546.SZ,2022-05-13 15:00:00,2022-01-13 15:00:00,True
002590.SZ|2022-04-25,002590.SZ,2022-05-13 15:00:00,2022-01-13 15:00:00,True
002792.SZ|2022-04-25,002792.SZ,2022-05-13 15:00:00,2022-01-13 15:00:00,True
002860.SZ|2022-04-22,002860.SZ,2022-05-13 15:00:00,2022-01-13 15:00:00,True
600327.SH|2022-04-25,600327.SH,2022-05-13 15:00:00,2022-01-13 15:00:00,True
600410.SH|2022-04-25,600410.SH,2022-05-13 15:00:00,2022-01-13 15:00:00,True
600877.SH|2022-04-25,600877.SH,2022-05-13 15:00:00,2022-01-13 15:00:00,True
603099.SH|2022-04-25,603099.SH,2022-05-13 15:00:00,2022-01-13 15:00:00,True
603385.SH|2022-04-22,603385.SH,2022-05-13 15:00:00,2022-01-13 15:00:00,True
002798.SZ|2022-04-25,002798.SZ,2022-05-16 15:00:00,2022-01-16 15:00:00,True
300556.SZ|2022-04-25,300556.SZ,2022-05-16 15:00:00,2022-01-16 15:00:00,True
002845.SZ|2022-04-25,002845.SZ,2022-05-18 15:00:00,2022-01-18 15:00:00,True
300460.SZ|2022-04-25,300460.SZ,2022-05-18 15:00:00,2022-01-18 15:00:00,True
300503.SZ|2022-04-25,300503.SZ,2022-05-18 15:00:00,2022-01-18 15:00:00,True
002415.SZ|2022-05-06,002415.SZ,2022-05-20 15:00:00,2022-01-20 15:00:00,True
002074.SZ|2022-08-29,002074.SZ,2022-09-13 15:00:00,2022-05-16 15:00:00,True
002615.SZ|2022-10-17,002615.SZ,2022-11-01 15:00:00,2022-07-04 15:00:00,True
603908.SH|2022-10-19,603908.SH,2022-11-03 15:00:00,2022-07-06 15:00:00,True
000906.SZ|2022-10-27,000906.SZ,2022-11-10 15:00:00,2022-07-13 15:00:00,True
002120.SZ|2022-10-31,002120.SZ,2022-11-15 15:00:00,2022-07-18 15:00:00,True
300953.SZ|2023-03-08,300953.SZ,2023-03-22 15:00:00,2022-11-22 15:00:00,True
300699.SZ|2023-03-28,300699.SZ,2023-04-14 15:00:00,2022-12-15 15:00:00,True
300432.SZ|2023-04-25,300432.SZ,2023-05-15 15:00:00,2023-01-15 15:00:00,True
301327.SZ|2023-04-26,301327.SZ,2023-05-15 15:00:00,2023-01-15 15:00:00,True
301326.SZ|2023-04-28,301326.SZ,2023-05-17 15:00:00,2023-01-17 15:00:00,True
002932.SZ|2023-04-27,002932.SZ,2023-05-18 15:00:00,2023-01-18 15:00:00,True
300841.SZ|2023-07-06,300841.SZ,2023-07-25 15:00:00,2023-03-27 15:00:00,True
301327.SZ|2023-08-21,301327.SZ,2023-09-04 15:00:00,2023-05-07 15:00:00,True
301073.SZ|2023-10-09,301073.SZ,2023-10-25 15:00:00,2023-06-27 15:00:00,True
000977.SZ|2023-10-18,000977.SZ,2023-11-03 15:00:00,2023-07-06 15:00:00,True
