gap,period,mcb_mode,policy,CAGR_delta,MaxDD_delta,CVaR5_delta,average_gross_exposure_delta,capital_days_delta,funded_trade_count_delta,funded_opportunity_rate_delta,net_pnl_delta,observed_checkpoint_MaxDD_delta,shared_funded_pnl,shared_funded_trade_count,incremental_pnl_per_added_capital_day,maxdd_admissible,checkpoint_risk_budget_status,risk_status,exposure_only_cagr_benchmark,cagr_above_exposure_only_benchmark,segmentation_idle_removed_count,segmentation_idle_removed_notional,previously_rejected_requests_no_longer_in_actual_state
OGR,2018_2021,independent,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0884419000580793,0.0,0,0.0,0
OGR,2018_2021,independent,P1,-9.253223831509616e-05,0.0005280459332008963,-6.560723977010012e-05,0.000695460194110098,6382858.61495924,10,0.19542910447761197,-2340.6320819966495,0.000500900067833987,14393.41442106594,11,-0.0003667059264811236,True,ADMISSIBLE,ADMISSIBLE,0.08889008371419654,-0.0005407158944323448,11,356589.39107083454,408
OGR,2018_2021,independent,P2,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382
OGR,2018_2021,independent,P3_D4,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382
OGR,2018_2021,independent,P3_D5,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382
OGR,2018_2021,independent,P3_D6,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382
OGR,2018_2021,confirmation_tag,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0732085912726527,0.0,0,0.0,0
OGR,2018_2021,confirmation_tag,P1,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305
OGR,2018_2021,confirmation_tag,P2,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305
OGR,2018_2021,confirmation_tag,P3_D4,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305
OGR,2018_2021,confirmation_tag,P3_D5,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305
OGR,2018_2021,confirmation_tag,P3_D6,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305
