path,first_sha256,second_sha256,status
cache/atrdr/2018_2021/p0_checkpoints.parquet,0039930dda98349c67ccae96edee58390c0157274becbd3410b59c9d0210a855,0039930dda98349c67ccae96edee58390c0157274becbd3410b59c9d0210a855,PASS
cache/atrdr/2018_2021/p0_fills.parquet,eca83555c77393dc4441a63f7fe46479876a9312f1afaa4a34662fbce477738b,eca83555c77393dc4441a63f7fe46479876a9312f1afaa4a34662fbce477738b,PASS
cache/atrdr/2018_2021/p0_intents.parquet,330c465bc25e5b963a73336a7caa240819f8cebaffe58cae767d52ff65c3b80c,330c465bc25e5b963a73336a7caa240819f8cebaffe58cae767d52ff65c3b80c,PASS
cache/atrdr/2018_2021/p0_nav.parquet,02ba3d8db71bb44583af2f8f3ec3fbe57233fb25396177e89627f95402a54f94,02ba3d8db71bb44583af2f8f3ec3fbe57233fb25396177e89627f95402a54f94,PASS
cache/atrdr/2018_2021/p0_other_rejected.parquet,ff17b20457b4f1ac36918cce9a378ab11846a9c914a2449f4809257b2d6f03dc,ff17b20457b4f1ac36918cce9a378ab11846a9c914a2449f4809257b2d6f03dc,PASS
cache/atrdr/2022_2023/p0_checkpoints.parquet,7641e41ed1ce94bac5c877c630f520e77cf0a634795e48b86af802a23fc0685e,7641e41ed1ce94bac5c877c630f520e77cf0a634795e48b86af802a23fc0685e,PASS
cache/atrdr/2022_2023/p0_fills.parquet,18d2a23c288c36a891575979c685f500e17f10f220f915824699df56e6775a12,18d2a23c288c36a891575979c685f500e17f10f220f915824699df56e6775a12,PASS
cache/atrdr/2022_2023/p0_intents.parquet,e1d238ceb40b2e453e8d0d4092cc85d57bf27af09f811f6c7aec0d5944d96256,e1d238ceb40b2e453e8d0d4092cc85d57bf27af09f811f6c7aec0d5944d96256,PASS
cache/atrdr/2022_2023/p0_nav.parquet,0b015e0ac0e0a132748d00a97f77656f55b21fa9572ad9a7fbc9747a0f484a61,0b015e0ac0e0a132748d00a97f77656f55b21fa9572ad9a7fbc9747a0f484a61,PASS
cache/atrdr/2022_2023/p0_other_rejected.parquet,55ca3c49b56286fcc826078cedf334edf3e90d46e23f64357451ffcbdba1f669,55ca3c49b56286fcc826078cedf334edf3e90d46e23f64357451ffcbdba1f669,PASS
cache/atrdr/native_continuous/nav.parquet,15dad0f50f40822c33c987c3949695526776690ac8697e8ad3916670a7e80d7d,15dad0f50f40822c33c987c3949695526776690ac8697e8ad3916670a7e80d7d,PASS
cache/ifcgr/2018_2021/p0_checkpoints.parquet,573b29ed2274226b63e5d77ba716835c84567aefb6724477845e6431552a9689,573b29ed2274226b63e5d77ba716835c84567aefb6724477845e6431552a9689,PASS
cache/ifcgr/2018_2021/p0_fills.parquet,537502a4088182a3fd4aa584ccb53ec2e9de3462674ecdb7ae155e7d6ff329c5,537502a4088182a3fd4aa584ccb53ec2e9de3462674ecdb7ae155e7d6ff329c5,PASS
cache/ifcgr/2018_2021/p0_intents.parquet,6ff245ab332461a8ac0dd1c032b9957f2e9e342e35a7905a9069b4b2c71ea6e8,6ff245ab332461a8ac0dd1c032b9957f2e9e342e35a7905a9069b4b2c71ea6e8,PASS
cache/ifcgr/2018_2021/p0_native_nav.parquet,4b53b5d307ac55cda0ef1fab048a1667081b3f0243c5aeb38ed05b7e82d54051,4b53b5d307ac55cda0ef1fab048a1667081b3f0243c5aeb38ed05b7e82d54051,PASS
cache/ifcgr/2018_2021/p0_nav.parquet,242ca3b22f4d52fc03d46c9e6407508107c7d5514b5978ca9d376f4ba05e605f,242ca3b22f4d52fc03d46c9e6407508107c7d5514b5978ca9d376f4ba05e605f,PASS
cache/ifcgr/2018_2021/p0_other_rejected.parquet,50f372fc693066a5005232b1b30f0311b50c5bcd24fb07dcc8d23eec29d03880,50f372fc693066a5005232b1b30f0311b50c5bcd24fb07dcc8d23eec29d03880,PASS
cache/ifcgr/2022_2023/p0_checkpoints.parquet,2a32980c7b1fb2163a8d9aec16827528cef2775886373ad8d04db2547f98c3af,2a32980c7b1fb2163a8d9aec16827528cef2775886373ad8d04db2547f98c3af,PASS
cache/ifcgr/2022_2023/p0_fills.parquet,a46b32c89a1c6891f038c6ebfc1ad60a96adbcfe4718849321292fa4d7d02cc1,a46b32c89a1c6891f038c6ebfc1ad60a96adbcfe4718849321292fa4d7d02cc1,PASS
cache/ifcgr/2022_2023/p0_intents.parquet,e08f9a19e9277b07fde555a45bcbb51252479615dde1e6519f8c173f790cb0bc,e08f9a19e9277b07fde555a45bcbb51252479615dde1e6519f8c173f790cb0bc,PASS
cache/ifcgr/2022_2023/p0_native_nav.parquet,e99ed07f9ad928fbcf0237d3a7bb012c803d25b6f01e9a9aca62ddf5cf762b6d,e99ed07f9ad928fbcf0237d3a7bb012c803d25b6f01e9a9aca62ddf5cf762b6d,PASS
cache/ifcgr/2022_2023/p0_nav.parquet,ccef34b28c2bebdf03e23dcea42fa94fbaa8e3701a3b1d2665bf72bb15c6e52b,ccef34b28c2bebdf03e23dcea42fa94fbaa8e3701a3b1d2665bf72bb15c6e52b,PASS
cache/ifcgr/2022_2023/p0_other_rejected.parquet,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,PASS
cache/ifcgr/native_continuous/nav.parquet,0a90ff062ab0ed553a905e5f550eeb0f41be7ea357de2c4a31c40e170273ec94,0a90ff062ab0ed553a905e5f550eeb0f41be7ea357de2c4a31c40e170273ec94,PASS
