gap,period,mcb_mode,policy,strategy,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
OGR,2018_2021,independent,P3_D5,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252856
OGR,2018_2021,independent,P3_D6,ATRDR,7,5,2,13786.33224869128,5577.396001537025,-2192.5056771348172,4447248.103627346
OGR,2018_2021,independent,P3_D6,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252856
OGR,2022_2023,confirmation_tag,P1,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P1,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P2,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P2,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P3_D4,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P3_D4,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P3_D5,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
