candidate,row_count,min_available_at,max_available_at,rows_2022_2023,status,source_identity,manifest_sha256,route_sha256,announcement_id,issuer_id,available_at,pit_grade,revision_deletion_limit,schema,query_coverage
ORIGINAL_CONFIG_ROUTE,285347,2013-08-23 17:33:05,2022-01-01 00:00:00,218,OLD_ROUTE_ALONE_INSUFFICIENT_AFTER_2022_01_01,,,,,,,,,,
CY062_RAW_VIA_REGISTERED_CY063_CY065_CORRECTION_CHAIN,149545,2013-08-23 16:04:02,2026-08-03 19:52:28,49967,AVAILABLE_PIT_B_VERIFIED_FOR_ALL_50_REBUILT_2022_2023_PARENT_WINDOWS,/Users/linmei/Documents/CY/data/staging/CY-062-V29R2-ISSUER-FACT-ROLLFORWARD-2022-2026-V1/asset_manifest.json,6a4f1bcbeb443aff7d7233948e6236ae16f1b2a75461a8598acf62b6bb530922,ddcd4717bf3301d99d4df3d4b6908620b701b95eaebbc06215107409f2fda679,announcement_id,symbol,"max(available_at,SSE source_query_date+1d)",PIT_B_CURRENT_OFFICIAL_ENUMERATION_REVISION_HISTORY_INCOMPLETE,CURRENT_ENUMERATION_NO_COMPLETE_REVISION_OR_DELETION_VINTAGES,snapshot_id|announcement_key|announcement_id|symbol|exchange|published_at|available_at|precision|source_publication_field|source_publication_value|source_query_date_field|source_query_date|query_year|raw_record_sha256|revision_history_complete|strict_pit_eligible|hard_valid|component_role|causal_available_at,"{""SSE_FULL_HISTORY_AUTHORITATIVE"": {""query_end"": ""2026-08-03"", ""query_membership_field"": ""SSEDATE"", ""query_start"": ""1990-12-19""}, ""SZSE_WINDOW_AUTHORITATIVE"": {""query_end"": ""2026-08-03"", ""query_membership_and_knowledge_field"": ""publishTime"", ""query_start"": ""2021-10-18""}, ""fully_mature_signal_end"": ""2026-08-03"", ""outcome_data_end"": ""2026-09-04"", ""signal_start"": ""2022-01-01""}"
