strategy,period,baseline,status,reason,final_nav,completed_dates,required_dates,initial_cash,initial_positions,initial_state,fidelity
SMV6,2018_2021,LEGACY_EXECUTION_RESET_CONTROL,PASS,finite unique complete account states,1242160.7330112131,973,973,1000000.0,{},NATIVE_CALLBACK_INIT_RESET,LOCAL_PLATFORM_APPROXIMATION
SMV6,2018_2021,CAUSAL_CORRECTED_BASELINE,PASS,finite unique complete account states,1260255.978086352,973,973,1000000.0,{},NATIVE_CALLBACK_INIT_RESET,LOCAL_PLATFORM_APPROXIMATION
SMV6,2022_2023,LEGACY_EXECUTION_RESET_CONTROL,PASS,finite unique complete account states,1107900.8681746258,484,484,1000000.0,{},NATIVE_CALLBACK_INIT_RESET,LOCAL_PLATFORM_APPROXIMATION
SMV6,2022_2023,CAUSAL_CORRECTED_BASELINE,PASS,finite unique complete account states,1103922.0770485739,484,484,1000000.0,{},NATIVE_CALLBACK_INIT_RESET,LOCAL_PLATFORM_APPROXIMATION
