strategy,period,cutoff,account_rows,event_rows,status,scope
SMV6,2018_2021,2020-12-31,730,241,PASS,BOUNDED_RAW_INPUT_CALLBACK_PREFIX_ACCOUNT_AND_ORDERS
SMV6,2022_2023,2022-12-30,242,44,PASS,BOUNDED_RAW_INPUT_CALLBACK_PREFIX_ACCOUNT_AND_ORDERS
