period,excluded_native_funded_count,excluded_native_pnl,excluded_winner_pnl,excluded_loss_pnl,worst_excluded_pnl,scope
2018_2021,7,4693.340660088408,4693.340660088408,0,249.7450633631861,OGR independent P0 native-funded events absent from the same PIT-B IFCGR parent subset; account feedback and inherited wealth reported separately
2022_2023,0,0.0,0.0,0,,OGR independent P0 native-funded events absent from the same PIT-B IFCGR parent subset; account feedback and inherited wealth reported separately
