gap,period,mcb_mode,policy,date,portfolio_return,DD,ATRDR_contribution,MCB_contribution,Gap_contribution,SMV6_contribution,shared_funded_contribution,Demand_exposure,Gap_exposure,SMV6_exposure,total_gross,cash,top_symbols
OGR,2022_2023,independent,P0,2023-11-24,-0.00873771841598403,0.011772836977685275,-0.005872180211006187,-0.0028644155795801087,-1.1226253976829438e-06,0.0,0.0,0.610707409001597,0.0,0.0,0.610707409001597,2838280.112145082,"[[""600566.SH"", 106035.89589491974], [""000039.SZ"", 100896.62172265947], [""002565.SZ"", 97530.88882476512], [""002645.SZ"", 97400.18478425022], [""603755.SH"", 97387.37208760684], [""600397.SH"", 97250.6276499813], [""603115.SH"", 96729.82009917183], [""002526.SZ"", 96532.91084075632], [""600292.SH"", 96395.78523578755], [""002429.SZ"", 96238.80578394761]]"
OGR,2022_2023,independent,P0,2022-01-25,-0.008718901458251493,0.014596200270377002,-0.0055155632237762,-0.00320333823447542,0.0,0.0,0.0,0.17062640565575665,0.0,0.0,0.17062640565575665,5450597.579025926,"[[""603839.SH"", 90418.28111176926], [""603868.SH"", 88053.83438280447], [""000726.SZ"", 84697.85550823726], [""603508.SH"", 83204.59317483955], [""002313.SZ"", 81975.68319995589], [""600630.SH"", 80058.12335902125], [""603685.SH"", 78774.73968077493], [""603366.SH"", 77372.67397740993], [""002899.SZ"", 74828.16672644907], [""600103.SH"", 74019.26466843691]]"
OGR,2022_2023,independent,P0,2022-03-08,-0.008437536429780845,0.020919511402285318,-0.007709683620135333,-0.0007278528096455646,0.0,0.0,0.0,0.20530586470252263,0.0,0.0,0.2053058647025226,5189172.240529358,"[[""000777.SZ"", 87146.07948440939], [""603617.SH"", 84428.14822590853], [""000576.SZ"", 83547.40202331233], [""300154.SZ"", 57148.44202524907], [""600829.SH"", 51382.072276717794], [""600613.SH"", 50768.786176950875], [""002485.SZ"", 50505.11241907499], [""002488.SZ"", 50298.62698379585], [""002078.SZ"", 50007.871604465705], [""000518.SZ"", 49685.99113977647]]"
OGR,2022_2023,independent,P0,2023-04-21,-0.00800094789655914,0.010504454487757053,0.0,0.0,-2.0816592544851712e-05,-0.007980131304014348,0.0,0.0,0.0008953381692893748,0.027419342934752337,0.028314681104041717,6975312.050272553,"[[""159997.SZ"", 121017.9], [""515000.SH"", 75813.8], [""300699.SZ"", 6427.2486162589075]]"
OGR,2022_2023,independent,P0,2022-06-09,-0.007762605058762917,0.009901900540567943,-0.0057829923103421286,-0.0007237822774373854,-0.00011861550700727949,-0.0011372149639763509,0.0,0.33666525610686837,0.004155962944748392,0.08488113281073889,0.42570235186235567,3864795.6764326813,"[[""159601.SZ"", 202348.8], [""515170.SH"", 201117.8], [""510150.SH"", 104220.90000000001], [""002446.SZ"", 85898.48155441655], [""300066.SZ"", 64431.95677493724], [""515650.SH"", 63528.899999999994], [""300586.SZ"", 63058.0250246096], [""300015.SZ"", 62150.21422441366], [""300170.SZ"", 61730.11641384879], [""300518.SZ"", 60534.82578807242]]"
OGR,2022_2023,independent,P0,2023-11-21,-0.006572726513787153,0.006584346701880461,-0.003981866349585371,-0.002342649770937384,-6.755706868968368e-06,-0.00024145468639538502,0.0,0.6188702321694834,0.0009509231684329943,0.013420664602644098,0.6332418199405606,2688023.9671513126,"[[""000039.SZ"", 99332.33301378103], [""603666.SH"", 98715.88638807909], [""002565.SZ"", 98651.93352390034], [""600566.SH"", 98631.06139077625], [""603115.SH"", 98495.67888394375], [""159997.SZ"", 98362.0], [""002526.SZ"", 97968.34445920623], [""002645.SZ"", 97672.50589734691], [""002214.SZ"", 97313.38137759405], [""600292.SH"", 97162.04743956965]]"
OGR,2022_2023,independent,P1,2022-05-24,-0.016259895354801546,0.016259895354801546,-0.015534197278400224,0.0,-0.0007256980764012182,0.0,0.0,0.3279212043711468,0.013746094392241606,0.0,0.34166729876338836,4355132.593273551,"[[""600386.SH"", 54930.799141877455], [""000521.SZ"", 54531.93004438579], [""600740.SH"", 54331.34267052282], [""601011.SH"", 54022.699763527715], [""603358.SH"", 53672.98782439586], [""002753.SZ"", 53530.72038984097], [""600997.SH"", 53399.14980486719], [""603331.SH"", 53396.379300635315], [""002189.SZ"", 53020.75145526367], [""000727.SZ"", 52987.61183803794]]"
OGR,2022_2023,independent,P1,2023-12-05,-0.012348413329207775,0.014493564657169333,-0.008058906945580584,-0.0042895063836272,0.0,0.0,0.0,0.5708158936901686,0.0,0.0,0.5708158936901687,3125443.6729518715,"[[""600566.SH"", 105253.68817861388], [""600218.SH"", 102141.92596861384], [""000039.SZ"", 101076.64846679967], [""002645.SZ"", 100081.80269255016], [""600397.SH"", 97928.18370273183], [""603115.SH"", 96908.19761555648], [""001696.SZ"", 96189.58843175613], [""000678.SZ"", 95785.46766492091], [""002565.SZ"", 95335.62811984213], [""002526.SZ"", 95144.21189233864]]"
OGR,2022_2023,independent,P1,2023-02-16,-0.011608152436016761,0.012415288313175843,-0.007058644482858909,-0.004549507953157876,0.0,0.0,-0.00012828840042156028,0.607271894800163,0.0,0.0,0.6072718948001631,2800515.596010285,"[[""600751.SH"", 103915.89910132282], [""002438.SZ"", 103160.02718529543], [""000020.SZ"", 99000.78321999291], [""002189.SZ"", 98265.94325369583], [""603757.SH"", 96189.16889841367], [""000551.SZ"", 95735.49746407136], [""603828.SH"", 95291.76609971942], [""000712.SZ"", 95038.28219683682], [""002523.SZ"", 94575.2513282709], [""603268.SH"", 93546.51391342029]]"
OGR,2022_2023,independent,P1,2022-03-15,-0.011017516397568095,0.03045978905935276,-0.010218777377815307,-0.0007987390197528564,0.0,0.0,0.0,0.19748607278711003,0.0,0.0,0.19748607278711003,5189172.240529358,"[[""603617.SH"", 84933.32787123932], [""000576.SZ"", 84038.0327398922], [""000777.SZ"", 77237.34158384972], [""300154.SZ"", 54873.00635502475], [""600613.SH"", 51632.20090785141], [""603387.SH"", 51233.59117625954], [""600829.SH"", 49632.21842209274], [""000518.SZ"", 48946.61627162504], [""600664.SH"", 47780.44058137901], [""002485.SZ"", 47219.23763518337]]"
OGR,2022_2023,independent,P1,2023-11-24,-0.008746801129273174,0.011772895484877144,-0.005876964531064908,-0.002868715755535172,-1.1208426730507763e-06,0.0,0.0,0.6110060694094845,0.0,0.0,0.6110060694094845,2840587.4740882684,"[[""600566.SH"", 106087.97549772148], [""000039.SZ"", 100946.22698490703], [""002565.SZ"", 97578.81936972078], [""002645.SZ"", 97448.07104274622], [""603755.SH"", 97435.25204681187], [""600397.SH"", 97298.42046348595], [""603115.SH"", 96777.32901648077], [""002526.SZ"", 96580.35093977017], [""600292.SH"", 96443.17768683833], [""002429.SZ"", 96286.07353923975]]"
OGR,2022_2023,independent,P1,2022-01-25,-0.008718901458251493,0.014596200270377002,-0.0055155632237762,-0.00320333823447542,0.0,0.0,0.0,0.17062640565575665,0.0,0.0,0.17062640565575665,5450597.579025926,"[[""603839.SH"", 90418.28111176926], [""603868.SH"", 88053.83438280447], [""000726.SZ"", 84697.85550823726], [""603508.SH"", 83204.59317483955], [""002313.SZ"", 81975.68319995589], [""600630.SH"", 80058.12335902125], [""603685.SH"", 78774.73968077493], [""603366.SH"", 77372.67397740993], [""002899.SZ"", 74828.16672644907], [""600103.SH"", 74019.26466843691]]"
OGR,2022_2023,independent,P1,2022-03-08,-0.008437536429780845,0.020919511402285318,-0.007709683620135333,-0.0007278528096455646,0.0,0.0,0.0,0.20530586470252263,0.0,0.0,0.2053058647025226,5189172.240529358,"[[""000777.SZ"", 87146.07948440939], [""603617.SH"", 84428.14822590853], [""000576.SZ"", 83547.40202331233], [""300154.SZ"", 57148.44202524907], [""600829.SH"", 51382.072276717794], [""600613.SH"", 50768.786176950875], [""002485.SZ"", 50505.11241907499], [""002488.SZ"", 50298.62698379585], [""002078.SZ"", 50007.871604465705], [""000518.SZ"", 49685.99113977647]]"
OGR,2022_2023,independent,P1,2023-04-21,-0.007988560052122895,0.010488231453407049,0.0,0.0,-2.078436227495453e-05,-0.00796777568984795,0.0,0.0,0.0008939407564809986,0.02737654777385275,0.028270488530333752,6986533.6295404835,"[[""159997.SZ"", 121017.9], [""515000.SH"", 75813.8], [""300699.SZ"", 6427.2486162589075]]"
