strategy,route,symbol,action_id,action_type,holding_overlap,announcement_date,record_date,ex_date,accounting_effective_date,tradable_date,cash_payment_date,share_ratio,cash_ratio,tradable_quantity_before,pending_quantity_before,source,source_grade,available_at,raw_hash,status,first_missing_field
ATRDR,BULL,600373.SH,cninfo:distribution:ec86afd95f2e5874616a2564bba67413,cash_dividend,True,2018-05-18,2018-05-24,2018-05-25,2018-05-25,,2018-05-25,0.0,0.4,1961.261079385189,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:55:28.194178Z,10ee608c299c458785f783c703b56ab696ea21f8d4b0ad52f461cfb1a0cfecbe,APPLIED,
ATRDR,V27,002861.SZ,cninfo:distribution:d136d72fe3d575a6d464334a5e70960d,cash_dividend,True,2018-05-24,2018-05-29,2018-05-30,2018-05-30,,2018-05-30,0.0,0.3,1213.7696681620466,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T14:23:47.923994Z,2b06c636e77c7b470c1e0a2fadd048fa82e45c99a6232ba995c976646c2ec058,APPLIED,
ATRDR,BULL,300679.SZ,cninfo:distribution:217724faff38964c38b1ddb5ea33ac89,share_distribution,True,2018-05-30,2018-06-06,2018-06-07,2018-06-07,2018-06-07,,0.8,0.0,323.8126395793652,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:09:07.827812Z,b8d2af0ea96f7d72e991eb4c735c446b307b574f60f4d81dd03baa3fd3711e9c,APPLIED,
ATRDR,V27,002283.SZ,cninfo:distribution:9cbefff50d0d455c781872c15db5fd2f,cash_dividend,True,2018-06-27,2018-07-04,2018-07-05,2018-07-05,,2018-07-05,0.0,0.03,7767.708604358028,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T14:17:03.340063Z,4c45faf55580dadeee435e134cd6c0a92d72aafb87d66fa08307c69357fed560,APPLIED,
ATRDR,V27,601700.SH,cninfo:distribution:83a6f88903b4fe1be6f886a715a85ce1,cash_dividend,True,2018-06-29,2018-07-04,2018-07-05,2018-07-05,,2018-07-05,0.0,0.1,8645.449184124904,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:27:57.894467Z,32bed9902bcacf85b6bcefff7eade2848b97c9208e665079fc47e90596e5998b,APPLIED,
ATRDR,V27,002448.SZ,cninfo:distribution:ccef3f36ddb97d80cbd91deb0296dedb,cash_dividend,True,2018-07-04,2018-07-09,2018-07-10,2018-07-10,,2018-07-10,0.0,0.1,4456.329936315227,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T14:21:07.127433Z,dd13d2152f8adbcdfedb3dd0deb5e2975d3743fa92971593d7641db4a1fc4714,APPLIED,
ATRDR,V27,600118.SH,cninfo:distribution:c0a578fdf099525085d5ebb061a60a53,cash_dividend,True,2018-07-04,2018-07-09,2018-07-10,2018-07-10,,2018-07-10,0.0,0.11000000000000001,1614.5446680262496,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:48:59.385112Z,b66c1fcb12d572893c90493000893c7a36d2c4d2ce6a6b415e364b0b58b4bb5b,APPLIED,
ATRDR,V27,600229.SH,cninfo:distribution:8417eab888d6a4a025945f8259a8fb7a,cash_dividend,True,2018-07-03,2018-07-09,2018-07-10,2018-07-10,,2018-07-10,0.0,0.15,3876.7935197010893,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:19:01.242250Z,53d6ef3f6f9198c1b3932bc7f062d5d2d55f7d0efe42c15a1fa918db25eacf27,APPLIED,
ATRDR,V27,600379.SH,cninfo:distribution:d34bc938b76df9a6561e484c3abeb80a,cash_dividend,True,2018-07-05,2018-07-10,2018-07-11,2018-07-11,,2018-07-11,0.0,0.025,4337.243763614821,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:55:34.768077Z,519db775d059bcb5932118662a972301b5b98bdd4d4ae6a32aaa4494ad722b0c,APPLIED,
ATRDR,V27,600415.SH,cninfo:distribution:80b37b7b8ef002ac873e23bb9601860d,cash_dividend,True,2018-07-03,2018-07-10,2018-07-11,2018-07-11,,2018-07-11,0.0,0.081,7062.758257969316,0.0,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139,OFFICIAL_EX_POST_EXECUTION_FACT,2026-08-09T15:55:42.926276Z,666f4adb57001496ac2b14e89fad057c69e4dcaac0343aa1a4a9fe18a43406d2,APPLIED,
