gap,period,mcb_mode,policy,peak_date,trough_date,peak_nav,portfolio_pnl,ATRDR_pnl,MCB_pnl,Gap_pnl,SMV6_pnl,shared_funded_pnl,MaxDD,top_symbols_at_trough
OGR,2018_2021,independent,P0,2020-07-13,2020-07-16,6459049.0362595385,-270424.27140123677,-127958.23282318702,-68484.638578051,0.0,-73981.40000000014,0.0,0.041867505554322365,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79313.98677736486], [""002062.SZ"", 74756.87821196324], [""002743.SZ"", 73906.96611641531], [""002061.SZ"", 72965.78553353732], [""002543.SZ"", 72787.71700036687], [""600406.SH"", 72569.38697043972]]"
OGR,2018_2021,independent,P1,2020-07-13,2020-07-16,6458171.968282389,-273797.7621965958,-131172.25707343454,-68644.10512316227,0.0,-73981.40000000014,-3556.890859663312,0.04239555148752331,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79266.42931466579], [""002062.SZ"", 74712.05323730847], [""002743.SZ"", 73862.65075758522], [""002061.SZ"", 72922.03451603318], [""002543.SZ"", 72743.68227520035], [""600406.SH"", 72526.16077779121]]"
OGR,2018_2021,independent,P2,2020-07-13,2020-07-16,6459984.153680766,-273892.92019765545,-131348.39032062702,-68563.12987702829,0.0,-73981.40000000014,-3568.7359512759103,0.04239838886316724,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79266.42931466579], [""002062.SZ"", 74712.05323730847], [""002743.SZ"", 73862.65075758523], [""002061.SZ"", 72922.03451603318], [""002543.SZ"", 72743.68227520035], [""600406.SH"", 72526.16077779121]]"
OGR,2018_2021,independent,P3_D4,2020-07-13,2020-07-16,6459984.153680766,-273892.92019765545,-131348.39032062702,-68563.12987702829,0.0,-73981.40000000014,-3568.7359512759103,0.04239838886316724,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79266.42931466579], [""002062.SZ"", 74712.05323730847], [""002743.SZ"", 73862.65075758523], [""002061.SZ"", 72922.03451603318], [""002543.SZ"", 72743.68227520035], [""600406.SH"", 72526.16077779121]]"
OGR,2018_2021,independent,P3_D5,2020-07-13,2020-07-16,6459984.153680766,-273892.92019765545,-131348.39032062702,-68563.12987702829,0.0,-73981.40000000014,-3568.7359512759103,0.04239838886316724,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79266.42931466579], [""002062.SZ"", 74712.05323730847], [""002743.SZ"", 73862.65075758523], [""002061.SZ"", 72922.03451603318], [""002543.SZ"", 72743.68227520035], [""600406.SH"", 72526.16077779121]]"
OGR,2018_2021,independent,P3_D6,2020-07-13,2020-07-16,6459984.153680766,-273892.92019765545,-131348.39032062702,-68563.12987702829,0.0,-73981.40000000014,-3568.7359512759103,0.04239838886316724,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79266.42931466579], [""002062.SZ"", 74712.05323730847], [""002743.SZ"", 73862.65075758523], [""002061.SZ"", 72922.03451603318], [""002543.SZ"", 72743.68227520035], [""600406.SH"", 72526.16077779121]]"
OGR,2018_2021,confirmation_tag,P0,2020-07-13,2020-07-16,6194658.258441186,-260501.37084056344,-127958.23282318702,-58561.73801737721,0.0,-73981.40000000014,0.0,0.042052581429425875,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 45440.4934159404], [""601996.SH"", 44253.56353362742], [""002062.SZ"", 42829.63913694514], [""600429.SH"", 42646.15790477123], [""600189.SH"", 42579.42224468034], [""000798.SZ"", 42373.519990258006]]"
OGR,2018_2021,confirmation_tag,P1,2020-07-13,2020-07-16,6186125.6784751285,-263555.1842343714,-131172.25707343454,-58401.52716093487,0.0,-73981.40000000014,-3556.8908596633155,0.042604240187266516,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 45304.54304846674], [""601996.SH"", 44121.164262137456], [""002062.SZ"", 42701.50000944637], [""600429.SH"", 42518.56772247671], [""600189.SH"", 42452.03172433557], [""000798.SZ"", 42246.745495071584]]"
OGR,2018_2021,confirmation_tag,P2,2020-07-13,2020-07-16,6186125.6784751285,-263555.1842343714,-131172.25707343454,-58401.52716093487,0.0,-73981.40000000014,-3556.8908596633155,0.042604240187266516,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 45304.54304846674], [""601996.SH"", 44121.164262137456], [""002062.SZ"", 42701.50000944637], [""600429.SH"", 42518.56772247671], [""600189.SH"", 42452.03172433557], [""000798.SZ"", 42246.745495071584]]"
OGR,2018_2021,confirmation_tag,P3_D4,2020-07-13,2020-07-16,6186125.6784751285,-263555.1842343714,-131172.25707343454,-58401.52716093487,0.0,-73981.40000000014,-3556.8908596633155,0.042604240187266516,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 45304.54304846674], [""601996.SH"", 44121.164262137456], [""002062.SZ"", 42701.50000944637], [""600429.SH"", 42518.56772247671], [""600189.SH"", 42452.03172433557], [""000798.SZ"", 42246.745495071584]]"
