gap,period,mcb_mode,policy,strategy,date,exposure,weight,family
OGR,2018_2021,independent,P0,ATRDR,2018-01-02,279137.2764331221,0.05686576692234374,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-03,258774.2042644216,0.05270556266033384,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-04,362790.36197592405,0.07388017719063115,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-05,541096.9383780904,0.11017389233744472,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-08,627224.289995103,0.12779014753587695,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-09,629735.6716903206,0.12824464740100017,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-10,653261.2386285482,0.13319138275878767,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-11,656194.8478834358,0.13370173238093447,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-12,656743.098336643,0.13379907508960887,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-15,583666.4260300974,0.11921050812104805,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-16,537219.141766993,0.10951099046822016,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-17,483309.4127949669,0.09849423210607576,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-18,455538.93201167294,0.09261361889699078,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-19,422049.26014420344,0.0858254448611812,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-22,428840.1212368309,0.08703120000731597,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-23,429567.30071465555,0.08702839610896432,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-24,431285.72758746473,0.0873451589204812,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-25,403997.31971368927,0.08188010641918372,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-26,297170.60917606956,0.06017546650011801,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-29,116253.88470711315,0.02359248651129347,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-30,56904.62925216246,0.011568001918018062,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-01-31,56904.62925216246,0.01155101309593966,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-02-01,54984.100620320736,0.011156085554854261,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-02-02,27084.529279376875,0.005493726248678913,DEMAND
OGR,2018_2021,independent,P0,ATRDR,2018-02-05,27084.529279376875,0.005493726248678913,DEMAND
